,total_frames,mean_movement,median_movement,max_movement,movement_std,jumps_gt_005,jumps_gt_010,jumps_gt_020,mean_center_x,mean_center_y,std_center_x,std_center_y,min_center_x,max_center_x,min_center_y,max_center_y,mean_width,mean_height,std_width,std_height,min_width,max_width,min_height,max_height,width_change,height_change,width_growth_ratio,height_growth_ratio,mean_area,max_area,area_change,area_growth_ratio,mean_iou,min_iou,mean_match_cost,max_match_cost,class_transition_count,zm_el_count_75pct,zm_el_fraction_75pct,observed_zm_el_75pct,early_width,middle_width,late_width,early_height,middle_height,late_height,width_growth_early_late,height_growth_early_late
total_frames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_movement,,1.0,0.7712052095940305,0.6646685189404216,0.8099540406137745,,,,-0.007627655423610918,-0.022582281569767233,0.8202903917855312,0.8320373783426116,-0.025724103159716485,0.012783998836382425,-0.040860633872915976,-0.004792265469491474,0.22610326573997602,0.27598639755447785,0.7046604629239432,0.8253377938538671,0.07004774621365989,0.5060261623468941,0.04338001354233947,0.5955467558955824,0.6924388638688069,0.8158162241530295,0.7026039462138768,0.8248713736335536,0.5165861506711629,0.8244146489972052,0.8867252161934221,0.8856106222819801,-0.9828382388940239,-0.6579711689843444,0.986150790801382,0.6597140353793042,0.3448977853103579,0.688722784546647,0.6887227845466474,0.36616607959051173,0.08036232753470937,0.15620636815444836,0.38495841555227606,0.058222950150147994,0.18011008298244668,0.4890166220459139,0.6813572708689296,0.803880556313829
median_movement,,0.7712052095940305,1.0,0.48824311586144464,0.5811239354884662,,,,0.0031462517883711844,-0.01423594770327831,0.6669293065222167,0.7633267943897423,-0.010568524052611944,0.01807381028504305,-0.029489687187958514,0.0012147685314817759,0.1466684321922374,0.2562814922380759,0.5293227409030156,0.7308871178979757,0.030354884430458605,0.33348125033388426,0.046821226153043426,0.4988146654681599,0.47085146827772495,0.6789119352067884,0.47985480043523493,0.6778206852675575,0.41616307869529084,0.6390954267230993,0.6926165076554801,0.691271495059008,-0.7363073535472336,-0.46283326815054443,0.7410483953453816,0.46702532228443394,0.15191953675152775,0.4603291146853384,0.46032911468533755,0.16997258710864965,0.03049386536440413,0.09307116606354073,0.273499447312507,0.05379022544558708,0.17652288981091152,0.4470351676650091,0.5282115405706976,0.7341196770639603
max_movement,,0.6646685189404216,0.48824311586144464,1.0,0.966526330886799,,,,-0.004932484874246883,0.004767198636672902,0.6113231385483558,0.5003731602435271,-0.015307848803782869,0.011613938007939794,-0.006206878707310338,0.015293630818730872,0.10887258837449816,0.19910354737392305,0.378474207132269,0.516012689823563,0.012744838296441236,0.22818770229767416,0.05092774382895766,0.3537261596151304,0.32043359643638253,0.4641694053840945,0.33030702802522305,0.464231714746509,0.3311866142228415,0.45946081668823724,0.493193553627941,0.47784601318874176,-0.6431104731249129,-0.9639109846887592,0.6463367680733968,0.971731084669604,0.10712850357964962,0.36679845124717486,0.3667984512471745,0.12029812965885886,0.020999454615656363,0.07724958166705816,0.19755602684541118,0.05996243824744908,0.14090963804327086,0.33098964319040686,0.3832453959860372,0.5168960157162329
movement_std,,0.8099540406137745,0.5811239354884662,0.966526330886799,1.0,,,,-0.00479705713677733,0.0012807460134226895,0.7158330092862265,0.6300202218444595,-0.018349842978450888,0.014262551432258692,-0.012836554727735629,0.01472496259428043,0.155410195635575,0.22749152834887162,0.500945241531721,0.6199856706329294,0.036628938904554535,0.33736786872733204,0.05387078661204339,0.44213701917951787,0.46433257446304227,0.5876607706040796,0.47351546628673696,0.5877382373401773,0.40261601777516914,0.5968993745584881,0.638119584694847,0.6246111359859735,-0.7874901638644345,-0.931288957994912,0.7910374975116565,0.9382568304218127,0.20535690812500257,0.49162695106507204,0.49162695106507215,0.2192701510814152,0.047187022732122656,0.10994135194959513,0.26878045368902154,0.06484130921600015,0.1547742286214016,0.3857600161185742,0.4905305896645188,0.6091052566910721
jumps_gt_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jumps_gt_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jumps_gt_020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_center_x,,-0.007627655423610918,0.0031462517883711844,-0.004932484874246883,-0.00479705713677733,,,,1.0,0.01859719629337861,0.005039392927333694,-0.007621331380187459,0.9996631135924574,0.9995991117831379,0.018409723670801587,0.01798268437988988,-0.08851387373219183,0.01989332527093524,0.0005503220065054427,-0.01381496107237184,-0.093472968159862,-0.058913303005196496,0.019291663358449958,0.00331874051203877,-0.00569370377938519,-0.016053652713223752,-0.0021904206826159523,-0.014058367461273548,-0.05891283351524338,-0.036383140632315715,-0.013847990263242906,-0.009750898340355937,-0.0005528293566418371,0.014674260749349466,-0.0002848731517015472,-0.013638403143183632,-0.007353311499324465,0.012664995196593254,0.012664995196593221,-0.008797420939005793,-0.096865541478717,-0.09191124386224711,-0.07400412076015388,0.024911466106314135,0.02360903229947023,0.011696625259507444,0.0040881868541607636,-0.011904877081290935
mean_center_y,,-0.022582281569767233,-0.01423594770327831,0.004767198636672902,0.0012807460134226895,,,,0.01859719629337861,1.0,0.009948139950336072,-0.009997852940500205,0.018549466781591945,0.01869351241013546,0.9996792798504999,0.9997079415610041,-0.029404435744701966,-0.009944444125451677,0.002719105375068716,-0.015878846656975455,-0.02265997382553492,-0.016802323621238475,-0.004921867154638394,-0.014835591203269154,-0.0055208817494034204,-0.018618882536003814,-0.001122666799215923,-0.02414777108735968,-0.03206723170102145,-0.014789974342165096,-0.007600582554710833,-0.00676851717703106,0.028969129348571643,-0.0011236508704195252,-0.028360201495472456,0.0015200596664838955,-0.016995862619717205,-0.03462136596155492,-0.034621365961554906,-0.018171853997556987,-0.030796382996325315,-0.0325748045362881,-0.02398048935780743,-0.004097987324993326,-0.01068267364539099,-0.012863687756191467,0.0003423080407383351,-0.017749002159542462
std_center_x,,0.8202903917855312,0.6669293065222167,0.6113231385483558,0.7158330092862265,,,,0.005039392927333694,0.009948139950336072,1.0,0.5718633785909587,-0.016348590161943188,0.028170648608525296,-0.0007496155727932664,0.022071449945338047,0.3140441190941992,0.11233620134391782,0.8339690271402653,0.5701323602150676,0.13409793996016744,0.6080750644058466,-0.05176441941775561,0.3426222820515376,0.7932886215817225,0.5321768948917935,0.7882351914165998,0.5481032380682108,0.46778279378217613,0.7466595507838759,0.8072090966436749,0.8017189939596067,-0.7818503109698132,-0.5657817675398397,0.7870264415769945,0.5720737309923271,0.2550267363252678,0.5922020575642064,0.5922020575642055,0.27567250324727877,0.14178183170554728,0.23279203687625588,0.4979542639260343,-0.04619833617935479,0.039155688355184945,0.27718439755018515,0.8185920895470213,0.5604954060490017
std_center_y,,0.8320373783426116,0.7633267943897423,0.5003731602435271,0.6300202218444595,,,,-0.007621331380187459,-0.009997852940500205,0.5718633785909587,1.0,-0.02005185852702318,0.005233142610280311,-0.031196143529140647,0.0106251170159768,0.042155585441866726,0.3658161571061441,0.40877694181519747,0.8996461095077148,-0.04973892183605203,0.23001038677532257,0.12089549834428573,0.68182820328607,0.3899765664336542,0.8793274441848438,0.4169763777948958,0.8658961999240227,0.39701480766241826,0.6667686854585242,0.7318612530146388,0.7452849654851316,-0.8111154701047986,-0.4909364014070289,0.8145420757887012,0.4924506767274804,0.23761824494555758,0.5632046578226257,0.563204657822625,0.2533708561816155,-0.050512264168277685,-0.0023571071391244192,0.1491366549848348,0.13003559806197448,0.2668618498499669,0.5872899561697826,0.39941563959794124,0.8858570666470288
min_center_x,,-0.025724103159716485,-0.010568524052611944,-0.015307848803782869,-0.018349842978450888,,,,0.9996631135924574,0.018549466781591945,-0.016348590161943188,-0.02005185852702318,1.0,0.9989345855654878,0.01857623501577636,0.017641508339217786,-0.09637327034121271,0.018186342153050643,-0.01818592961515674,-0.026088606324462124,-0.09736741559950374,-0.07358788758127305,0.021066949399220113,-0.003944158416760525,-0.0241867264219823,-0.02788055587075137,-0.0204694024504653,-0.02617618062167384,-0.06938715601196849,-0.0534941045506035,-0.03221928118928393,-0.027846237356790947,0.01658492404098711,0.02420734235649643,-0.01754798677362269,-0.02327952590565046,-0.013975396276560562,-0.0008026925343762169,-0.0008026925343762194,-0.0157071251259085,-0.10099563698203874,-0.09796562431979614,-0.0858212283670596,0.026625231269197032,0.023568213053913854,0.00630682772914058,-0.014068220477265686,-0.02388303572346068
max_center_x,,0.012783998836382425,0.01807381028504305,0.011613938007939794,0.014262551432258692,,,,0.9995991117831379,0.01869351241013546,0.028170648608525296,0.005233142610280311,0.9989345855654878,1.0,0.01823598324373253,0.01835483626894621,-0.0806706327888317,0.022391376933545683,0.02126717809745289,-0.0015776140320386167,-0.08993319045621591,-0.043099793059044475,0.01827423905506007,0.011169508418986117,0.014854767670710752,-0.004076043602906714,0.018222091758835157,-0.0016843326044402877,-0.047808200192477716,-0.018210249770212055,0.005555585578947289,0.009654724598340382,-0.020526478501881894,-0.0014030946184556067,0.019765242647043355,0.002516635485653104,-0.0008266330185760863,0.02693704928573956,0.02693704928573958,-0.0016223639157492244,-0.09306667822026186,-0.08617686699002863,-0.061704092126566114,0.024138208024999927,0.02457112106074398,0.01760212995525957,0.023816110342991033,-0.00024266218511259695
min_center_y,,-0.040860633872915976,-0.029489687187958514,-0.006206878707310338,-0.012836554727735629,,,,0.018409723670801587,0.9996792798504999,-0.0007496155727932664,-0.031196143529140647,0.01857623501577636,0.01823598324373253,1.0,0.9990761728184662,-0.030463622320018476,-0.01733240406408829,-0.005433467451877953,-0.03374317180354327,-0.021969667017597942,-0.02186527535688111,-0.00742475966116089,-0.028907953772140796,-0.013720585758934783,-0.036813231337386516,-0.009718620921255857,-0.042377604143643534,-0.04031869866870371,-0.028729654501673554,-0.022780012788962536,-0.022021297768332206,0.04743087293335611,0.010353219273829834,-0.046832323323193786,-0.009924085619041532,-0.022823373314641484,-0.047279232892092064,-0.047279232892092085,-0.024338174784235236,-0.030112606064953775,-0.03271720816395152,-0.027102100239700614,-0.006969368502758784,-0.01599476837314023,-0.024604996987477097,-0.007398292324181529,-0.03509976187279327
max_center_y,,-0.004792265469491474,0.0012147685314817759,0.015293630818730872,0.01472496259428043,,,,0.01798268437988988,0.9997079415610041,0.022071449945338047,0.0106251170159768,0.017641508339217786,0.01835483626894621,0.9990761728184662,1.0,-0.02884508283548254,-0.0019448635789283872,0.011669114189960157,0.0033472725137262765,-0.024116940050906706,-0.011768887107481986,-0.0019597759951746905,0.000519554503549385,0.003318813068143062,0.0008856184606532146,0.008585995806619307,-0.005087464938653798,-0.023750049418462166,0.00011908392477878721,0.008760565743683656,0.010111283193044718,0.011765443475918133,-0.011367456975468301,-0.011069222001446275,0.011794446661917753,-0.011470895866834602,-0.02275472044255681,-0.022754720442556865,-0.012325446203570062,-0.03224715281831625,-0.03301822809933337,-0.021049094178413996,-0.0009321310377860451,-0.004836364873681976,-0.00026611449191805975,0.008952813317548797,0.0007544915142598229
mean_width,,0.22610326573997602,0.1466684321922374,0.10887258837449816,0.155410195635575,,,,-0.08851387373219183,-0.029404435744701966,0.3140441190941992,0.042155585441866726,-0.09637327034121271,-0.0806706327888317,-0.030463622320018476,-0.02884508283548254,1.0,-0.47371335457142405,0.44151109284678586,-0.013650292848068422,0.963263002236963,0.8896288229672064,-0.5067395030391951,-0.3258531938282797,0.4727139319909607,-0.05016102278709428,0.39715720991707026,-0.00534588143969199,0.5539908370904426,0.4272164962443481,0.2755620268136656,0.23165435087354114,-0.19183118380174638,-0.06735920195510318,0.19564756931740737,0.07165620315673192,0.11018821121183149,0.18640763489658488,0.18640763489658435,0.1141591942297074,0.9749963311572742,0.993413690618693,0.9668097950526676,-0.5106017547422234,-0.5014976896927833,-0.386811942816448,0.42850425430877936,-0.020933438828512035
mean_height,,0.27598639755447785,0.2562814922380759,0.19910354737392305,0.22749152834887162,,,,0.01989332527093524,-0.009944444125451677,0.11233620134391782,0.3658161571061441,0.018186342153050643,0.022391376933545683,-0.01733240406408829,-0.0019448635789283872,-0.47371335457142405,1.0,-0.01080078455043462,0.45932760045926757,-0.49914203057372974,-0.3321898809642037,0.9464367927498682,0.892354792651857,-0.05642108173822552,0.4903048221021832,-0.008778213563633166,0.4127289093800315,0.45705458759281276,0.38279427456737175,0.274682126578249,0.24183915549566878,-0.25173252900478815,-0.18814211510897855,0.25461662404259866,0.19024421653265824,0.10843384231976345,0.17965214869353888,0.1796521486935388,0.1129163659679132,-0.5105890807348873,-0.4939441749284924,-0.4004973294737057,0.9593457540305023,0.9910613116222764,0.9566342730737055,-0.0004882724652908929,0.4534388509354823
std_width,,0.7046604629239432,0.5293227409030156,0.378474207132269,0.500945241531721,,,,0.0005503220065054427,0.002719105375068716,0.8339690271402653,0.40877694181519747,-0.01818592961515674,0.02126717809745289,-0.005433467451877953,0.011669114189960157,0.44151109284678586,-0.01080078455043462,1.0,0.3831563213588607,0.22391399613689247,0.7735019507905515,-0.12495182691576125,0.1949902695816812,0.9690526191438049,0.38198546330931904,0.9648434337007038,0.4067908103533869,0.48752259483212024,0.777609000757227,0.8352617465133909,0.8276828334399994,-0.6786081624456256,-0.3514670353947084,0.6823512622915298,0.3542734477229999,0.2731992605005796,0.5841781365777737,0.5841781365777736,0.29806040527750194,0.23834330530136408,0.3462866398834108,0.6537744639249369,-0.12145345530177618,-0.06643499240624774,0.11498922709924347,0.9881540842760305,0.3679220996699237
std_height,,0.8253377938538671,0.7308871178979757,0.516012689823563,0.6199856706329294,,,,-0.01381496107237184,-0.015878846656975455,0.5701323602150676,0.8996461095077148,-0.026088606324462124,-0.0015776140320386167,-0.03374317180354327,0.0033472725137262765,-0.013650292848068422,0.45932760045926757,0.3831563213588607,1.0,-0.10545963758781798,0.16951589542651993,0.18062782338686015,0.7778583720962915,0.34810602260750895,0.9695356869379178,0.3823334191741825,0.9595903871821932,0.4419980843869013,0.7065609689992213,0.7773291391935165,0.7831231398032009,-0.8085803820770421,-0.5043325039705859,0.8115760813757528,0.5059902426017646,0.2572131634985775,0.5608472637233136,0.5608472637233128,0.2681258604649303,-0.10893049434639206,-0.05431209260428625,0.09544568614785319,0.19821592674490005,0.35513092894988635,0.6960206803100494,0.38270738219464256,0.9914805347542422
min_width,,0.07004774621365989,0.030354884430458605,0.012744838296441236,0.036628938904554535,,,,-0.093472968159862,-0.02265997382553492,0.13409793996016744,-0.04973892183605203,-0.09736741559950374,-0.08993319045621591,-0.021969667017597942,-0.024116940050906706,0.963263002236963,-0.49914203057372974,0.22391399613689247,-0.10545963758781798,1.0,0.7735924424821657,-0.5039930255882693,-0.38898030680958584,0.26275268109472494,-0.1438020215996469,0.1773058026625875,-0.10255141929926767,0.4762230971977628,0.2752056770905821,0.08626520633069672,0.03873212737765588,-0.03549198650522544,0.029862120358780744,0.039090367882909594,-0.0253428621393846,0.05945523463434262,0.06409017046068514,0.06409017046068496,0.05873280372525757,0.9912870352629504,0.9750100941574091,0.8754891263332872,-0.5111896898107736,-0.5161085941445884,-0.4369338893562123,0.20821759218982824,-0.11044869188050091
max_width,,0.5060261623468941,0.33348125033388426,0.22818770229767416,0.33736786872733204,,,,-0.058913303005196496,-0.016802323621238475,0.6080750644058466,0.23001038677532257,-0.07358788758127305,-0.043099793059044475,-0.02186527535688111,-0.011768887107481986,0.8896288229672064,-0.3321898809642037,0.7735019507905515,0.16951589542651993,0.7735924424821657,1.0,-0.40392944314343815,-0.12062942238121457,0.8129045435874488,0.15819518002438407,0.7548527068657429,0.20118382593490183,0.5951628996391921,0.6726244763763304,0.5934489599010485,0.5617266145386295,-0.4754727289907694,-0.19320162388861278,0.4793561949448059,0.19644512828852387,0.24382957426342922,0.4377378165825855,0.43773781658258526,0.25931909973686473,0.783805848941861,0.8361403241709218,0.9649886335417504,-0.40609260747439035,-0.37888746428393855,-0.21461959650234638,0.7418385126782006,0.1509250887103756
min_height,,0.04338001354233947,0.046821226153043426,0.05092774382895766,0.05387078661204339,,,,0.019291663358449958,-0.004921867154638394,-0.05176441941775561,0.12089549834428573,0.021066949399220113,0.01827423905506007,-0.00742475966116089,-0.0019597759951746905,-0.5067395030391951,0.9464367927498682,-0.12495182691576125,0.18062782338686015,-0.5039930255882693,-0.40392944314343815,1.0,0.7391943898306481,-0.1601282909216123,0.2226687804699728,-0.11957820964596441,0.13543331490077712,0.36427380232571827,0.21031591579799633,0.05920083421035487,0.016554914746595508,-0.018267546791625518,-0.033903440786492295,0.02087068021097232,0.03665330466488527,0.050774486695332924,0.0341862774522034,0.034186277452203366,0.05198351725112821,-0.516757322699552,-0.5175147882937267,-0.46047016816101377,0.9915512842502371,0.9630556327525722,0.8243099244775256,-0.11717436717056111,0.1724281620193852
max_height,,0.5955467558955824,0.4988146654681599,0.3537261596151304,0.44213701917951787,,,,0.00331874051203877,-0.014835591203269154,0.3426222820515376,0.68182820328607,-0.003944158416760525,0.011169508418986117,-0.028907953772140796,0.000519554503549385,-0.3258531938282797,0.892354792651857,0.1949902695816812,0.7778583720962915,-0.38898030680958584,-0.12062942238121457,0.7391943898306481,1.0,0.16324398408934504,0.8192082784753585,0.21470249119149692,0.7585527709100524,0.5158572550602726,0.626817139600391,0.5868467700686834,0.5685637599417251,-0.5779769716225264,-0.34626995022246243,0.5806914932605348,0.3475776948795565,0.2431359203074968,0.4329652665902761,0.4329652665902756,0.2531068167831292,-0.3976699543405736,-0.3628253997844072,-0.22001930442056042,0.7522659390991971,0.831596972948083,0.9713165163826536,0.19411895150331082,0.7540065036185827
width_change,,0.6924388638688069,0.47085146827772495,0.32043359643638253,0.46433257446304227,,,,-0.00569370377938519,-0.0055208817494034204,0.7932886215817225,0.3899765664336542,-0.0241867264219823,0.014854767670710752,-0.013720585758934783,0.003318813068143062,0.4727139319909607,-0.05642108173822552,0.9690526191438049,0.34810602260750895,0.26275268109472494,0.8129045435874488,-0.1601282909216123,0.16324398408934504,1.0,0.36525421673134206,0.9907559264775773,0.39370039976974736,0.4630653533185188,0.7656702168626064,0.8214777070880354,0.8177871232727473,-0.675854838902871,-0.3051133841891548,0.6786230004870489,0.30593997464106687,0.31412019126161006,0.6019647688548364,0.6019647688548355,0.33808512418136977,0.28620148510832705,0.38108605689911457,0.6671309072681475,-0.15716346710077211,-0.11130451196610959,0.06515909304720643,0.9370225021125134,0.3254247153990324
height_change,,0.8158162241530295,0.6789119352067884,0.4641694053840945,0.5876607706040796,,,,-0.016053652713223752,-0.018618882536003814,0.5321768948917935,0.8793274441848438,-0.02788055587075137,-0.004076043602906714,-0.036813231337386516,0.0008856184606532146,-0.05016102278709428,0.4903048221021832,0.38198546330931904,0.9695356869379178,-0.1438020215996469,0.15819518002438407,0.2226687804699728,0.8192082784753585,0.36525421673134206,1.0,0.4059956291182681,0.9874528948837018,0.43116190065840265,0.7222794998834422,0.7971380899736749,0.8078936224622288,-0.811911355401645,-0.46736811031593944,0.8135948131875171,0.4669728431605811,0.3054856321698299,0.5943054103625325,0.5943054103625319,0.3185493676135239,-0.14533532472413915,-0.09377003909537511,0.06341408912930209,0.2493167948670836,0.38904382766665313,0.707423705003995,0.375315804622908,0.9443790245211169
width_growth_ratio,,0.7026039462138768,0.47985480043523493,0.33030702802522305,0.47351546628673696,,,,-0.0021904206826159523,-0.001122666799215923,0.7882351914165998,0.4169763777948958,-0.0204694024504653,0.018222091758835157,-0.009718620921255857,0.008585995806619307,0.39715720991707026,-0.008778213563633166,0.9648434337007038,0.3823334191741825,0.1773058026625875,0.7548527068657429,-0.11957820964596441,0.21470249119149692,0.9907559264775773,0.4059956291182681,1.0,0.4308988942678332,0.43793083806971145,0.7674167009948966,0.8436684417328845,0.8495192511200179,-0.6927233235421812,-0.32050423872061945,0.6948309832052592,0.32067320638762475,0.31653038253168986,0.6093457501919846,0.6093457501919838,0.3405360593037384,0.20343712928588215,0.30425950123526585,0.6026740736493972,-0.1149624338618974,-0.06527920971454504,0.11424559583789132,0.9379213082258405,0.35799010012748056
