feature,target_correlation
observed_zm_el_75pct,0.5911534196732672
class_transition_count,0.5786015945798749
zm_el_fraction_75pct,0.4180340334685633
zm_el_count_75pct,0.4180340334685627
max_area,0.2696298092340488
mean_movement,0.2552830468729194
mean_match_cost,0.2540882978159784
mean_iou,-0.2535054265387106
area_growth_ratio,0.2506344833181239
area_change,0.249639494432572
width_growth_ratio,0.2458200044515924
width_change,0.24414718794316964
mean_area,0.22523444263321232
height_growth_ratio,0.22298163879541422
height_change,0.22261033079793432
width_growth_early_late,0.21773619185899554
max_width,0.21439486176545894
std_width,0.21141651206402837
max_height,0.1901688957273509
height_growth_early_late,0.18334966215454868
std_height,0.1809502903299156
late_width,0.17660288195959942
std_center_x,0.17176584547273752
std_center_y,0.1636150985092883
late_height,0.14876341304000676
movement_std,0.13647172978601005
mean_width,0.13602786333785663
middle_width,0.1171817682447018
mean_height,0.10854010180940342
median_movement,0.1004798761199907
early_width,0.09403454170586988
min_width,0.08908402287942893
middle_height,0.08792235515143872
early_height,0.06394363939243533
min_height,0.06275275408408662
max_movement,0.05677913752083255
min_center_x,-0.04975347554567526
max_match_cost,0.046119861709519025
min_iou,-0.046002767230062115
mean_center_x,-0.045186851300797824
min_center_y,-0.04331709948448947
max_center_x,-0.04072407643294499
mean_center_y,-0.0396622507484835
max_center_y,-0.035704924183624344
total_frames,
jumps_gt_005,
jumps_gt_010,
jumps_gt_020,
