feature_kept,feature_removed,correlation,kept_target_correlation,removed_target_correlation
zm_el_count_75pct,zm_el_fraction_75pct,1.0,0.4197080337010315,0.4197080337010312
mean_match_cost,mean_iou,-0.9998303827134295,0.25917241648207434,-0.2590268725872047
mean_center_y,max_center_y,0.9997235700944523,-0.059002254189922956,-0.055340010653854764
min_center_y,mean_center_y,0.9996935713232645,-0.06255176915295649,-0.059002254189922956
mean_center_x,max_center_x,0.9996866925631653,-0.01704965321001365,-0.012730872748876016
min_center_x,mean_center_x,0.9996600174260685,-0.021241741180671233,-0.01704965321001365
min_iou,max_match_cost,-0.9993928859844746,-0.06236382408762557,0.06202802829014016
mean_width,middle_width,0.9939307024169646,0.11896252694408697,0.10017389433819246
min_height,early_height,0.9915307010448772,0.048435954121534605,0.048235252691247905
early_width,min_width,0.9915011253304306,0.07770192479876308,0.07144304961764826
mean_height,middle_height,0.9913305063346267,0.09237415806106256,0.07122005569800519
height_growth_early_late,std_height,0.9911216207102919,0.18645088687320435,0.1803043241080275
width_growth_ratio,width_change,0.9906161843611825,0.23959230732530978,0.2377928747286319
area_growth_ratio,area_change,0.9884047999761923,0.2400894541364131,0.23681481309112892
width_growth_early_late,std_width,0.9882424768470023,0.21202092584182702,0.2064671410393049
observed_zm_el_75pct,class_transition_count,0.9880152155248553,0.5833441771740794,0.5763529229358176
mean_match_cost,mean_movement,0.9868970313571098,0.25917241648207434,0.25666643766872704
height_change,height_growth_ratio,0.9862307845797517,0.22259569364918033,0.22080019828242195
mean_width,early_width,0.9754649571543237,0.11896252694408697,0.07770192479876308
max_height,late_height,0.9702350580218774,0.1807558053680455,0.13606069123508036
late_width,mean_width,0.9677200746784101,0.1603684801855408,0.11896252694408697
max_width,late_width,0.9666095187843151,0.19965059482258551,0.1603684801855408
max_movement,min_iou,-0.9586219427589543,0.07296295252186709,-0.06236382408762557
mean_height,min_height,0.9518064196980003,0.09237415806106256,0.048435954121534605
