feature_1,feature_2,correlation,absolute_correlation
zm_el_count_75pct,zm_el_fraction_75pct,1.0,1.0
mean_iou,mean_match_cost,-0.9998303827134295,0.9998303827134295
mean_center_y,max_center_y,0.9997235700944523,0.9997235700944523
mean_center_y,min_center_y,0.9996935713232645,0.9996935713232645
mean_center_x,max_center_x,0.9996866925631653,0.9996866925631653
mean_center_x,min_center_x,0.9996600174260685,0.9996600174260685
min_iou,max_match_cost,-0.9993928859844746,0.9993928859844746
min_center_y,max_center_y,0.9991263182722611,0.9991263182722611
min_center_x,max_center_x,0.999062350295399,0.999062350295399
mean_width,middle_width,0.9939307024169646,0.9939307024169646
min_height,early_height,0.9915307010448772,0.9915307010448772
min_width,early_width,0.9915011253304306,0.9915011253304306
mean_height,middle_height,0.9913305063346267,0.9913305063346267
std_height,height_growth_early_late,0.9911216207102919,0.9911216207102919
width_change,width_growth_ratio,0.9906161843611825,0.9906161843611825
early_width,middle_width,0.9886407081990289,0.9886407081990289
area_change,area_growth_ratio,0.9884047999761923,0.9884047999761923
std_width,width_growth_early_late,0.9882424768470023,0.9882424768470023
class_transition_count,observed_zm_el_75pct,0.9880152155248553,0.9880152155248553
mean_movement,mean_match_cost,0.9868970313571098,0.9868970313571098
height_change,height_growth_ratio,0.9862307845797517,0.9862307845797517
early_height,middle_height,0.9847200704430499,0.9847200704430499
mean_movement,mean_iou,-0.983757942008643,0.983757942008643
mean_width,early_width,0.9754649571543237,0.9754649571543237
min_width,middle_width,0.9751871848319018,0.9751871848319018
max_height,late_height,0.9702350580218774,0.9702350580218774
std_height,height_change,0.9701805107766781,0.9701805107766781
min_height,middle_height,0.9693700076600029,0.9693700076600029
std_width,width_change,0.9681248299397738,0.9681248299397738
mean_width,late_width,0.9677200746784101,0.9677200746784101
std_width,width_growth_ratio,0.9672035435218067,0.9672035435218067
max_movement,max_match_cost,0.967181403547696,0.967181403547696
max_width,late_width,0.9666095187843151,0.9666095187843151
mean_height,early_height,0.9657825855419526,0.9657825855419526
mean_width,min_width,0.9636723789782957,0.9636723789782957
std_height,height_growth_ratio,0.9621137131903849,0.9621137131903849
max_movement,min_iou,-0.9586219427589543,0.9586219427589543
mean_height,late_height,0.9571431911163688,0.9571431911163688
mean_height,min_height,0.9518064196980003,0.9518064196980003
