,median_movement,max_movement,movement_std,std_center_x,std_center_y,min_center_x,min_center_y,mean_height,max_width,max_height,height_change,width_growth_ratio,mean_area,max_area,area_growth_ratio,mean_match_cost,zm_el_count_75pct,observed_zm_el_75pct,width_growth_early_late,height_growth_early_late
median_movement,1.0,0.465919588273349,0.5875524024603823,0.6365548872064758,0.7525795460384523,-0.03075729368466003,-0.03332209855655062,0.24609633819061663,0.3518004210272683,0.5056073753829683,0.6922912619340524,0.4974949429836701,0.4335315231115404,0.6605913106090492,0.7066090424369322,0.7263083163133094,0.3991519044600964,0.15123862806610944,0.5344687296648091,0.7432571845951288
max_movement,0.465919588273349,1.0,0.9458955647697473,0.5395924950364287,0.47795467101189826,-0.07862529371360978,-0.021318119561315293,0.18060650666208455,0.34070713786453805,0.3627866474750751,0.49234030573314597,0.4579758811905186,0.4187274802929109,0.5811533420633983,0.583487635581336,0.686430763679557,0.3455121122206531,0.1333033279718005,0.5224470866412674,0.5209761979605965
movement_std,0.5875524024603823,0.9458955647697473,1.0,0.6793308573822998,0.6473354094336636,-0.06960009317950397,-0.034981494162252706,0.21257449400026768,0.4610900522796256,0.46595495912770474,0.6402587350450168,0.6123749407807414,0.49206178477157286,0.7233626297214949,0.7407179229389931,0.8604986403189652,0.5035913776012044,0.2537338070368621,0.6324672456769133,0.6365658519475255
std_center_x,0.6365548872064758,0.5395924950364287,0.6793308573822998,1.0,0.5554124656993124,-0.04224603529927525,0.00952481689217148,0.11907073655260296,0.64977284888283,0.3716901470181453,0.5753627733917017,0.8330679348070992,0.5233038351339545,0.812480665307211,0.8525392225482895,0.7757095007119691,0.5622387895362471,0.27636292003006085,0.8577207859997159,0.6008943708982296
std_center_y,0.7525795460384523,0.47795467101189826,0.6473354094336636,0.5554124656993124,1.0,-0.020490013200279263,-0.032014616904796775,0.32299768243893323,0.2660082201868708,0.6573738918623634,0.8709355643765685,0.4432432210527911,0.3944193421222361,0.6655720660142287,0.7446945404046597,0.8103597583465897,0.5325278012701788,0.2517760662791002,0.4241057182059209,0.8721426648613577
min_center_x,-0.03075729368466003,-0.07862529371360978,-0.06960009317950397,-0.04224603529927525,-0.020490013200279263,1.0,0.011573288211372058,0.04692502897453432,-0.08662072274128844,0.026834263604876035,-0.009690050099590848,-0.03101822763576057,-0.052382446407672416,-0.041283671147561936,-0.02586401722023699,-0.029707796804571092,0.0004072287917256476,0.021742130653645664,-0.039891342788474865,-0.017140957068380938
min_center_y,-0.03332209855655062,-0.021318119561315293,-0.034981494162252706,0.00952481689217148,-0.032014616904796775,0.011573288211372058,1.0,-0.02464483916442079,-0.029603104802862816,-0.03910029891635273,-0.043560245469615275,-0.011374631888424452,-0.05827851487738693,-0.04338415863768684,-0.026187348006920883,-0.05076093228537179,-0.028019103676459704,-0.022284662771464896,-0.0033774888077852854,-0.034633926183304166
mean_height,0.24609633819061663,0.18060650666208455,0.21257449400026768,0.11907073655260296,0.32299768243893323,0.04692502897453432,-0.02464483916442079,1.0,-0.3148581185965503,0.8879823725020327,0.4529773404248384,0.019032270177118085,0.46158593402199427,0.3762517486765756,0.23369895324046458,0.23631473092062752,0.16425136106289856,0.10169226431417469,0.03698745881303684,0.4138103895636247
max_width,0.3518004210272683,0.34070713786453805,0.4610900522796256,0.64977284888283,0.2660082201868708,-0.08662072274128844,-0.029603104802862816,-0.3148581185965503,1.0,-0.09430874013612876,0.20474907959219263,0.7491453262175701,0.6138531371307137,0.691817961053204,0.5770788939762859,0.514228535085111,0.4233643627115992,0.2431370956793641,0.7321666517038262,0.21029400854270897
max_height,0.5056073753829683,0.3627866474750751,0.46595495912770474,0.3716901470181453,0.6573738918623634,0.026834263604876035,-0.03910029891635273,0.8879823725020327,-0.09430874013612876,1.0,0.8008945192160744,0.25015100316176503,0.5266714586761163,0.6268495771957633,0.5692978091154558,0.5775128308134125,0.4297195107399373,0.24731405811326268,0.2472756052532151,0.7376259772040352
height_change,0.6922912619340524,0.49234030573314597,0.6402587350450168,0.5753627733917017,0.8709355643765685,-0.009690050099590848,-0.043560245469615275,0.4529773404248384,0.20474907959219263,0.8008945192160744,1.0,0.45369101653042615,0.43899583518115703,0.731592313179424,0.823738268474603,0.8195034536078409,0.5986865739695374,0.32011434632610863,0.44179960886017666,0.945766023616084
