group,total_seeds,correct_predictions,mean_germination_probability,accuracy
zm1_1,10,10,0.6764162002572652,1.0
zm1_2,10,7,0.5933232325097423,0.7
zm1_8,10,7,0.5736667718284169,0.7
zm2_1,10,9,0.785847060513543,0.9
zm2_4,10,9,0.8350962144768607,0.9
zm2_8,9,8,0.9160389403383099,0.8888888888888888
zm3_7,10,10,0.9999419061455003,1.0
zm3_9,10,9,0.5275862461715428,0.9
zm4_2,7,7,0.9224783593385737,1.0
zm4_9,8,8,0.9997922722506182,1.0
zm5_4,10,10,0.8038994762407887,1.0
zm5_5,10,8,0.9013636662471722,0.8
zm5_8,11,10,0.8700845881629288,0.9090909090909091
zm6_3,10,9,0.801676705819719,0.9
zm6_8,10,10,0.8865288580032044,1.0
zm7_10,10,8,0.5626173340008598,0.8
zm7_7,10,10,0.8543336092325171,1.0
