feature_set,model,threshold,accuracy,precision,recall,f1
FULL_20_FEATURES,Logistic Regression,0.3,0.8484848484848485,0.8376623376623377,1.0,0.911660777385159
FULL_20_FEATURES,Logistic Regression,0.325,0.8545454545454545,0.847682119205298,0.9922480620155039,0.9142857142857143
FULL_20_FEATURES,Logistic Regression,0.35,0.8666666666666667,0.8639455782312925,0.9844961240310077,0.9202898550724637
FULL_20_FEATURES,Logistic Regression,0.375,0.8727272727272727,0.8698630136986302,0.9844961240310077,0.9236363636363636
FULL_20_FEATURES,Logistic Regression,0.4,0.8666666666666667,0.8689655172413793,0.9767441860465116,0.9197080291970803
FULL_20_FEATURES,Logistic Regression,0.425,0.8787878787878788,0.8865248226950354,0.9689922480620154,0.9259259259259259
FULL_20_FEATURES,Logistic Regression,0.45,0.9030303030303031,0.924812030075188,0.9534883720930233,0.9389312977099237
FULL_20_FEATURES,Logistic Regression,0.475,0.9030303030303031,0.9312977099236641,0.9457364341085271,0.9384615384615385
FULL_20_FEATURES,Logistic Regression,0.5,0.9030303030303031,0.937984496124031,0.937984496124031,0.937984496124031
FULL_20_FEATURES,Logistic Regression,0.525,0.896969696969697,0.9375,0.9302325581395349,0.933852140077821
FULL_20_FEATURES,Logistic Regression,0.55,0.8727272727272727,0.9354838709677419,0.8992248062015504,0.9169960474308301
FULL_20_FEATURES,Logistic Regression,0.575,0.8727272727272727,0.9426229508196722,0.8914728682170543,0.9163346613545816
FULL_20_FEATURES,Logistic Regression,0.6,0.8545454545454545,0.9487179487179487,0.8604651162790697,0.9024390243902439
FULL_20_FEATURES,Logistic Regression,0.625,0.8545454545454545,0.9565217391304348,0.8527131782945736,0.9016393442622951
FULL_20_FEATURES,Logistic Regression,0.65,0.8545454545454545,0.972972972972973,0.8372093023255814,0.9
FULL_20_FEATURES,Logistic Regression,0.675,0.8545454545454545,0.981651376146789,0.8294573643410853,0.8991596638655462
FULL_20_FEATURES,Logistic Regression,0.7,0.8545454545454545,0.981651376146789,0.8294573643410853,0.8991596638655462
FULL_20_FEATURES,Random Forest,0.3,0.8242424242424242,0.8205128205128205,0.9922480620155039,0.8982456140350877
FULL_20_FEATURES,Random Forest,0.325,0.8303030303030303,0.8258064516129032,0.9922480620155039,0.9014084507042254
FULL_20_FEATURES,Random Forest,0.35,0.8424242424242424,0.8366013071895425,0.9922480620155039,0.9078014184397163
FULL_20_FEATURES,Random Forest,0.375,0.8424242424242424,0.8456375838926175,0.9767441860465116,0.9064748201438849
FULL_20_FEATURES,Random Forest,0.4,0.8606060606060606,0.863013698630137,0.9767441860465116,0.9163636363636364
FULL_20_FEATURES,Random Forest,0.425,0.8666666666666667,0.8794326241134752,0.9612403100775194,0.9185185185185185
FULL_20_FEATURES,Random Forest,0.45,0.8787878787878788,0.8978102189781022,0.9534883720930233,0.924812030075188
FULL_20_FEATURES,Random Forest,0.475,0.8787878787878788,0.9097744360902256,0.937984496124031,0.9236641221374046
FULL_20_FEATURES,Random Forest,0.5,0.8666666666666667,0.9083969465648855,0.9224806201550387,0.9153846153846154
FULL_20_FEATURES,Random Forest,0.525,0.8606060606060606,0.9140625,0.9069767441860465,0.9105058365758755
FULL_20_FEATURES,Random Forest,0.55,0.8606060606060606,0.9274193548387096,0.8914728682170543,0.9090909090909091
FULL_20_FEATURES,Random Forest,0.575,0.8606060606060606,0.9274193548387096,0.8914728682170543,0.9090909090909091
FULL_20_FEATURES,Random Forest,0.6,0.8666666666666667,0.9349593495934959,0.8914728682170543,0.9126984126984127
FULL_20_FEATURES,Random Forest,0.625,0.8606060606060606,0.9344262295081968,0.8837209302325582,0.9083665338645418
FULL_20_FEATURES,Random Forest,0.65,0.8666666666666667,0.9421487603305785,0.8837209302325582,0.912
FULL_20_FEATURES,Random Forest,0.675,0.8545454545454545,0.9411764705882353,0.8682170542635659,0.9032258064516129
FULL_20_FEATURES,Random Forest,0.7,0.8424242424242424,0.9557522123893806,0.8372093023255814,0.8925619834710744
FULL_20_FEATURES,Gradient Boosting,0.3,0.8545454545454545,0.8620689655172413,0.9689922480620154,0.9124087591240876
FULL_20_FEATURES,Gradient Boosting,0.325,0.8727272727272727,0.8802816901408451,0.9689922480620154,0.922509225092251
FULL_20_FEATURES,Gradient Boosting,0.35,0.8787878787878788,0.8865248226950354,0.9689922480620154,0.9259259259259259
FULL_20_FEATURES,Gradient Boosting,0.375,0.8848484848484849,0.8928571428571429,0.9689922480620154,0.929368029739777
FULL_20_FEATURES,Gradient Boosting,0.4,0.8848484848484849,0.8928571428571429,0.9689922480620154,0.929368029739777
FULL_20_FEATURES,Gradient Boosting,0.425,0.8909090909090909,0.8992805755395683,0.9689922480620154,0.9328358208955224
FULL_20_FEATURES,Gradient Boosting,0.45,0.896969696969697,0.9057971014492754,0.9689922480620154,0.9363295880149812
FULL_20_FEATURES,Gradient Boosting,0.475,0.8909090909090909,0.9111111111111111,0.9534883720930233,0.9318181818181818
FULL_20_FEATURES,Gradient Boosting,0.5,0.8909090909090909,0.9172932330827067,0.9457364341085271,0.9312977099236641
FULL_20_FEATURES,Gradient Boosting,0.525,0.8909090909090909,0.9236641221374046,0.937984496124031,0.9307692307692308
FULL_20_FEATURES,Gradient Boosting,0.55,0.8909090909090909,0.9236641221374046,0.937984496124031,0.9307692307692308
FULL_20_FEATURES,Gradient Boosting,0.575,0.8848484848484849,0.9230769230769231,0.9302325581395349,0.9266409266409267
FULL_20_FEATURES,Gradient Boosting,0.6,0.8787878787878788,0.9224806201550387,0.9224806201550387,0.9224806201550387
FULL_20_FEATURES,Gradient Boosting,0.625,0.8727272727272727,0.921875,0.9147286821705426,0.9182879377431906
FULL_20_FEATURES,Gradient Boosting,0.65,0.8787878787878788,0.9291338582677166,0.9147286821705426,0.921875
FULL_20_FEATURES,Gradient Boosting,0.675,0.8787878787878788,0.936,0.9069767441860465,0.9212598425196851
FULL_20_FEATURES,Gradient Boosting,0.7,0.8787878787878788,0.936,0.9069767441860465,0.9212598425196851
FULL_20_FEATURES,SVM,0.3,0.8666666666666667,0.8590604026845637,0.9922480620155039,0.920863309352518
FULL_20_FEATURES,SVM,0.325,0.8606060606060606,0.8581081081081081,0.9844961240310077,0.9169675090252708
FULL_20_FEATURES,SVM,0.35,0.8606060606060606,0.8581081081081081,0.9844961240310077,0.9169675090252708
FULL_20_FEATURES,SVM,0.375,0.8666666666666667,0.8639455782312925,0.9844961240310077,0.9202898550724637
FULL_20_FEATURES,SVM,0.4,0.8666666666666667,0.8639455782312925,0.9844961240310077,0.9202898550724637
FULL_20_FEATURES,SVM,0.425,0.8787878787878788,0.8758620689655172,0.9844961240310077,0.927007299270073
FULL_20_FEATURES,SVM,0.45,0.896969696969697,0.9,0.9767441860465116,0.9368029739776952
FULL_20_FEATURES,SVM,0.475,0.9030303030303031,0.9064748201438849,0.9767441860465116,0.9402985074626866
FULL_20_FEATURES,SVM,0.5,0.8848484848484849,0.9044117647058824,0.9534883720930233,0.9283018867924528
FULL_20_FEATURES,SVM,0.525,0.8787878787878788,0.9097744360902256,0.937984496124031,0.9236641221374046
FULL_20_FEATURES,SVM,0.55,0.8727272727272727,0.9090909090909091,0.9302325581395349,0.9195402298850575
FULL_20_FEATURES,SVM,0.575,0.8666666666666667,0.9083969465648855,0.9224806201550387,0.9153846153846154
FULL_20_FEATURES,SVM,0.6,0.8424242424242424,0.905511811023622,0.8914728682170543,0.8984375
FULL_20_FEATURES,SVM,0.625,0.8424242424242424,0.905511811023622,0.8914728682170543,0.8984375
FULL_20_FEATURES,SVM,0.65,0.8606060606060606,0.9274193548387096,0.8914728682170543,0.9090909090909091
FULL_20_FEATURES,SVM,0.675,0.8484848484848485,0.9262295081967213,0.875968992248062,0.900398406374502
FULL_20_FEATURES,SVM,0.7,0.8484848484848485,0.9262295081967213,0.875968992248062,0.900398406374502
REDUCED_16_FEATURES,Logistic Regression,0.3,0.8424242424242424,0.8366013071895425,0.9922480620155039,0.9078014184397163
REDUCED_16_FEATURES,Logistic Regression,0.325,0.8606060606060606,0.8533333333333334,0.9922480620155039,0.9175627240143369
REDUCED_16_FEATURES,Logistic Regression,0.35,0.8606060606060606,0.8581081081081081,0.9844961240310077,0.9169675090252708
REDUCED_16_FEATURES,Logistic Regression,0.375,0.8666666666666667,0.8689655172413793,0.9767441860465116,0.9197080291970803
REDUCED_16_FEATURES,Logistic Regression,0.4,0.8848484848484849,0.8873239436619719,0.9767441860465116,0.9298892988929889
REDUCED_16_FEATURES,Logistic Regression,0.425,0.8909090909090909,0.8992805755395683,0.9689922480620154,0.9328358208955224
REDUCED_16_FEATURES,Logistic Regression,0.45,0.8909090909090909,0.9051094890510949,0.9612403100775194,0.9323308270676691
