feature_set,model,threshold_type,threshold,accuracy,precision,recall,f1,TN,FP,FN,TP
FULL_20_FEATURES,Gradient Boosting,DEFAULT_0.50,0.5,0.8909090909090909,0.9172932330827067,0.9457364341085271,0.9312977099236641,25,11,7,122
FULL_20_FEATURES,Gradient Boosting,BEST_F1_THRESHOLD,0.45,0.896969696969697,0.9057971014492754,0.9689922480620154,0.9363295880149812,23,13,4,125
FULL_20_FEATURES,Logistic Regression,DEFAULT_0.50,0.5,0.9030303030303031,0.937984496124031,0.937984496124031,0.937984496124031,28,8,8,121
FULL_20_FEATURES,Logistic Regression,BEST_F1_THRESHOLD,0.45,0.9030303030303031,0.924812030075188,0.9534883720930233,0.9389312977099237,26,10,6,123
FULL_20_FEATURES,Random Forest,DEFAULT_0.50,0.5,0.8727272727272727,0.9090909090909091,0.9302325581395349,0.9195402298850575,24,12,9,120
FULL_20_FEATURES,Random Forest,BEST_F1_THRESHOLD,0.45,0.8787878787878788,0.8978102189781022,0.9534883720930233,0.924812030075188,22,14,6,123
FULL_20_FEATURES,SVM,DEFAULT_0.50,0.5,0.8848484848484849,0.9044117647058824,0.9534883720930233,0.9283018867924528,23,13,6,123
FULL_20_FEATURES,SVM,BEST_F1_THRESHOLD,0.475,0.9030303030303031,0.9064748201438849,0.9767441860465116,0.9402985074626866,23,13,3,126
REDUCED_16_FEATURES,Gradient Boosting,DEFAULT_0.50,0.5,0.9151515151515152,0.9389312977099237,0.9534883720930233,0.9461538461538461,28,8,6,123
REDUCED_16_FEATURES,Gradient Boosting,BEST_F1_THRESHOLD,0.425,0.9151515151515152,0.9259259259259259,0.9689922480620154,0.946969696969697,26,10,4,125
REDUCED_16_FEATURES,Logistic Regression,DEFAULT_0.50,0.5,0.9030303030303031,0.937984496124031,0.937984496124031,0.937984496124031,28,8,8,121
REDUCED_16_FEATURES,Logistic Regression,BEST_F1_THRESHOLD,0.475,0.9090909090909091,0.9318181818181818,0.9534883720930233,0.9425287356321839,27,9,6,123
REDUCED_16_FEATURES,Random Forest,DEFAULT_0.50,0.5,0.8606060606060606,0.9076923076923077,0.9147286821705426,0.9111969111969112,24,12,11,118
REDUCED_16_FEATURES,Random Forest,BEST_F1_THRESHOLD,0.425,0.8666666666666667,0.8848920863309353,0.9534883720930233,0.917910447761194,20,16,6,123
REDUCED_16_FEATURES,SVM,DEFAULT_0.50,0.5,0.8848484848484849,0.9044117647058824,0.9534883720930233,0.9283018867924528,23,13,6,123
REDUCED_16_FEATURES,SVM,BEST_F1_THRESHOLD,0.575,0.896969696969697,0.917910447761194,0.9534883720930233,0.935361216730038,25,11,6,123
