feature,importance,rank
zm_el_count_75pct,0.45982759686090696,1
area_growth_ratio,0.13256265733354797,2
max_area,0.061734321129903805,3
std_center_x,0.0548606547446417,4
mean_area,0.05315843866356597,5
std_center_y,0.04993675172141992,6
width_growth_ratio,0.04726873409881538,7
max_width,0.03129761253219122,8
movement_std,0.024603508556495332,9
min_center_x,0.024588984475933554,10
min_center_y,0.02175914423314231,11
height_change,0.013099277545367077,12
mean_height,0.012089094018057061,13
max_movement,0.010922552591028471,14
max_height,0.002290671494983272,15
median_movement,0.0,16
