feature,correct_mean,error_mean,difference_error_minus_correct,absolute_difference
zm_el_count_75pct,12.979310344827587,0.0,-12.979310344827587,12.979310344827587
area_growth_ratio,1.28860291552096,1.1118198511992836,-0.17678306432167634,0.17678306432167634
width_growth_ratio,1.1402239512000119,1.0571325518089933,-0.0830913993910185,0.0830913993910185
min_center_x,0.47863616268788683,0.530849358974359,0.0522131962864722,0.0522131962864722
min_center_y,0.4950154730327144,0.5125,0.01748452696728553,0.01748452696728553
max_width,0.14153404067197167,0.12948717948717942,-0.012046861184792257,0.012046861184792257
max_height,0.13360963748894777,0.12347756410256405,-0.010132073386383722,0.010132073386383722
height_change,0.015207780725022085,0.00608974358974357,-0.009118037135278515,0.009118037135278515
mean_height,0.12485724285293248,0.12181824252136746,-0.0030390003315650255,0.0030390003315650255
max_area,0.018672404582964874,0.015781789324457545,-0.0028906152585073293,0.0028906152585073293
std_center_x,0.002195884919487135,0.0007322074907659111,-0.0014636774287212237,0.0014636774287212237
max_movement,0.002618550439128602,0.0014845700880423847,-0.001133980351086217,0.001133980351086217
std_center_y,0.001707064683127484,0.000671891177754905,-0.001035173505372579,0.001035173505372579
mean_area,0.016242874836106716,0.015376673546620404,-0.0008662012894863121,0.0008662012894863121
movement_std,0.0005188465513600855,0.00032152406634132003,-0.00019732248501876549,0.00019732248501876549
median_movement,6.03128512509531e-05,0.0,-6.03128512509531e-05,6.03128512509531e-05
