group,total_test_seeds,total_errors,false_positives,false_negatives,error_rate
zm1_2,10,4.0,3.0,1.0,0.4
zm7_10,10,3.0,2.0,1.0,0.3
zm1_1,10,2.0,2.0,0.0,0.2
zm3_9,10,2.0,2.0,0.0,0.2
zm1_8,10,2.0,1.0,1.0,0.2
zm5_5,10,2.0,2.0,0.0,0.2
zm4_2,7,1.0,1.0,0.0,0.14285714285714285
zm2_8,9,1.0,1.0,0.0,0.1111111111111111
zm2_1,10,1.0,1.0,0.0,0.1
zm2_4,10,1.0,1.0,0.0,0.1
zm5_8,11,1.0,1.0,0.0,0.09090909090909091
zm3_7,10,0.0,0.0,0.0,0.0
zm5_4,10,0.0,0.0,0.0,0.0
zm4_9,8,0.0,0.0,0.0,0.0
zm6_3,10,0.0,0.0,0.0,0.0
zm6_8,10,0.0,0.0,0.0,0.0
zm7_7,10,0.0,0.0,0.0,0.0
