group,image_count,min_frame,max_frame,unique_frames
zm1_1,97,1,97,97
zm1_10,97,1,97,97
zm1_11,97,1,97,97
zm1_12,97,1,97,97
zm1_2,97,1,97,97
zm1_3,97,1,97,97
zm1_4,97,1,97,97
zm1_5,97,1,97,97
zm1_6,97,1,97,97
zm1_7,97,1,97,97
zm1_8,97,1,97,97
zm1_9,97,1,97,97
zm2_1,97,1,97,97
zm2_10,97,1,97,97
zm2_11,97,1,97,97
zm2_12,97,1,97,97
zm2_2,97,1,97,97
zm2_3,97,1,97,97
zm2_4,97,1,97,97
zm2_5,97,1,97,97
zm2_6,97,1,97,97
zm2_7,97,1,97,97
zm2_8,97,1,97,97
zm2_9,97,1,97,97
zm3_1,97,1,97,97
zm3_10,97,1,97,97
zm3_11,97,1,97,97
zm3_12,97,1,97,97
zm3_2,97,1,97,97
zm3_3,97,1,97,97
zm3_4,97,1,97,97
zm3_5,97,1,97,97
zm3_6,97,1,97,97
zm3_7,97,1,97,97
zm3_8,97,1,97,97
zm3_9,97,1,97,97
zm4_1,97,1,97,97
zm4_10,97,1,97,97
zm4_11,97,1,97,97
zm4_12,97,1,97,97
zm4_2,97,1,97,97
zm4_3,97,1,97,97
zm4_4,97,1,97,97
zm4_5,97,1,97,97
zm4_6,97,1,97,97
zm4_7,97,1,97,97
zm4_8,97,1,97,97
zm4_9,97,1,97,97
zm5_1,97,1,97,97
zm5_10,97,1,97,97
zm5_11,97,1,97,97
zm5_12,97,1,97,97
zm5_2,97,1,97,97
zm5_3,97,1,97,97
zm5_4,97,1,97,97
zm5_5,97,1,97,97
zm5_6,97,1,97,97
zm5_7,97,1,97,97
zm5_8,97,1,97,97
zm5_9,97,1,97,97
zm6_1,97,1,97,97
zm6_10,97,1,97,97
zm6_11,97,1,97,97
zm6_12,97,1,97,97
zm6_2,97,1,97,97
zm6_3,97,1,97,97
zm6_4,97,1,97,97
zm6_5,97,1,97,97
zm6_6,97,1,97,97
zm6_7,97,1,97,97
zm6_8,97,1,97,97
zm6_9,97,1,97,97
zm7_1,97,1,97,97
zm7_10,97,1,97,97
zm7_11,97,1,97,97
zm7_12,97,1,97,97
zm7_2,97,1,97,97
zm7_3,97,1,97,97
zm7_4,97,1,97,97
zm7_5,97,1,97,97
zm7_6,97,1,97,97
zm7_7,97,1,97,97
zm7_8,97,1,97,97
zm7_9,97,1,97,97
