group,frame,image,image_path
zm1_10,1,zm1_10_img001.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img001.jpg
zm1_10,2,zm1_10_img002.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img002.jpg
zm1_10,3,zm1_10_img003.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img003.jpg
zm1_10,4,zm1_10_img004.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img004.jpg
zm1_10,5,zm1_10_img005.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img005.jpg
zm1_10,6,zm1_10_img006.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img006.jpg
zm1_10,7,zm1_10_img007.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img007.jpg
zm1_10,8,zm1_10_img008.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img008.jpg
zm1_10,9,zm1_10_img009.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img009.jpg
zm1_10,10,zm1_10_img010.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img010.jpg
zm1_10,11,zm1_10_img011.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img011.jpg
zm1_10,12,zm1_10_img012.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img012.jpg
zm1_10,13,zm1_10_img013.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img013.jpg
zm1_10,14,zm1_10_img014.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img014.jpg
zm1_10,15,zm1_10_img015.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img015.jpg
zm1_10,16,zm1_10_img016.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img016.jpg
zm1_10,17,zm1_10_img017.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img017.jpg
zm1_10,18,zm1_10_img018.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img018.jpg
zm1_10,19,zm1_10_img019.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img019.jpg
zm1_10,20,zm1_10_img020.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img020.jpg
zm1_10,21,zm1_10_img021.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img021.jpg
zm1_10,22,zm1_10_img022.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img022.jpg
zm1_10,23,zm1_10_img023.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img023.jpg
zm1_10,24,zm1_10_img024.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img024.jpg
zm1_10,25,zm1_10_img025.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img025.jpg
zm1_10,26,zm1_10_img026.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img026.jpg
zm1_10,27,zm1_10_img027.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img027.jpg
zm1_10,28,zm1_10_img028.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img028.jpg
zm1_10,29,zm1_10_img029.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img029.jpg
zm1_10,30,zm1_10_img030.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img030.jpg
zm1_10,31,zm1_10_img031.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img031.jpg
zm1_10,32,zm1_10_img032.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img032.jpg
zm1_10,33,zm1_10_img033.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img033.jpg
zm1_10,34,zm1_10_img034.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img034.jpg
zm1_10,35,zm1_10_img035.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img035.jpg
zm1_10,36,zm1_10_img036.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img036.jpg
zm1_10,37,zm1_10_img037.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img037.jpg
zm1_10,38,zm1_10_img038.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img038.jpg
zm1_10,39,zm1_10_img039.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img039.jpg
zm1_10,40,zm1_10_img040.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img040.jpg
zm1_10,41,zm1_10_img041.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img041.jpg
zm1_10,42,zm1_10_img042.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img042.jpg
zm1_10,43,zm1_10_img043.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img043.jpg
zm1_10,44,zm1_10_img044.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img044.jpg
zm1_10,45,zm1_10_img045.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img045.jpg
zm1_10,46,zm1_10_img046.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img046.jpg
zm1_10,47,zm1_10_img047.jpg,/kaggle/input/datasets/ananya0puthran/mendley/GermPredDataset/ZeaMays/img/zm1_10_img047.jpg
