group,frame,object_index,class,xmin,ymin,xmax,ymax,center_x,center_y,width,height
zm1_10,1,1,zm_im,312.0,89.0,384.0,168.0,348.0,128.5,72.0,79.0
zm1_10,1,2,zm_im,390.0,221.0,468.0,287.0,429.0,254.0,78.0,66.0
zm1_10,1,3,zm_im,514.0,289.0,578.0,365.0,546.0,327.0,64.0,76.0
zm1_10,1,4,zm_im,354.0,340.0,423.0,403.0,388.5,371.5,69.0,63.0
zm1_10,1,5,zm_im,232.0,208.0,298.0,284.0,265.0,246.0,66.0,76.0
zm1_10,1,6,zm_im,147.0,132.0,215.0,210.0,181.0,171.0,68.0,78.0
zm1_10,1,7,zm_im,206.0,316.0,279.0,397.0,242.5,356.5,73.0,81.0
zm1_10,1,8,zm_im,397.0,457.0,473.0,515.0,435.0,486.0,76.0,58.0
zm1_10,1,9,zm_im,234.0,423.0,319.0,494.0,276.5,458.5,85.0,71.0
zm1_10,1,10,zm_im,95.0,319.0,183.0,382.0,139.0,350.5,88.0,63.0
zm1_10,2,1,zm_im,312.0,89.0,386.0,169.0,349.0,129.0,74.0,80.0
zm1_10,2,2,zm_im,390.0,221.0,470.0,287.0,430.0,254.0,80.0,66.0
zm1_10,2,3,zm_im,514.0,289.0,578.0,366.0,546.0,327.5,64.0,77.0
zm1_10,2,4,zm_im,354.0,340.0,423.0,403.0,388.5,371.5,69.0,63.0
zm1_10,2,5,zm_im,232.0,208.0,298.0,282.0,265.0,245.0,66.0,74.0
zm1_10,2,6,zm_im,147.0,131.0,215.0,210.0,181.0,170.5,68.0,79.0
zm1_10,2,7,zm_im,206.0,316.0,279.0,397.0,242.5,356.5,73.0,81.0
zm1_10,2,8,zm_im,397.0,457.0,474.0,515.0,435.5,486.0,77.0,58.0
zm1_10,2,9,zm_im,234.0,423.0,319.0,495.0,276.5,459.0,85.0,72.0
zm1_10,2,10,zm_im,95.0,319.0,183.0,382.0,139.0,350.5,88.0,63.0
zm1_10,3,1,zm_im,312.0,89.0,388.0,169.0,350.0,129.0,76.0,80.0
zm1_10,3,2,zm_im,390.0,220.0,470.0,287.0,430.0,253.5,80.0,67.0
zm1_10,3,3,zm_im,514.0,290.0,579.0,366.0,546.5,328.0,65.0,76.0
zm1_10,3,4,zm_im,354.0,340.0,423.0,403.0,388.5,371.5,69.0,63.0
zm1_10,3,5,zm_im,232.0,208.0,298.0,283.0,265.0,245.5,66.0,75.0
zm1_10,3,6,zm_im,147.0,131.0,215.0,211.0,181.0,171.0,68.0,80.0
zm1_10,3,7,zm_im,206.0,316.0,279.0,397.0,242.5,356.5,73.0,81.0
zm1_10,3,8,zm_im,397.0,457.0,474.0,516.0,435.5,486.5,77.0,59.0
zm1_10,3,9,zm_im,234.0,424.0,319.0,497.0,276.5,460.5,85.0,73.0
zm1_10,3,10,zm_im,95.0,319.0,183.0,382.0,139.0,350.5,88.0,63.0
zm1_10,4,1,zm_im,312.0,89.0,388.0,170.0,350.0,129.5,76.0,81.0
zm1_10,4,2,zm_im,390.0,220.0,470.0,287.0,430.0,253.5,80.0,67.0
zm1_10,4,3,zm_im,514.0,291.0,579.0,367.0,546.5,329.0,65.0,76.0
zm1_10,4,4,zm_im,354.0,340.0,423.0,403.0,388.5,371.5,69.0,63.0
zm1_10,4,5,zm_im,232.0,208.0,298.0,283.0,265.0,245.5,66.0,75.0
zm1_10,4,6,zm_im,147.0,131.0,215.0,211.0,181.0,171.0,68.0,80.0
zm1_10,4,7,zm_im,206.0,316.0,279.0,397.0,242.5,356.5,73.0,81.0
zm1_10,4,8,zm_im,397.0,457.0,474.0,516.0,435.5,486.5,77.0,59.0
zm1_10,4,9,zm_im,234.0,424.0,319.0,499.0,276.5,461.5,85.0,75.0
zm1_10,4,10,zm_im,95.0,319.0,183.0,382.0,139.0,350.5,88.0,63.0
