group,frame_from,frame_to,object_position,class_from,class_to
zm1_1,47,48,10,zm_im,zm_el
zm1_1,58,59,9,zm_im,zm_el
zm1_1,59,60,5,zm_im,zm_el
zm1_1,61,62,2,zm_im,zm_el
zm1_1,67,68,6,zm_im,zm_el
zm1_1,76,77,3,zm_im,zm_el
zm1_10,59,60,2,zm_im,zm_el
zm1_10,61,62,10,zm_im,zm_el
zm1_10,66,67,5,zm_im,zm_el
zm1_10,73,74,9,zm_im,zm_el
zm1_10,91,92,1,zm_im,zm_el
zm1_10,91,92,7,zm_im,zm_el
zm1_11,52,53,1,zm_im,zm_el
zm1_11,53,54,1,zm_el,zm_im
zm1_11,53,54,5,zm_im,zm_el
zm1_11,54,55,5,zm_el,zm_im
zm1_11,54,55,6,zm_im,zm_el
zm1_11,56,57,6,zm_el,zm_im
zm1_11,56,57,9,zm_im,zm_el
zm1_11,57,58,5,zm_im,zm_el
zm1_11,57,58,9,zm_el,zm_im
zm1_11,58,59,4,zm_im,zm_el
zm1_11,58,59,5,zm_el,zm_im
zm1_11,58,59,6,zm_im,zm_el
zm1_11,59,60,2,zm_im,zm_el
zm1_11,59,60,4,zm_el,zm_im
zm1_11,59,60,6,zm_el,zm_im
zm1_11,59,60,8,zm_im,zm_el
zm1_11,60,61,4,zm_im,zm_el
zm1_11,60,61,8,zm_el,zm_im
zm1_11,61,62,2,zm_el,zm_im
zm1_11,61,62,4,zm_el,zm_im
zm1_11,61,62,7,zm_im,zm_el
zm1_11,61,62,9,zm_im,zm_el
zm1_11,62,63,4,zm_im,zm_el
zm1_11,62,63,7,zm_el,zm_im
zm1_11,62,63,8,zm_im,zm_el
zm1_11,62,63,9,zm_el,zm_im
zm1_11,63,64,1,zm_im,zm_el
zm1_11,63,64,4,zm_el,zm_im
zm1_11,63,64,6,zm_im,zm_el
zm1_11,63,64,8,zm_el,zm_im
zm1_11,64,65,2,zm_im,zm_el
zm1_11,64,65,6,zm_el,zm_im
zm1_11,65,66,1,zm_el,zm_im
zm1_11,65,66,2,zm_el,zm_im
zm1_11,65,66,4,zm_im,zm_el
zm1_11,65,66,5,zm_im,zm_el
zm1_11,66,67,1,zm_im,zm_el
zm1_11,67,68,4,zm_el,zm_im
zm1_11,67,68,7,zm_im,zm_el
zm1_11,67,68,9,zm_im,zm_el
zm1_11,68,69,1,zm_el,zm_im
zm1_11,68,69,6,zm_im,zm_el
zm1_11,68,69,7,zm_el,zm_im
zm1_11,68,69,8,zm_im,zm_el
zm1_11,68,69,9,zm_el,zm_im
zm1_11,68,69,10,zm_im,zm_el
zm1_11,69,70,1,zm_im,zm_el
zm1_11,69,70,4,zm_im,zm_el
zm1_11,69,70,5,zm_el,zm_im
zm1_11,69,70,6,zm_el,zm_im
zm1_11,69,70,8,zm_el,zm_im
zm1_11,69,70,9,zm_im,zm_el
zm1_11,70,71,2,zm_im,zm_el
zm1_11,70,71,4,zm_el,zm_im
zm1_11,70,71,7,zm_im,zm_el
zm1_11,71,72,3,zm_im,zm_el
zm1_11,71,72,5,zm_im,zm_el
zm1_11,71,72,7,zm_el,zm_im
zm1_11,71,72,8,zm_im,zm_el
zm1_11,71,72,9,zm_el,zm_im
zm1_11,71,72,10,zm_el,zm_im
zm1_11,72,73,1,zm_el,zm_im
zm1_11,72,73,2,zm_el,zm_im
zm1_11,72,73,4,zm_im,zm_el
zm1_11,72,73,7,zm_im,zm_el
zm1_11,73,74,1,zm_im,zm_el
zm1_11,73,74,2,zm_im,zm_el
zm1_11,73,74,3,zm_el,zm_im
zm1_11,73,74,7,zm_el,zm_im
zm1_11,73,74,8,zm_el,zm_im
zm1_11,73,74,9,zm_im,zm_el
zm1_11,74,75,1,zm_el,zm_im
zm1_11,74,75,5,zm_el,zm_im
zm1_11,74,75,7,zm_im,zm_el
zm1_11,74,75,8,zm_im,zm_el
zm1_11,75,76,1,zm_im,zm_el
zm1_11,75,76,2,zm_el,zm_im
zm1_11,75,76,6,zm_im,zm_el
zm1_11,75,76,9,zm_el,zm_im
zm1_11,76,77,2,zm_im,zm_el
zm1_11,76,77,4,zm_el,zm_im
zm1_11,76,77,6,zm_el,zm_im
zm1_11,76,77,7,zm_el,zm_im
zm1_11,76,77,9,zm_im,zm_el
zm1_11,76,77,10,zm_im,zm_el
zm1_11,77,78,3,zm_im,zm_el
zm1_11,77,78,8,zm_el,zm_im
zm1_11,78,79,1,zm_el,zm_im
zm1_11,78,79,3,zm_el,zm_im
zm1_11,78,79,5,zm_im,zm_el
zm1_11,78,79,6,zm_im,zm_el
zm1_11,78,79,8,zm_im,zm_el
zm1_11,78,79,10,zm_el,zm_im
zm1_11,79,80,1,zm_im,zm_el
zm1_11,79,80,2,zm_el,zm_im
zm1_11,79,80,4,zm_im,zm_el
zm1_11,79,80,5,zm_el,zm_im
zm1_11,79,80,7,zm_im,zm_el
zm1_11,79,80,9,zm_el,zm_im
zm1_11,80,81,3,zm_im,zm_el
zm1_11,80,81,4,zm_el,zm_im
zm1_11,80,81,5,zm_im,zm_el
zm1_11,80,81,6,zm_el,zm_im
zm1_11,81,82,1,zm_el,zm_im
zm1_11,81,82,2,zm_im,zm_el
zm1_11,81,82,7,zm_el,zm_im
zm1_11,81,82,9,zm_im,zm_el
zm1_11,82,83,1,zm_im,zm_el
zm1_11,82,83,3,zm_el,zm_im
zm1_11,82,83,9,zm_el,zm_im
zm1_11,82,83,10,zm_im,zm_el
zm1_11,83,84,2,zm_el,zm_im
zm1_11,83,84,3,zm_im,zm_el
zm1_11,83,84,4,zm_im,zm_el
zm1_11,83,84,5,zm_el,zm_im
zm1_11,83,84,9,zm_im,zm_el
zm1_11,83,84,10,zm_el,zm_im
zm1_11,84,85,2,zm_im,zm_el
zm1_11,84,85,3,zm_el,zm_im
zm1_11,84,85,4,zm_el,zm_im
zm1_11,84,85,5,zm_im,zm_el
