frame,zm_el,zm_im
1,1,813
2,1,813
3,1,813
4,2,812
5,2,812
6,2,812
7,2,812
8,3,811
9,3,811
10,3,811
11,3,811
12,4,810
13,4,810
14,4,810
15,4,810
16,5,809
17,5,809
18,6,808
19,7,807
20,7,807
21,7,807
22,9,805
23,9,805
24,9,805
25,11,803
26,13,801
27,15,799
28,15,799
29,16,798
30,16,798
31,16,798
32,19,795
33,20,794
34,25,789
35,25,789
36,27,787
37,30,784
38,34,780
39,38,776
40,46,768
41,53,761
42,59,755
43,67,747
44,78,736
45,87,727
46,95,719
47,108,706
48,119,695
49,134,680
50,143,671
51,153,661
52,162,652
53,174,640
54,188,626
55,204,610
56,212,602
57,227,587
58,242,572
59,264,550
60,280,534
61,296,518
62,311,503
63,319,495
64,334,480
65,342,472
66,357,457
67,374,440
68,389,425
69,402,412
70,416,398
71,426,388
72,442,372
73,451,363
74,462,352
75,477,337
76,485,329
77,497,317
78,509,305
79,518,296
80,531,283
81,545,269
82,552,262
83,564,250
84,571,243
85,574,240
86,581,233
87,585,229
88,589,225
89,598,216
90,603,211
91,609,205
92,614,200
93,621,193
94,622,192
95,626,188
96,628,186
97,629,185
