group,zm_el,zm_im
zm1_1,214,756
zm1_10,141,829
zm1_11,172,798
zm1_12,274,696
zm1_2,86,884
zm1_3,237,733
zm1_4,158,812
zm1_5,201,769
zm1_6,264,706
zm1_7,172,798
zm1_8,143,827
zm1_9,256,714
zm2_1,298,672
zm2_10,405,565
zm2_11,376,594
zm2_12,299,671
zm2_2,238,732
zm2_3,412,558
zm2_4,329,641
zm2_5,376,594
zm2_6,374,596
zm2_7,263,707
zm2_8,280,593
zm2_9,260,710
zm3_1,183,690
zm3_10,279,594
zm3_11,252,718
zm3_12,238,732
zm3_2,289,681
zm3_3,389,581
zm3_4,474,496
zm3_5,382,394
zm3_6,564,309
zm3_7,506,464
zm3_8,201,769
zm3_9,77,893
zm4_1,184,592
zm4_10,208,568
zm4_11,255,715
zm4_12,414,556
zm4_2,233,446
zm4_3,188,782
zm4_4,446,330
zm4_5,150,626
zm4_6,261,515
zm4_7,189,781
zm4_8,134,836
zm4_9,603,173
zm5_1,350,620
zm5_10,231,739
zm5_11,286,684
zm5_12,251,719
zm5_2,199,771
zm5_3,220,750
zm5_4,303,667
zm5_5,305,665
zm5_6,320,650
zm5_7,238,732
zm5_8,271,796
zm5_9,233,737
zm6_1,278,692
zm6_10,285,685
zm6_11,231,739
zm6_12,136,834
zm6_2,169,801
zm6_3,334,636
zm6_4,156,814
zm6_5,137,833
zm6_6,149,821
zm6_7,269,701
zm6_8,315,655
zm6_9,196,774
zm7_1,339,631
zm7_10,165,805
zm7_11,296,674
zm7_12,311,659
zm7_2,39,543
zm7_3,148,628
zm7_4,287,683
zm7_5,68,902
zm7_6,246,724
zm7_7,306,664
zm7_8,284,686
zm7_9,289,681
