group,track_id,frames_observed,first_class,last_class,class_sequence,transition_count,germinated
zm1_1,1,97,zm_im,zm_im,zm_im,0,False
zm1_1,2,97,zm_im,zm_im,zm_im,0,False
zm1_1,3,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_1,4,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_1,5,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_1,6,97,zm_im,zm_im,zm_im,0,False
zm1_1,7,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_1,8,97,zm_im,zm_im,zm_im,0,False
zm1_1,9,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_1,10,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_10,1,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_10,2,97,zm_im,zm_im,zm_im,0,False
zm1_10,3,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_10,4,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_10,5,97,zm_im,zm_im,zm_im,0,False
zm1_10,6,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_10,7,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_10,8,97,zm_im,zm_im,zm_im,0,False
zm1_10,9,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_10,10,97,zm_im,zm_im,zm_im,0,False
zm1_11,1,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_11,2,97,zm_im,zm_im,zm_im,0,False
zm1_11,3,97,zm_im,zm_im,zm_im,0,False
zm1_11,4,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_11,5,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_11,6,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_11,7,97,zm_im,zm_im,zm_im,0,False
zm1_11,8,97,zm_im,zm_im,zm_im,0,False
zm1_11,9,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_11,10,97,zm_im,zm_im,zm_im,0,False
zm1_12,1,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_12,2,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_12,3,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_12,4,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_12,5,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_12,6,97,zm_im,zm_im,zm_im,0,False
zm1_12,7,97,zm_im,zm_im,zm_im,0,False
zm1_12,8,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_12,9,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_12,10,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_2,1,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_2,2,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_2,3,97,zm_im,zm_im,zm_im,0,False
zm1_2,4,97,zm_im,zm_im,zm_im,0,False
zm1_2,5,97,zm_im,zm_im,zm_im,0,False
zm1_2,6,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_2,7,97,zm_im,zm_im,zm_im,0,False
zm1_2,8,97,zm_im,zm_el,zm_im -> zm_el,1,True
zm1_2,9,97,zm_im,zm_el,zm_im -> zm_el,1,True
