group,track_id,previous_frame,current_frame,frame_gap,dx,dy,center_distance
zm1_1,1,1,2,1,0.5,0.0,0.5
zm1_1,1,2,3,1,0.0,0.0,0.0
zm1_1,1,3,4,1,-0.5,-0.5,0.7071067811865476
zm1_1,1,4,5,1,0.0,0.0,0.0
zm1_1,1,5,6,1,0.5,-0.5,0.7071067811865476
zm1_1,1,6,7,1,0.0,0.0,0.0
zm1_1,1,7,8,1,0.0,0.0,0.0
zm1_1,1,8,9,1,0.0,-0.5,0.5
zm1_1,1,9,10,1,0.0,0.0,0.0
zm1_1,1,10,11,1,0.0,-0.5,0.5
zm1_1,1,11,12,1,0.0,0.0,0.0
zm1_1,1,12,13,1,0.0,0.0,0.0
zm1_1,1,13,14,1,0.0,-0.5,0.5
zm1_1,1,14,15,1,0.0,0.0,0.0
zm1_1,1,15,16,1,0.0,0.0,0.0
zm1_1,1,16,17,1,0.0,0.0,0.0
zm1_1,1,17,18,1,0.0,0.0,0.0
zm1_1,1,18,19,1,0.0,0.0,0.0
zm1_1,1,19,20,1,0.0,0.0,0.0
zm1_1,1,20,21,1,0.0,0.0,0.0
zm1_1,1,21,22,1,0.0,0.0,0.0
zm1_1,1,22,23,1,0.0,0.0,0.0
zm1_1,1,23,24,1,0.0,0.0,0.0
zm1_1,1,24,25,1,0.0,0.0,0.0
zm1_1,1,25,26,1,0.0,0.0,0.0
zm1_1,1,26,27,1,0.0,0.0,0.0
zm1_1,1,27,28,1,0.0,0.0,0.0
zm1_1,1,28,29,1,0.0,0.0,0.0
zm1_1,1,29,30,1,0.0,0.0,0.0
zm1_1,1,30,31,1,0.0,0.0,0.0
zm1_1,1,31,32,1,0.0,0.0,0.0
zm1_1,1,32,33,1,0.0,0.0,0.0
zm1_1,1,33,34,1,0.0,0.0,0.0
zm1_1,1,34,35,1,0.0,0.0,0.0
zm1_1,1,35,36,1,0.0,0.0,0.0
zm1_1,1,36,37,1,0.0,0.0,0.0
zm1_1,1,37,38,1,0.0,0.0,0.0
zm1_1,1,38,39,1,0.0,0.0,0.0
zm1_1,1,39,40,1,0.0,0.0,0.0
zm1_1,1,40,41,1,0.0,0.0,0.0
zm1_1,1,41,42,1,0.0,0.0,0.0
zm1_1,1,42,43,1,0.0,0.0,0.0
zm1_1,1,43,44,1,0.0,0.0,0.0
zm1_1,1,44,45,1,0.0,0.0,0.0
zm1_1,1,45,46,1,0.0,0.0,0.0
zm1_1,1,46,47,1,0.0,0.0,0.0
zm1_1,1,47,48,1,0.0,0.0,0.0
zm1_1,1,48,49,1,0.0,0.0,0.0
zm1_1,1,49,50,1,0.0,0.0,0.0
zm1_1,1,50,51,1,0.0,0.0,0.0
zm1_1,1,51,52,1,0.0,0.0,0.0
zm1_1,1,52,53,1,0.0,0.0,0.0
zm1_1,1,53,54,1,0.0,0.0,0.0
zm1_1,1,54,55,1,0.0,0.0,0.0
zm1_1,1,55,56,1,0.0,0.0,0.0
zm1_1,1,56,57,1,0.0,0.0,0.0
zm1_1,1,57,58,1,0.0,0.0,0.0
zm1_1,1,58,59,1,0.0,0.0,0.0
zm1_1,1,59,60,1,0.0,0.0,0.0
zm1_1,1,60,61,1,0.0,0.0,0.0
zm1_1,1,61,62,1,0.0,0.0,0.0
zm1_1,1,62,63,1,0.0,0.0,0.0
zm1_1,1,63,64,1,0.0,0.0,0.0
zm1_1,1,64,65,1,0.0,0.0,0.0
zm1_1,1,65,66,1,0.0,0.0,0.0
zm1_1,1,66,67,1,0.0,0.0,0.0
zm1_1,1,67,68,1,0.0,0.0,0.0
zm1_1,1,68,69,1,0.0,0.0,0.0
zm1_1,1,69,70,1,0.0,0.0,0.0
zm1_1,1,70,71,1,0.0,0.0,0.0
zm1_1,1,71,72,1,0.0,0.0,0.0
zm1_1,1,72,73,1,0.0,0.0,0.0
zm1_1,1,73,74,1,0.0,0.0,0.0
zm1_1,1,74,75,1,0.0,0.0,0.0
zm1_1,1,75,76,1,0.0,0.0,0.0
zm1_1,1,76,77,1,0.0,0.0,0.0
zm1_1,1,77,78,1,0.0,0.0,0.0
zm1_1,1,78,79,1,0.0,0.0,0.0
zm1_1,1,79,80,1,0.0,0.0,0.0
zm1_1,1,80,81,1,0.0,0.0,0.0
zm1_1,1,81,82,1,0.0,0.0,0.0
zm1_1,1,82,83,1,0.0,0.0,0.0
zm1_1,1,83,84,1,0.0,0.0,0.0
zm1_1,1,84,85,1,0.0,0.0,0.0
zm1_1,1,85,86,1,0.0,0.0,0.0
zm1_1,1,86,87,1,0.0,0.0,0.0
zm1_1,1,87,88,1,0.0,0.0,0.0
zm1_1,1,88,89,1,0.0,0.0,0.0
zm1_1,1,89,90,1,0.0,0.0,0.0
zm1_1,1,90,91,1,0.0,0.0,0.0
zm1_1,1,91,92,1,0.0,0.0,0.0
zm1_1,1,92,93,1,0.0,0.0,0.0
zm1_1,1,93,94,1,0.0,0.0,0.0
zm1_1,1,94,95,1,0.0,0.0,0.0
zm1_1,1,95,96,1,0.0,0.0,0.0
zm1_1,1,96,97,1,0.0,0.0,0.0
zm1_1,2,1,2,1,0.0,0.0,0.0
zm1_1,2,2,3,1,0.0,0.0,0.0
zm1_1,2,3,4,1,0.0,0.0,0.0
zm1_1,2,4,5,1,0.0,0.0,0.0
zm1_1,2,5,6,1,0.0,0.0,0.0
zm1_1,2,6,7,1,0.0,0.0,0.0
zm1_1,2,7,8,1,-0.5,0.0,0.5
zm1_1,2,8,9,1,0.0,0.0,0.0
zm1_1,2,9,10,1,0.5,0.0,0.5
zm1_1,2,10,11,1,0.0,0.0,0.0
zm1_1,2,11,12,1,0.0,0.0,0.0
zm1_1,2,12,13,1,0.0,0.0,0.0
zm1_1,2,13,14,1,-0.5,0.0,0.5
zm1_1,2,14,15,1,0.0,0.0,0.0
zm1_1,2,15,16,1,0.0,0.0,0.0
zm1_1,2,16,17,1,0.0,0.0,0.0
zm1_1,2,17,18,1,0.0,0.0,0.0
zm1_1,2,18,19,1,0.0,0.0,0.0
zm1_1,2,19,20,1,0.0,0.0,0.0
zm1_1,2,20,21,1,0.0,0.0,0.0
zm1_1,2,21,22,1,0.0,0.0,0.0
zm1_1,2,22,23,1,0.0,0.0,0.0
zm1_1,2,23,24,1,0.0,0.0,0.0
zm1_1,2,24,25,1,0.0,0.0,0.0
zm1_1,2,25,26,1,0.0,0.0,0.0
zm1_1,2,26,27,1,0.0,0.0,0.0
zm1_1,2,27,28,1,0.0,0.0,0.0
zm1_1,2,28,29,1,0.0,0.0,0.0
zm1_1,2,29,30,1,0.0,0.0,0.0
zm1_1,2,30,31,1,0.0,0.0,0.0
zm1_1,2,31,32,1,0.0,0.0,0.0
zm1_1,2,32,33,1,0.0,0.0,0.0
zm1_1,2,33,34,1,0.0,0.0,0.0
zm1_1,2,34,35,1,0.0,0.0,0.0
zm1_1,2,35,36,1,0.0,0.0,0.0
zm1_1,2,36,37,1,0.0,0.0,0.0
zm1_1,2,37,38,1,0.0,0.0,0.0
zm1_1,2,38,39,1,0.0,0.0,0.0
zm1_1,2,39,40,1,0.0,0.0,0.0
zm1_1,2,40,41,1,0.0,0.0,0.0
zm1_1,2,41,42,1,0.0,0.0,0.0
zm1_1,2,42,43,1,0.0,0.0,0.0
zm1_1,2,43,44,1,0.0,0.0,0.0
zm1_1,2,44,45,1,0.0,0.0,0.0
zm1_1,2,45,46,1,0.0,0.0,0.0
zm1_1,2,46,47,1,0.0,0.0,0.0
zm1_1,2,47,48,1,0.0,0.0,0.0
zm1_1,2,48,49,1,0.0,0.0,0.0
zm1_1,2,49,50,1,0.0,0.0,0.0
zm1_1,2,50,51,1,0.0,0.0,0.0
zm1_1,2,51,52,1,0.0,0.0,0.0
zm1_1,2,52,53,1,0.0,0.0,0.0
zm1_1,2,53,54,1,0.0,0.0,0.0
zm1_1,2,54,55,1,0.0,0.0,0.0
zm1_1,2,55,56,1,0.0,0.0,0.0
zm1_1,2,56,57,1,0.0,0.0,0.0
zm1_1,2,57,58,1,0.0,0.0,0.0
zm1_1,2,58,59,1,0.0,0.0,0.0
zm1_1,2,59,60,1,0.0,0.0,0.0
zm1_1,2,60,61,1,0.0,0.0,0.0
zm1_1,2,61,62,1,0.0,0.0,0.0
zm1_1,2,62,63,1,0.0,0.0,0.0
zm1_1,2,63,64,1,0.0,0.0,0.0
zm1_1,2,64,65,1,0.0,0.0,0.0
zm1_1,2,65,66,1,0.0,0.0,0.0
zm1_1,2,66,67,1,0.0,0.0,0.0
zm1_1,2,67,68,1,0.0,0.0,0.0
zm1_1,2,68,69,1,0.0,0.0,0.0
zm1_1,2,69,70,1,0.0,0.0,0.0
zm1_1,2,70,71,1,0.0,0.0,0.0
zm1_1,2,71,72,1,0.0,0.0,0.0
zm1_1,2,72,73,1,0.0,0.0,0.0
zm1_1,2,73,74,1,0.0,0.0,0.0
zm1_1,2,74,75,1,0.0,0.0,0.0
zm1_1,2,75,76,1,0.0,0.0,0.0
zm1_1,2,76,77,1,0.0,0.0,0.0
zm1_1,2,77,78,1,0.0,0.0,0.0
zm1_1,2,78,79,1,0.0,0.0,0.0
zm1_1,2,79,80,1,0.0,0.0,0.0
zm1_1,2,80,81,1,0.0,0.0,0.0
zm1_1,2,81,82,1,0.0,0.0,0.0
zm1_1,2,82,83,1,0.0,0.0,0.0
zm1_1,2,83,84,1,0.0,0.0,0.0
zm1_1,2,84,85,1,0.0,0.0,0.0
zm1_1,2,85,86,1,0.0,0.0,0.0
zm1_1,2,86,87,1,0.0,0.0,0.0
zm1_1,2,87,88,1,0.0,0.0,0.0
zm1_1,2,88,89,1,0.0,0.0,0.0
zm1_1,2,89,90,1,0.0,0.0,0.0
zm1_1,2,90,91,1,0.0,0.0,0.0
zm1_1,2,91,92,1,0.0,0.0,0.0
zm1_1,2,92,93,1,0.0,0.0,0.0
zm1_1,2,93,94,1,0.0,0.0,0.0
zm1_1,2,94,95,1,0.0,0.0,0.0
zm1_1,2,95,96,1,0.0,0.0,0.0
zm1_1,2,96,97,1,0.0,0.0,0.0
zm1_1,3,1,2,1,0.0,-0.5,0.5
zm1_1,3,2,3,1,0.0,0.0,0.0
zm1_1,3,3,4,1,0.0,-0.5,0.5
zm1_1,3,4,5,1,0.0,0.0,0.0
zm1_1,3,5,6,1,0.0,0.0,0.0
zm1_1,3,6,7,1,0.0,-0.5,0.5
zm1_1,3,7,8,1,-0.5,0.0,0.5
zm1_1,3,8,9,1,0.0,0.0,0.0
zm1_1,3,9,10,1,0.0,-0.5,0.5
zm1_1,3,10,11,1,0.0,0.0,0.0
