group,track_id,transitions,transition_sequence
zm1_1,1,0,
zm1_1,2,0,
zm1_1,3,1,zm_im -> zm_el
zm1_1,4,1,zm_im -> zm_el
zm1_1,5,1,zm_im -> zm_el
zm1_1,6,0,
zm1_1,7,1,zm_im -> zm_el
zm1_1,8,0,
zm1_1,9,1,zm_im -> zm_el
zm1_1,10,1,zm_im -> zm_el
zm1_10,1,1,zm_im -> zm_el
zm1_10,2,0,
zm1_10,3,1,zm_im -> zm_el
zm1_10,4,1,zm_im -> zm_el
zm1_10,5,0,
zm1_10,6,1,zm_im -> zm_el
zm1_10,7,1,zm_im -> zm_el
zm1_10,8,0,
zm1_10,9,1,zm_im -> zm_el
zm1_10,10,0,
zm1_11,1,1,zm_im -> zm_el
zm1_11,2,0,
zm1_11,3,0,
zm1_11,4,1,zm_im -> zm_el
zm1_11,5,1,zm_im -> zm_el
zm1_11,6,1,zm_im -> zm_el
zm1_11,7,0,
zm1_11,8,0,
zm1_11,9,1,zm_im -> zm_el
zm1_11,10,0,
zm1_12,1,1,zm_im -> zm_el
zm1_12,2,1,zm_im -> zm_el
zm1_12,3,1,zm_im -> zm_el
zm1_12,4,1,zm_im -> zm_el
zm1_12,5,1,zm_im -> zm_el
zm1_12,6,0,
zm1_12,7,0,
zm1_12,8,1,zm_im -> zm_el
zm1_12,9,1,zm_im -> zm_el
zm1_12,10,1,zm_im -> zm_el
zm1_2,1,1,zm_im -> zm_el
zm1_2,2,1,zm_im -> zm_el
zm1_2,3,0,
zm1_2,4,0,
zm1_2,5,0,
zm1_2,6,1,zm_im -> zm_el
zm1_2,7,0,
zm1_2,8,1,zm_im -> zm_el
zm1_2,9,1,zm_im -> zm_el
zm1_2,10,1,zm_im -> zm_el
zm1_3,1,1,zm_im -> zm_el
zm1_3,2,1,zm_im -> zm_el
zm1_3,3,1,zm_im -> zm_el
zm1_3,4,1,zm_im -> zm_el
zm1_3,5,1,zm_im -> zm_el
zm1_3,6,1,zm_im -> zm_el
zm1_3,7,1,zm_im -> zm_el
zm1_3,8,1,zm_im -> zm_el
zm1_3,9,0,
