stem,object_count,classes
pg1_10_img001,10,pg_im
pg1_10_img002,10,pg_im
pg1_10_img003,10,pg_im
pg1_10_img004,10,pg_im
pg1_10_img005,10,pg_im
pg1_10_img006,10,pg_im
pg1_10_img007,10,pg_im
pg1_10_img008,10,pg_im
pg1_10_img009,10,pg_im
pg1_10_img010,10,pg_im
pg1_10_img011,10,pg_el|pg_im
pg1_10_img012,10,pg_el|pg_im
pg1_10_img013,10,pg_el|pg_im
pg1_10_img014,10,pg_el|pg_im
pg1_10_img015,10,pg_el|pg_im
pg1_10_img016,10,pg_el|pg_im
pg1_10_img017,10,pg_el|pg_im
pg1_10_img018,10,pg_el|pg_im
pg1_10_img019,10,pg_el|pg_im
pg1_10_img020,10,pg_el|pg_im
pg1_10_img021,10,pg_el|pg_im
pg1_10_img022,10,pg_el|pg_im
pg1_10_img023,10,pg_el|pg_im
pg1_10_img024,10,pg_el|pg_im
pg1_10_img025,10,pg_el|pg_im
pg1_10_img026,10,pg_el|pg_im
pg1_10_img027,10,pg_el|pg_im
pg1_10_img028,10,pg_el|pg_im
pg1_10_img029,10,pg_el|pg_im
pg1_10_img030,10,pg_el|pg_im
pg1_10_img031,10,pg_el|pg_im
pg1_10_img032,10,pg_el|pg_im
pg1_10_img033,10,pg_el|pg_im
pg1_10_img034,10,pg_el|pg_im
pg1_10_img035,10,pg_el|pg_im
pg1_10_img036,10,pg_el|pg_im
pg1_10_img037,10,pg_el|pg_im
pg1_10_img038,10,pg_el|pg_im
pg1_10_img039,10,pg_el|pg_im
pg1_10_img040,10,pg_el|pg_im
pg1_10_img041,10,pg_el|pg_im
pg1_10_img042,10,pg_el|pg_im
pg1_10_img043,10,pg_el|pg_im
pg1_10_img044,10,pg_el|pg_im
pg1_10_img045,10,pg_el|pg_im
pg1_10_img046,10,pg_el|pg_im
pg1_10_img047,10,pg_el|pg_im
pg1_10_img048,10,pg_el|pg_im
pg1_10_img049,10,pg_el|pg_im
pg1_10_img050,10,pg_el|pg_im
pg1_10_img051,10,pg_el|pg_im
pg1_10_img052,10,pg_el|pg_im
pg1_10_img053,10,pg_el|pg_im
pg1_10_img054,10,pg_el|pg_im
pg1_10_img055,10,pg_el|pg_im
pg1_10_img056,10,pg_el|pg_im
pg1_10_img057,10,pg_el|pg_im
pg1_10_img058,10,pg_el|pg_im
pg1_10_img059,10,pg_el|pg_im
pg1_10_img060,10,pg_el|pg_im
pg1_10_img061,10,pg_el|pg_im
pg1_10_img062,10,pg_el|pg_im
pg1_10_img063,10,pg_el|pg_im
pg1_10_img064,10,pg_el|pg_im
pg1_10_img065,10,pg_el|pg_im
pg1_10_img066,10,pg_el|pg_im
pg1_10_img067,10,pg_el|pg_im
pg1_10_img068,10,pg_el|pg_im
pg1_10_img069,10,pg_el|pg_im
pg1_10_img070,10,pg_el|pg_im
pg1_10_img071,10,pg_el|pg_im
pg1_10_img072,10,pg_el|pg_im
pg1_10_img073,10,pg_el|pg_im
pg1_10_img074,10,pg_el|pg_im
pg1_10_img075,10,pg_el|pg_im
pg1_10_img076,10,pg_el|pg_im
pg1_10_img077,10,pg_el|pg_im
pg1_10_img078,10,pg_el|pg_im
pg1_10_img079,10,pg_el|pg_im
pg1_10_img080,10,pg_el|pg_im
pg1_10_img081,10,pg_el|pg_im
pg1_10_img082,10,pg_el|pg_im
pg1_10_img083,10,pg_el|pg_im
pg1_10_img084,10,pg_el|pg_im
pg1_10_img085,10,pg_el|pg_im
pg1_10_img086,10,pg_el|pg_im
pg1_10_img087,10,pg_el|pg_im
pg1_10_img088,10,pg_el|pg_im
pg1_10_img089,10,pg_el|pg_im
pg1_10_img090,10,pg_el|pg_im
pg1_10_img091,10,pg_el|pg_im
pg1_10_img092,10,pg_el|pg_im
pg1_10_img093,10,pg_el|pg_im
