group,frame,pg_el,pg_im
pg1_1,1,0,10
pg1_1,2,0,10
pg1_1,3,0,10
pg1_1,4,0,10
pg1_1,5,0,10
pg1_1,6,0,10
pg1_1,7,0,10
pg1_1,8,0,10
pg1_1,9,0,10
pg1_1,10,0,10
pg1_1,11,0,10
pg1_1,12,0,10
pg1_1,13,0,10
pg1_1,14,0,10
pg1_1,15,0,10
pg1_1,16,1,9
pg1_1,17,1,9
pg1_1,18,1,9
pg1_1,19,1,9
pg1_1,20,1,9
pg1_1,21,1,9
pg1_1,22,1,9
pg1_1,23,1,9
pg1_1,24,1,9
pg1_1,25,1,9
pg1_1,26,2,8
pg1_1,27,2,8
pg1_1,28,2,8
pg1_1,29,2,8
pg1_1,30,2,8
pg1_1,31,2,8
pg1_1,32,2,8
pg1_1,33,2,8
pg1_1,34,2,8
pg1_1,35,2,8
pg1_1,36,2,8
pg1_1,37,2,8
pg1_1,38,2,8
pg1_1,39,3,7
pg1_1,40,4,6
pg1_1,41,4,6
pg1_1,42,4,6
pg1_1,43,4,6
pg1_1,44,4,6
pg1_1,45,4,6
pg1_1,46,4,6
pg1_1,47,4,6
pg1_1,48,4,6
pg1_1,49,4,6
pg1_1,50,4,6
pg1_1,51,4,6
pg1_1,52,4,6
pg1_1,53,4,6
pg1_1,54,4,6
pg1_1,55,4,6
pg1_1,56,4,6
pg1_1,57,5,5
pg1_1,58,4,6
pg1_1,59,5,5
pg1_1,60,5,5
pg1_1,61,5,5
pg1_1,62,5,5
pg1_1,63,5,5
pg1_1,64,5,5
pg1_1,65,5,5
pg1_1,66,5,5
pg1_1,67,5,5
pg1_1,68,5,5
pg1_1,69,5,5
pg1_1,70,5,5
pg1_1,71,5,5
pg1_1,72,5,5
pg1_1,73,5,5
pg1_1,74,5,5
pg1_1,75,5,5
pg1_1,76,5,5
pg1_1,77,5,5
pg1_1,78,5,5
pg1_1,79,5,5
pg1_1,80,5,5
pg1_1,81,5,5
pg1_1,82,5,5
pg1_1,83,5,5
pg1_1,84,5,5
pg1_1,85,5,5
pg1_1,86,5,5
pg1_1,87,5,5
pg1_1,88,5,5
pg1_1,89,5,5
pg1_1,90,5,5
pg1_1,91,5,5
pg1_1,92,6,4
pg1_1,93,6,4
pg1_1,94,6,4
pg1_1,95,6,4
pg1_1,96,6,4
pg1_1,97,6,4
pg1_10,1,0,10
pg1_10,2,0,10
pg1_10,3,0,10
pg1_10,4,0,10
pg1_10,5,0,10
pg1_10,6,0,10
pg1_10,7,0,10
pg1_10,8,0,10
pg1_10,9,0,10
pg1_10,10,0,10
pg1_10,11,1,9
pg1_10,12,1,9
pg1_10,13,1,9
pg1_10,14,1,9
pg1_10,15,1,9
pg1_10,16,2,8
pg1_10,17,2,8
pg1_10,18,2,8
pg1_10,19,2,8
pg1_10,20,2,8
pg1_10,21,3,7
pg1_10,22,3,7
pg1_10,23,3,7
pg1_10,24,3,7
pg1_10,25,5,5
pg1_10,26,5,5
pg1_10,27,5,5
pg1_10,28,5,5
pg1_10,29,5,5
pg1_10,30,5,5
pg1_10,31,5,5
pg1_10,32,5,5
pg1_10,33,5,5
pg1_10,34,5,5
pg1_10,35,5,5
pg1_10,36,5,5
pg1_10,37,5,5
pg1_10,38,5,5
pg1_10,39,5,5
pg1_10,40,5,5
pg1_10,41,5,5
pg1_10,42,5,5
pg1_10,43,5,5
pg1_10,44,5,5
pg1_10,45,5,5
pg1_10,46,6,4
pg1_10,47,6,4
pg1_10,48,6,4
pg1_10,49,6,4
pg1_10,50,6,4
pg1_10,51,6,4
pg1_10,52,7,3
pg1_10,53,7,3
pg1_10,54,7,3
pg1_10,55,8,2
pg1_10,56,8,2
pg1_10,57,8,2
pg1_10,58,8,2
pg1_10,59,8,2
pg1_10,60,8,2
pg1_10,61,8,2
pg1_10,62,8,2
pg1_10,63,8,2
pg1_10,64,8,2
pg1_10,65,8,2
pg1_10,66,8,2
pg1_10,67,8,2
pg1_10,68,8,2
pg1_10,69,8,2
pg1_10,70,8,2
pg1_10,71,8,2
pg1_10,72,8,2
pg1_10,73,8,2
pg1_10,74,8,2
pg1_10,75,8,2
pg1_10,76,8,2
pg1_10,77,8,2
pg1_10,78,8,2
pg1_10,79,8,2
pg1_10,80,8,2
pg1_10,81,8,2
pg1_10,82,8,2
pg1_10,83,8,2
pg1_10,84,8,2
pg1_10,85,8,2
pg1_10,86,8,2
pg1_10,87,8,2
pg1_10,88,8,2
pg1_10,89,8,2
pg1_10,90,8,2
pg1_10,91,8,2
pg1_10,92,8,2
pg1_10,93,8,2
pg1_10,94,8,2
pg1_10,95,8,2
pg1_10,96,8,2
pg1_10,97,8,2
pg1_11,1,0,10
pg1_11,2,0,10
pg1_11,3,0,10
pg1_11,4,0,10
pg1_11,5,0,10
pg1_11,6,0,10
pg1_11,7,0,10
pg1_11,8,0,10
pg1_11,9,0,10
pg1_11,10,0,10
pg1_11,11,0,10
pg1_11,12,0,10
pg1_11,13,0,10
pg1_11,14,0,10
pg1_11,15,1,9
pg1_11,16,1,9
pg1_11,17,1,9
pg1_11,18,1,9
pg1_11,19,1,9
pg1_11,20,1,9
pg1_11,21,2,8
pg1_11,22,3,7
pg1_11,23,4,6
pg1_11,24,5,5
pg1_11,25,5,5
pg1_11,26,5,5
pg1_11,27,5,5
pg1_11,28,5,5
pg1_11,29,5,5
pg1_11,30,6,4
pg1_11,31,6,4
pg1_11,32,6,4
pg1_11,33,6,4
pg1_11,34,6,4
pg1_11,35,6,4
pg1_11,36,6,4
pg1_11,37,6,4
pg1_11,38,6,4
pg1_11,39,6,4
pg1_11,40,7,3
pg1_11,41,7,3
pg1_11,42,7,3
pg1_11,43,7,3
pg1_11,44,7,3
pg1_11,45,7,3
pg1_11,46,7,3
pg1_11,47,7,3
pg1_11,48,8,2
pg1_11,49,8,2
pg1_11,50,8,2
pg1_11,51,8,2
pg1_11,52,8,2
pg1_11,53,8,2
pg1_11,54,8,2
pg1_11,55,8,2
pg1_11,56,8,2
pg1_11,57,8,2
pg1_11,58,8,2
pg1_11,59,8,2
pg1_11,60,8,2
pg1_11,61,8,2
pg1_11,62,8,2
pg1_11,63,8,2
pg1_11,64,8,2
pg1_11,65,8,2
pg1_11,66,8,2
pg1_11,67,8,2
pg1_11,68,8,2
pg1_11,69,8,2
pg1_11,70,8,2
pg1_11,71,8,2
pg1_11,72,8,2
pg1_11,73,8,2
pg1_11,74,8,2
pg1_11,75,8,2
pg1_11,76,8,2
pg1_11,77,8,2
pg1_11,78,8,2
pg1_11,79,8,2
pg1_11,80,8,2
pg1_11,81,8,2
pg1_11,82,8,2
pg1_11,83,8,2
pg1_11,84,8,2
pg1_11,85,8,2
pg1_11,86,8,2
pg1_11,87,8,2
pg1_11,88,8,2
pg1_11,89,8,2
pg1_11,90,8,2
pg1_11,91,8,2
pg1_11,92,8,2
pg1_11,93,8,2
pg1_11,94,9,1
pg1_11,95,9,1
pg1_11,96,9,1
pg1_11,97,9,1
pg1_12,1,0,10
pg1_12,2,0,10
pg1_12,3,0,10
pg1_12,4,0,10
