group,last_frame,pg_im_count,pg_el_count,total_objects
pg1_1,97,4,6,10
pg1_10,97,2,8,10
pg1_11,97,1,9,10
pg1_12,97,0,10,10
pg1_2,97,0,10,10
pg1_3,97,3,7,10
pg1_4,97,2,8,10
pg1_5,97,4,6,10
pg1_6,97,3,7,10
pg1_7,97,0,10,10
pg1_8,97,4,6,10
pg1_9,97,0,10,10
pg2_1,97,1,9,10
pg2_10,97,3,7,10
pg2_11,97,1,9,10
pg2_12,97,5,5,10
pg2_2,97,1,9,10
pg2_3,97,0,10,10
pg2_4,97,1,9,10
pg2_5,97,2,8,10
pg2_6,97,1,9,10
pg2_7,97,2,8,10
pg2_8,97,1,9,10
pg2_9,97,5,5,10
pg3_1,97,1,9,10
pg3_10,97,3,7,10
pg3_11,97,2,8,10
pg3_12,97,3,7,10
pg3_2,97,0,10,10
pg3_3,97,6,4,10
pg3_4,97,1,9,10
pg3_5,97,0,10,10
pg3_7,97,3,7,10
pg3_8,97,3,7,10
pg3_9,97,2,8,10
pg4_1,97,2,8,10
pg4_10,97,0,11,11
pg4_11,97,0,10,10
pg4_12,97,1,9,10
pg4_2,97,2,8,10
pg4_3,97,0,10,10
pg4_4,97,0,10,10
pg4_5,97,0,10,10
pg4_6,97,1,9,10
pg4_7,97,3,7,10
pg4_8,97,1,9,10
pg4_9,97,2,8,10
pg5_1,97,1,9,10
pg5_10,97,2,8,10
pg5_11,97,2,8,10
pg5_12,97,2,8,10
pg5_2,97,0,10,10
pg5_3,97,1,9,10
pg5_5,97,0,10,10
pg5_6,97,1,9,10
pg5_7,97,1,9,10
pg5_8,97,0,10,10
pg6_1,97,0,10,10
pg6_10,97,0,10,10
pg6_11,97,0,10,10
pg6_12,97,1,9,10
pg6_2,97,1,9,10
pg6_3,97,2,8,10
pg6_4,97,1,9,10
pg6_5,97,2,9,11
pg6_6,97,1,9,10
pg6_7,97,1,9,10
pg6_8,97,1,9,10
pg6_9,97,0,10,10
pg7_1,97,3,7,10
pg7_10,97,2,8,10
pg7_11,97,0,10,10
pg7_12,97,2,8,10
pg7_2,97,1,9,10
pg7_3,97,1,9,10
pg7_4,97,0,10,10
pg7_5,97,0,10,10
pg7_6,97,0,10,10
pg7_7,97,3,7,10
pg7_8,97,2,8,10
pg7_9,97,0,10,10
pg8_1,97,0,12,12
