group,first_pg_el_frame
pg1_1,16
pg1_10,11
pg1_11,15
pg1_12,14
pg1_2,15
pg1_3,12
pg1_4,26
pg1_5,24
pg1_6,11
pg1_7,20
pg1_8,12
pg1_9,13
pg2_1,14
pg2_10,16
pg2_11,15
pg2_12,23
pg2_2,17
pg2_3,19
pg2_4,15
pg2_5,21
pg2_6,22
pg2_7,14
pg2_8,14
pg2_9,17
pg3_1,15
pg3_10,14
pg3_11,11
pg3_12,15
pg3_2,12
pg3_3,21
pg3_4,13
pg3_5,12
pg3_7,8
pg3_8,9
pg3_9,10
pg4_1,3
pg4_10,20
pg4_11,13
pg4_12,11
pg4_2,15
pg4_3,12
pg4_4,18
pg4_5,12
pg4_6,17
pg4_7,16
pg4_8,16
pg4_9,27
pg5_1,16
pg5_10,22
pg5_11,22
pg5_12,28
pg5_2,17
pg5_3,17
pg5_5,19
pg5_6,19
pg5_7,27
pg5_8,19
pg6_1,8
pg6_10,15
pg6_11,18
pg6_12,14
pg6_2,19
pg6_3,16
pg6_4,13
pg6_5,17
pg6_6,8
pg6_7,12
pg6_8,17
pg6_9,21
pg7_1,19
pg7_10,13
pg7_11,15
pg7_12,20
pg7_2,18
pg7_3,21
pg7_4,14
pg7_5,18
pg7_6,13
pg7_7,22
pg7_8,14
pg7_9,21
pg8_1,4
