group,first_frame,last_frame,observed_frames,expected_continuous_frames,missing_frame_count,missing_frames,has_duplicate_frame
pg1_1,1,97,97,97,0,,False
pg1_10,1,97,97,97,0,,False
pg1_11,1,97,97,97,0,,False
pg1_12,1,97,97,97,0,,False
pg1_2,1,97,97,97,0,,False
pg1_3,1,97,97,97,0,,False
pg1_4,1,97,97,97,0,,False
pg1_5,1,97,97,97,0,,False
pg1_6,1,97,97,97,0,,False
pg1_7,1,97,97,97,0,,False
pg1_8,1,97,97,97,0,,False
pg1_9,1,97,97,97,0,,False
pg2_1,1,97,97,97,0,,False
pg2_10,1,97,97,97,0,,False
pg2_11,1,97,97,97,0,,False
pg2_12,1,97,97,97,0,,False
pg2_2,1,97,97,97,0,,False
pg2_3,1,97,97,97,0,,False
pg2_4,1,97,97,97,0,,False
pg2_5,1,97,97,97,0,,False
pg2_6,1,97,97,97,0,,False
pg2_7,1,97,97,97,0,,False
pg2_8,1,97,97,97,0,,False
pg2_9,1,97,97,97,0,,False
pg3_1,1,97,97,97,0,,False
pg3_10,1,97,97,97,0,,False
pg3_11,1,97,97,97,0,,False
pg3_12,1,97,97,97,0,,False
pg3_2,1,97,97,97,0,,False
pg3_3,1,97,97,97,0,,False
pg3_4,1,97,97,97,0,,False
pg3_5,1,97,97,97,0,,False
pg3_7,1,97,97,97,0,,False
pg3_8,1,97,97,97,0,,False
pg3_9,1,97,97,97,0,,False
pg4_1,1,97,97,97,0,,False
pg4_10,1,97,97,97,0,,False
pg4_11,1,97,97,97,0,,False
pg4_12,1,97,97,97,0,,False
pg4_2,1,97,97,97,0,,False
pg4_3,1,97,97,97,0,,False
pg4_4,1,97,97,97,0,,False
pg4_5,1,97,97,97,0,,False
pg4_6,1,97,97,97,0,,False
pg4_7,1,97,97,97,0,,False
pg4_8,1,97,97,97,0,,False
pg4_9,1,97,97,97,0,,False
pg5_1,1,97,97,97,0,,False
pg5_10,1,97,97,97,0,,False
pg5_11,1,97,97,97,0,,False
pg5_12,1,97,97,97,0,,False
pg5_2,1,97,97,97,0,,False
pg5_3,1,97,97,97,0,,False
pg5_5,1,97,97,97,0,,False
pg5_6,1,97,97,97,0,,False
pg5_7,1,97,97,97,0,,False
pg5_8,1,97,97,97,0,,False
pg6_1,1,97,97,97,0,,False
pg6_10,1,97,97,97,0,,False
pg6_11,1,97,97,97,0,,False
pg6_12,1,97,97,97,0,,False
pg6_2,1,97,97,97,0,,False
pg6_3,1,97,97,97,0,,False
pg6_4,1,97,97,97,0,,False
pg6_5,1,97,97,97,0,,False
pg6_6,1,97,97,97,0,,False
pg6_7,1,97,97,97,0,,False
pg6_8,1,97,97,97,0,,False
pg6_9,1,97,97,97,0,,False
pg7_1,1,97,97,97,0,,False
pg7_10,1,97,97,97,0,,False
pg7_11,1,97,97,97,0,,False
pg7_12,1,97,97,97,0,,False
pg7_2,1,97,97,97,0,,False
pg7_3,1,97,97,97,0,,False
pg7_4,1,97,97,97,0,,False
pg7_5,1,97,97,97,0,,False
pg7_6,1,97,97,97,0,,False
pg7_7,1,97,97,97,0,,False
pg7_8,1,97,97,97,0,,False
pg7_9,1,97,97,97,0,,False
pg8_1,1,97,97,97,0,,False
