group,frame,pg_im_count,pg_el_count,total_objects
pg1_1,1,10,0,10
pg1_1,2,10,0,10
pg1_1,3,10,0,10
pg1_1,4,10,0,10
pg1_1,5,10,0,10
pg1_1,6,10,0,10
pg1_1,7,10,0,10
pg1_1,8,10,0,10
pg1_1,9,10,0,10
pg1_1,10,10,0,10
pg1_1,11,10,0,10
pg1_1,12,10,0,10
pg1_1,13,10,0,10
pg1_1,14,10,0,10
pg1_1,15,10,0,10
pg1_1,16,9,1,10
pg1_1,17,9,1,10
pg1_1,18,9,1,10
pg1_1,19,9,1,10
pg1_1,20,9,1,10
pg1_1,21,9,1,10
pg1_1,22,9,1,10
pg1_1,23,9,1,10
pg1_1,24,9,1,10
pg1_1,25,9,1,10
pg1_1,26,8,2,10
pg1_1,27,8,2,10
pg1_1,28,8,2,10
pg1_1,29,8,2,10
pg1_1,30,8,2,10
pg1_1,31,8,2,10
pg1_1,32,8,2,10
pg1_1,33,8,2,10
pg1_1,34,8,2,10
pg1_1,35,8,2,10
pg1_1,36,8,2,10
pg1_1,37,8,2,10
pg1_1,38,8,2,10
pg1_1,39,7,3,10
pg1_1,40,6,4,10
pg1_1,41,6,4,10
pg1_1,42,6,4,10
pg1_1,43,6,4,10
pg1_1,44,6,4,10
pg1_1,45,6,4,10
pg1_1,46,6,4,10
pg1_1,47,6,4,10
pg1_1,48,6,4,10
pg1_1,49,6,4,10
pg1_1,50,6,4,10
pg1_1,51,6,4,10
pg1_1,52,6,4,10
pg1_1,53,6,4,10
pg1_1,54,6,4,10
pg1_1,55,6,4,10
pg1_1,56,6,4,10
pg1_1,57,5,5,10
pg1_1,58,6,4,10
pg1_1,59,5,5,10
pg1_1,60,5,5,10
pg1_1,61,5,5,10
pg1_1,62,5,5,10
pg1_1,63,5,5,10
pg1_1,64,5,5,10
pg1_1,65,5,5,10
pg1_1,66,5,5,10
pg1_1,67,5,5,10
pg1_1,68,5,5,10
pg1_1,69,5,5,10
pg1_1,70,5,5,10
pg1_1,71,5,5,10
pg1_1,72,5,5,10
pg1_1,73,5,5,10
pg1_1,74,5,5,10
pg1_1,75,5,5,10
pg1_1,76,5,5,10
pg1_1,77,5,5,10
pg1_1,78,5,5,10
pg1_1,79,5,5,10
pg1_1,80,5,5,10
pg1_1,81,5,5,10
pg1_1,82,5,5,10
pg1_1,83,5,5,10
pg1_1,84,5,5,10
pg1_1,85,5,5,10
pg1_1,86,5,5,10
pg1_1,87,5,5,10
pg1_1,88,5,5,10
pg1_1,89,5,5,10
pg1_1,90,5,5,10
pg1_1,91,5,5,10
pg1_1,92,4,6,10
pg1_1,93,4,6,10
pg1_1,94,4,6,10
pg1_1,95,4,6,10
pg1_1,96,4,6,10
pg1_1,97,4,6,10
pg1_10,1,10,0,10
pg1_10,2,10,0,10
pg1_10,3,10,0,10
pg1_10,4,10,0,10
pg1_10,5,10,0,10
pg1_10,6,10,0,10
pg1_10,7,10,0,10
pg1_10,8,10,0,10
pg1_10,9,10,0,10
pg1_10,10,10,0,10
pg1_10,11,9,1,10
pg1_10,12,9,1,10
pg1_10,13,9,1,10
pg1_10,14,9,1,10
pg1_10,15,9,1,10
pg1_10,16,8,2,10
pg1_10,17,8,2,10
pg1_10,18,8,2,10
pg1_10,19,8,2,10
pg1_10,20,8,2,10
pg1_10,21,7,3,10
pg1_10,22,7,3,10
pg1_10,23,7,3,10
pg1_10,24,7,3,10
pg1_10,25,5,5,10
pg1_10,26,5,5,10
pg1_10,27,5,5,10
pg1_10,28,5,5,10
pg1_10,29,5,5,10
pg1_10,30,5,5,10
pg1_10,31,5,5,10
pg1_10,32,5,5,10
pg1_10,33,5,5,10
pg1_10,34,5,5,10
pg1_10,35,5,5,10
pg1_10,36,5,5,10
pg1_10,37,5,5,10
pg1_10,38,5,5,10
pg1_10,39,5,5,10
pg1_10,40,5,5,10
pg1_10,41,5,5,10
pg1_10,42,5,5,10
pg1_10,43,5,5,10
pg1_10,44,5,5,10
pg1_10,45,5,5,10
pg1_10,46,4,6,10
pg1_10,47,4,6,10
pg1_10,48,4,6,10
pg1_10,49,4,6,10
pg1_10,50,4,6,10
pg1_10,51,4,6,10
pg1_10,52,3,7,10
pg1_10,53,3,7,10
pg1_10,54,3,7,10
pg1_10,55,2,8,10
pg1_10,56,2,8,10
pg1_10,57,2,8,10
pg1_10,58,2,8,10
pg1_10,59,2,8,10
pg1_10,60,2,8,10
pg1_10,61,2,8,10
pg1_10,62,2,8,10
pg1_10,63,2,8,10
pg1_10,64,2,8,10
pg1_10,65,2,8,10
pg1_10,66,2,8,10
pg1_10,67,2,8,10
pg1_10,68,2,8,10
pg1_10,69,2,8,10
pg1_10,70,2,8,10
pg1_10,71,2,8,10
pg1_10,72,2,8,10
pg1_10,73,2,8,10
pg1_10,74,2,8,10
pg1_10,75,2,8,10
pg1_10,76,2,8,10
pg1_10,77,2,8,10
pg1_10,78,2,8,10
pg1_10,79,2,8,10
pg1_10,80,2,8,10
pg1_10,81,2,8,10
pg1_10,82,2,8,10
pg1_10,83,2,8,10
pg1_10,84,2,8,10
pg1_10,85,2,8,10
pg1_10,86,2,8,10
pg1_10,87,2,8,10
pg1_10,88,2,8,10
pg1_10,89,2,8,10
pg1_10,90,2,8,10
pg1_10,91,2,8,10
pg1_10,92,2,8,10
pg1_10,93,2,8,10
pg1_10,94,2,8,10
pg1_10,95,2,8,10
pg1_10,96,2,8,10
pg1_10,97,2,8,10
pg1_11,1,10,0,10
pg1_11,2,10,0,10
pg1_11,3,10,0,10
pg1_11,4,10,0,10
pg1_11,5,10,0,10
pg1_11,6,10,0,10
pg1_11,7,10,0,10
pg1_11,8,10,0,10
pg1_11,9,10,0,10
pg1_11,10,10,0,10
pg1_11,11,10,0,10
pg1_11,12,10,0,10
pg1_11,13,10,0,10
pg1_11,14,10,0,10
pg1_11,15,9,1,10
pg1_11,16,9,1,10
pg1_11,17,9,1,10
pg1_11,18,9,1,10
pg1_11,19,9,1,10
pg1_11,20,9,1,10
pg1_11,21,8,2,10
pg1_11,22,7,3,10
