group,frame_count,first_frame,last_frame,min_objects,max_objects,total_objects,pg_im_objects,pg_el_objects
pg1_1,97,1,97,10,10,970,653,317
pg1_10,97,1,97,10,10,970,437,533
pg1_11,97,1,97,10,10,970,405,565
pg1_12,97,1,97,10,10,970,238,732
pg1_2,97,1,97,10,10,970,349,621
pg1_3,97,1,97,10,10,970,456,514
pg1_4,97,1,97,10,10,970,495,475
pg1_5,97,1,97,10,10,970,536,434
pg1_6,97,1,97,10,10,970,392,578
pg1_7,97,1,97,10,10,970,314,656
pg1_8,97,1,97,10,10,970,542,428
pg1_9,97,1,97,10,10,970,350,620
pg2_1,97,1,97,10,10,970,400,570
pg2_10,97,1,97,10,10,970,446,524
pg2_11,97,1,97,10,10,970,333,637
pg2_12,97,1,97,10,10,970,617,353
pg2_2,97,1,97,10,10,970,339,631
pg2_3,97,1,97,10,10,970,340,630
pg2_4,97,1,97,10,10,970,373,597
pg2_5,97,1,97,10,10,970,413,557
pg2_6,97,1,97,10,10,970,430,540
pg2_7,97,1,97,10,10,970,438,532
pg2_8,97,1,97,10,10,970,320,650
pg2_9,97,1,97,10,10,970,640,330
pg3_1,97,1,97,10,10,970,311,659
pg3_10,97,1,97,10,10,970,440,530
pg3_11,97,1,97,10,10,970,361,609
pg3_12,97,1,97,10,10,970,425,545
pg3_2,97,1,97,10,10,970,337,633
pg3_3,97,1,97,10,10,970,733,237
pg3_4,97,1,97,10,10,970,313,657
pg3_5,97,1,97,10,10,970,221,749
pg3_7,97,1,97,10,10,970,417,553
pg3_8,97,1,97,10,10,970,412,558
pg3_9,97,1,97,10,10,970,390,580
pg4_1,97,1,97,10,10,970,378,592
pg4_10,97,1,97,11,11,1067,348,719
pg4_11,97,1,97,10,10,970,325,645
pg4_12,97,1,97,10,10,970,437,533
pg4_2,97,1,97,10,10,970,373,597
pg4_3,97,1,97,10,10,970,300,670
pg4_4,97,1,97,10,10,970,323,647
pg4_5,97,1,97,10,10,970,274,696
pg4_6,97,1,97,10,10,970,325,645
pg4_7,97,1,97,10,10,970,528,442
pg4_8,97,1,97,10,10,970,353,617
pg4_9,97,1,97,10,10,970,464,506
pg5_1,97,1,97,10,10,970,353,617
pg5_10,97,1,97,10,10,970,443,527
pg5_11,97,1,97,10,10,970,445,525
pg5_12,97,1,97,10,10,970,547,423
pg5_2,97,1,97,10,10,970,264,706
pg5_3,97,1,97,10,10,970,422,548
pg5_5,97,1,97,10,10,970,349,621
pg5_6,97,1,97,10,10,970,366,604
pg5_7,97,1,97,10,10,970,403,567
pg5_8,97,1,97,10,10,970,353,617
pg6_1,97,1,97,10,10,970,246,724
pg6_10,97,1,97,10,10,970,230,740
pg6_11,97,1,97,10,10,970,354,616
pg6_12,97,1,97,10,10,970,313,657
pg6_2,97,1,97,10,10,970,337,633
pg6_3,97,1,97,10,10,970,444,526
pg6_4,97,1,97,10,10,970,350,620
pg6_5,97,1,97,11,11,1067,419,648
pg6_6,97,1,97,10,10,970,253,717
pg6_7,97,1,97,10,10,970,290,680
pg6_8,97,1,97,10,10,970,451,519
pg6_9,97,1,97,10,10,970,262,708
pg7_1,97,1,97,10,10,970,469,501
pg7_10,97,1,97,10,10,970,394,576
pg7_11,97,1,97,10,10,970,281,689
pg7_12,97,1,97,10,10,970,460,510
pg7_2,97,1,97,10,10,970,366,604
pg7_3,97,1,97,10,10,970,425,545
pg7_4,97,1,97,10,10,970,282,688
pg7_5,97,1,97,10,10,970,348,622
pg7_6,97,1,97,10,10,970,212,758
pg7_7,97,1,97,10,10,970,498,472
pg7_8,97,1,97,10,10,970,398,572
pg7_9,97,1,97,10,10,970,320,650
pg8_1,97,1,97,12,12,1164,327,837
