file,stem,object_index,class,xmin,ymin,xmax,ymax,image_width,image_height,group,frame,width,height,area
pg4_10_img001.xml,pg4_10_img001,0,pg_im,231.0,123.0,272.0,155.0,624,624,pg4_10,1,41.0,32.0,1312.0
pg4_10_img001.xml,pg4_10_img001,1,pg_im,189.0,216.0,234.0,251.0,624,624,pg4_10,1,45.0,35.0,1575.0
pg4_10_img001.xml,pg4_10_img001,2,pg_im,106.0,316.0,144.0,359.0,624,624,pg4_10,1,38.0,43.0,1634.0
pg4_10_img001.xml,pg4_10_img001,3,pg_im,487.0,304.0,521.0,341.0,624,624,pg4_10,1,34.0,37.0,1258.0
pg4_10_img001.xml,pg4_10_img001,4,pg_im,404.0,158.0,451.0,188.0,624,624,pg4_10,1,47.0,30.0,1410.0
pg4_10_img001.xml,pg4_10_img001,5,pg_im,326.0,177.0,370.0,210.0,624,624,pg4_10,1,44.0,33.0,1452.0
pg4_10_img001.xml,pg4_10_img001,6,pg_im,358.0,277.0,399.0,308.0,624,624,pg4_10,1,41.0,31.0,1271.0
pg4_10_img001.xml,pg4_10_img001,7,pg_im,388.0,377.0,424.0,410.0,624,624,pg4_10,1,36.0,33.0,1188.0
pg4_10_img001.xml,pg4_10_img001,8,pg_im,233.0,326.0,270.0,362.0,624,624,pg4_10,1,37.0,36.0,1332.0
pg4_10_img001.xml,pg4_10_img001,9,pg_im,293.0,406.0,331.0,445.0,624,624,pg4_10,1,38.0,39.0,1482.0
pg4_10_img001.xml,pg4_10_img001,10,pg_im,138.0,387.0,171.0,422.0,624,624,pg4_10,1,33.0,35.0,1155.0
pg4_10_img002.xml,pg4_10_img002,0,pg_im,230.0,123.0,271.0,156.0,624,624,pg4_10,2,41.0,33.0,1353.0
pg4_10_img002.xml,pg4_10_img002,1,pg_im,189.0,216.0,234.0,251.0,624,624,pg4_10,2,45.0,35.0,1575.0
pg4_10_img002.xml,pg4_10_img002,2,pg_im,105.0,317.0,142.0,359.0,624,624,pg4_10,2,37.0,42.0,1554.0
pg4_10_img002.xml,pg4_10_img002,3,pg_im,485.0,304.0,521.0,341.0,624,624,pg4_10,2,36.0,37.0,1332.0
pg4_10_img002.xml,pg4_10_img002,4,pg_im,404.0,158.0,449.0,188.0,624,624,pg4_10,2,45.0,30.0,1350.0
pg4_10_img002.xml,pg4_10_img002,5,pg_im,325.0,178.0,370.0,210.0,624,624,pg4_10,2,45.0,32.0,1440.0
pg4_10_img002.xml,pg4_10_img002,6,pg_im,359.0,278.0,400.0,308.0,624,624,pg4_10,2,41.0,30.0,1230.0
pg4_10_img002.xml,pg4_10_img002,7,pg_im,387.0,378.0,423.0,412.0,624,624,pg4_10,2,36.0,34.0,1224.0
pg4_10_img002.xml,pg4_10_img002,8,pg_im,233.0,326.0,270.0,362.0,624,624,pg4_10,2,37.0,36.0,1332.0
