group,frame,object_count,previous_frame_count,next_frame_count,anomaly_type
pg4_10,1,11,,11.0,BOUNDARY_ANOMALY
pg4_10,2,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,3,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,4,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,5,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,6,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,7,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,8,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,9,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,10,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,11,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,12,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,13,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,14,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,15,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,16,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,17,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,18,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,19,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,20,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,21,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,22,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,23,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,24,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,25,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
pg4_10,26,11,11.0,11.0,PERSISTENT_EXTRA_OBJECT_PATTERN
