group,first_pg_el_frame,pg_el_count_at_first_occurrence
pg1_1,16,1
pg1_10,11,1
pg1_11,15,1
pg1_12,14,1
pg1_2,15,1
pg1_3,12,1
pg1_4,26,1
pg1_5,24,1
pg1_6,11,2
pg1_7,20,1
pg1_8,12,1
pg1_9,13,1
pg2_1,14,1
pg2_10,16,1
pg2_11,15,1
pg2_12,23,1
pg2_2,17,1
pg2_3,19,2
pg2_4,15,2
pg2_5,21,1
pg2_6,22,1
pg2_7,14,1
pg2_8,14,1
pg2_9,17,1
pg3_1,15,1
pg3_10,14,1
pg3_11,11,1
pg3_12,15,2
pg3_2,12,1
pg3_3,21,1
pg3_4,13,1
pg3_5,12,1
pg3_7,8,1
pg3_8,9,1
pg3_9,10,1
pg4_1,3,2
pg4_10,20,1
pg4_11,13,1
pg4_12,11,1
pg4_2,15,1
pg4_3,12,1
pg4_4,18,2
pg4_5,12,1
pg4_6,17,1
pg4_7,16,1
pg4_8,16,1
pg4_9,27,1
pg5_1,16,1
pg5_10,22,1
pg5_11,22,3
pg5_12,28,1
pg5_2,17,1
pg5_3,17,1
pg5_5,19,1
pg5_6,19,1
pg5_7,27,1
pg5_8,19,1
pg6_1,8,1
pg6_10,15,1
pg6_11,18,1
pg6_12,14,1
pg6_2,19,1
pg6_3,16,1
pg6_4,13,1
pg6_5,17,1
pg6_6,8,1
pg6_7,12,1
pg6_8,17,1
pg6_9,21,1
pg7_1,19,1
pg7_10,13,1
pg7_11,15,1
pg7_12,20,1
pg7_2,18,1
pg7_3,21,1
pg7_4,14,1
pg7_5,18,1
pg7_6,13,2
pg7_7,22,1
pg7_8,14,1
pg7_9,21,1
pg8_1,4,1
