group,first_frame,last_frame,initial_pg_im,initial_pg_el,final_pg_im,final_pg_el,pg_el_change
pg1_1,1,97,10,0,4,6,6
pg1_10,1,97,10,0,2,8,8
pg1_11,1,97,10,0,1,9,9
pg1_12,1,97,10,0,0,10,10
pg1_2,1,97,10,0,0,10,10
pg1_3,1,97,10,0,3,7,7
pg1_4,1,97,10,0,2,8,8
pg1_5,1,97,10,0,4,6,6
pg1_6,1,97,10,0,3,7,7
pg1_7,1,97,10,0,0,10,10
pg1_8,1,97,10,0,4,6,6
pg1_9,1,97,10,0,0,10,10
pg2_1,1,97,10,0,1,9,9
pg2_10,1,97,10,0,3,7,7
pg2_11,1,97,10,0,1,9,9
pg2_12,1,97,10,0,5,5,5
pg2_2,1,97,10,0,1,9,9
pg2_3,1,97,10,0,0,10,10
pg2_4,1,97,10,0,1,9,9
pg2_5,1,97,10,0,2,8,8
pg2_6,1,97,10,0,1,9,9
pg2_7,1,97,10,0,2,8,8
pg2_8,1,97,10,0,1,9,9
pg2_9,1,97,10,0,5,5,5
pg3_1,1,97,10,0,1,9,9
pg3_10,1,97,10,0,3,7,7
pg3_11,1,97,10,0,2,8,8
pg3_12,1,97,10,0,3,7,7
pg3_2,1,97,10,0,0,10,10
pg3_3,1,97,10,0,6,4,4
pg3_4,1,97,10,0,1,9,9
pg3_5,1,97,10,0,0,10,10
pg3_7,1,97,10,0,3,7,7
pg3_8,1,97,10,0,3,7,7
pg3_9,1,97,10,0,2,8,8
pg4_1,1,97,10,0,2,8,8
pg4_10,1,97,11,0,0,11,11
pg4_11,1,97,10,0,0,10,10
pg4_12,1,97,10,0,1,9,9
pg4_2,1,97,10,0,2,8,8
pg4_3,1,97,10,0,0,10,10
pg4_4,1,97,10,0,0,10,10
pg4_5,1,97,10,0,0,10,10
pg4_6,1,97,10,0,1,9,9
pg4_7,1,97,10,0,3,7,7
pg4_8,1,97,10,0,1,9,9
pg4_9,1,97,10,0,2,8,8
pg5_1,1,97,10,0,1,9,9
pg5_10,1,97,10,0,2,8,8
pg5_11,1,97,10,0,2,8,8
pg5_12,1,97,10,0,2,8,8
pg5_2,1,97,10,0,0,10,10
pg5_3,1,97,10,0,1,9,9
pg5_5,1,97,10,0,0,10,10
pg5_6,1,97,10,0,1,9,9
pg5_7,1,97,10,0,1,9,9
pg5_8,1,97,10,0,0,10,10
pg6_1,1,97,10,0,0,10,10
pg6_10,1,97,10,0,0,10,10
pg6_11,1,97,10,0,0,10,10
pg6_12,1,97,10,0,1,9,9
pg6_2,1,97,10,0,1,9,9
pg6_3,1,97,10,0,2,8,8
pg6_4,1,97,10,0,1,9,9
pg6_5,1,97,11,0,2,9,9
pg6_6,1,97,10,0,1,9,9
pg6_7,1,97,10,0,1,9,9
pg6_8,1,97,10,0,1,9,9
pg6_9,1,97,10,0,0,10,10
pg7_1,1,97,10,0,3,7,7
pg7_10,1,97,10,0,2,8,8
pg7_11,1,97,10,0,0,10,10
pg7_12,1,97,10,0,2,8,8
pg7_2,1,97,10,0,1,9,9
pg7_3,1,97,10,0,1,9,9
pg7_4,1,97,10,0,0,10,10
pg7_5,1,97,10,0,0,10,10
pg7_6,1,97,10,0,0,10,10
pg7_7,1,97,10,0,3,7,7
pg7_8,1,97,10,0,2,8,8
pg7_9,1,97,10,0,0,10,10
pg8_1,1,97,12,0,0,12,12
