frame,total_objects,pg_im_count,pg_el_count,groups_present
1,824,824,0,82
2,824,824,0,82
3,824,822,2,82
4,824,821,3,82
5,824,821,3,82
6,824,821,3,82
7,824,821,3,82
8,824,819,5,82
9,824,818,6,82
10,824,817,7,82
11,824,810,14,82
12,824,802,22,82
13,824,791,33,82
14,824,773,51,82
15,824,754,70,82
16,824,732,92,82
17,824,715,109,82
18,824,688,136,82
19,824,667,157,82
20,824,647,177,82
21,824,622,202,82
22,824,597,227,82
23,824,580,244,82
24,824,546,278,82
25,824,520,304,82
26,824,493,331,82
27,824,461,363,82
28,824,435,389,82
29,824,406,418,82
30,824,388,436,82
31,824,354,470,82
32,824,341,483,82
33,824,321,503,82
34,824,308,516,82
35,824,293,531,82
36,824,279,545,82
37,824,262,562,82
38,824,250,574,82
39,824,235,589,82
40,824,223,601,82
41,824,214,610,82
42,824,207,617,82
43,824,206,618,82
44,824,200,624,82
45,824,194,630,82
46,824,190,634,82
47,824,186,638,82
48,824,181,643,82
49,824,179,645,82
50,824,174,650,82
51,824,172,652,82
52,824,169,655,82
53,824,165,659,82
54,824,162,662,82
55,824,159,665,82
56,824,157,667,82
57,824,154,670,82
58,824,153,671,82
59,824,150,674,82
60,824,149,675,82
61,824,147,677,82
62,824,146,678,82
63,824,144,680,82
64,824,141,683,82
65,824,139,685,82
66,824,134,690,82
67,824,135,689,82
68,824,134,690,82
69,824,131,693,82
70,824,131,693,82
71,824,131,693,82
72,824,131,693,82
73,824,131,693,82
74,824,130,694,82
75,824,129,695,82
76,824,129,695,82
77,824,129,695,82
78,824,127,697,82
79,824,127,697,82
80,824,126,698,82
81,824,126,698,82
82,824,124,700,82
83,824,123,701,82
84,824,122,702,82
85,824,120,704,82
86,824,119,705,82
87,824,119,705,82
88,824,119,705,82
89,824,118,706,82
90,824,118,706,82
91,824,118,706,82
92,824,117,707,82
93,824,117,707,82
94,824,116,708,82
95,824,116,708,82
96,824,116,708,82
97,824,116,708,82
