group,mean_object_count,min_object_count,max_object_count,unique_object_counts
pg1_1,10.0,10,10,1
pg1_10,10.0,10,10,1
pg1_11,10.0,10,10,1
pg1_12,10.0,10,10,1
pg1_2,10.0,10,10,1
pg1_3,10.0,10,10,1
pg1_4,10.0,10,10,1
pg1_5,10.0,10,10,1
pg1_6,10.0,10,10,1
pg1_7,10.0,10,10,1
pg1_8,10.0,10,10,1
pg1_9,10.0,10,10,1
pg2_1,10.0,10,10,1
pg2_10,10.0,10,10,1
pg2_11,10.0,10,10,1
pg2_12,10.0,10,10,1
pg2_2,10.0,10,10,1
pg2_3,10.0,10,10,1
pg2_4,10.0,10,10,1
pg2_5,10.0,10,10,1
pg2_6,10.0,10,10,1
pg2_7,10.0,10,10,1
pg2_8,10.0,10,10,1
pg2_9,10.0,10,10,1
pg3_1,10.0,10,10,1
pg3_10,10.0,10,10,1
pg3_11,10.0,10,10,1
pg3_12,10.0,10,10,1
pg3_2,10.0,10,10,1
pg3_3,10.0,10,10,1
pg3_4,10.0,10,10,1
pg3_5,10.0,10,10,1
pg3_7,10.0,10,10,1
pg3_8,10.0,10,10,1
pg3_9,10.0,10,10,1
pg4_1,10.0,10,10,1
pg4_10,11.0,11,11,1
pg4_11,10.0,10,10,1
pg4_12,10.0,10,10,1
pg4_2,10.0,10,10,1
pg4_3,10.0,10,10,1
pg4_4,10.0,10,10,1
pg4_5,10.0,10,10,1
pg4_6,10.0,10,10,1
pg4_7,10.0,10,10,1
pg4_8,10.0,10,10,1
pg4_9,10.0,10,10,1
pg5_1,10.0,10,10,1
pg5_10,10.0,10,10,1
pg5_11,10.0,10,10,1
pg5_12,10.0,10,10,1
pg5_2,10.0,10,10,1
pg5_3,10.0,10,10,1
pg5_5,10.0,10,10,1
pg5_6,10.0,10,10,1
pg5_7,10.0,10,10,1
pg5_8,10.0,10,10,1
pg6_1,10.0,10,10,1
pg6_10,10.0,10,10,1
pg6_11,10.0,10,10,1
pg6_12,10.0,10,10,1
pg6_2,10.0,10,10,1
pg6_3,10.0,10,10,1
pg6_4,10.0,10,10,1
pg6_5,11.0,11,11,1
pg6_6,10.0,10,10,1
pg6_7,10.0,10,10,1
pg6_8,10.0,10,10,1
pg6_9,10.0,10,10,1
pg7_1,10.0,10,10,1
pg7_10,10.0,10,10,1
pg7_11,10.0,10,10,1
pg7_12,10.0,10,10,1
pg7_2,10.0,10,10,1
pg7_3,10.0,10,10,1
pg7_4,10.0,10,10,1
pg7_5,10.0,10,10,1
pg7_6,10.0,10,10,1
pg7_7,10.0,10,10,1
pg7_8,10.0,10,10,1
pg7_9,10.0,10,10,1
pg8_1,12.0,12,12,1
