group,object_count_values,min_objects,max_objects
pg1_1,10,10,10
pg1_10,10,10,10
pg1_11,10,10,10
pg1_12,10,10,10
pg1_2,10,10,10
pg1_3,10,10,10
pg1_4,10,10,10
pg1_5,10,10,10
pg1_6,10,10,10
pg1_7,10,10,10
pg1_8,10,10,10
pg1_9,10,10,10
pg2_1,10,10,10
pg2_10,10,10,10
pg2_11,10,10,10
pg2_12,10,10,10
pg2_2,10,10,10
pg2_3,10,10,10
pg2_4,10,10,10
pg2_5,10,10,10
pg2_6,10,10,10
pg2_7,10,10,10
pg2_8,10,10,10
pg2_9,10,10,10
pg3_1,10,10,10
pg3_10,10,10,10
pg3_11,10,10,10
pg3_12,10,10,10
pg3_2,10,10,10
pg3_3,10,10,10
pg3_4,10,10,10
pg3_5,10,10,10
pg3_7,10,10,10
pg3_8,10,10,10
pg3_9,10,10,10
pg4_1,10,10,10
pg4_10,11,11,11
pg4_11,10,10,10
pg4_12,10,10,10
pg4_2,10,10,10
pg4_3,10,10,10
pg4_4,10,10,10
pg4_5,10,10,10
pg4_6,10,10,10
pg4_7,10,10,10
pg4_8,10,10,10
pg4_9,10,10,10
pg5_1,10,10,10
pg5_10,10,10,10
pg5_11,10,10,10
pg5_12,10,10,10
pg5_2,10,10,10
pg5_3,10,10,10
pg5_5,10,10,10
pg5_6,10,10,10
pg5_7,10,10,10
pg5_8,10,10,10
pg6_1,10,10,10
pg6_10,10,10,10
pg6_11,10,10,10
pg6_12,10,10,10
pg6_2,10,10,10
pg6_3,10,10,10
pg6_4,10,10,10
pg6_5,11,11,11
pg6_6,10,10,10
pg6_7,10,10,10
pg6_8,10,10,10
pg6_9,10,10,10
pg7_1,10,10,10
pg7_10,10,10,10
pg7_11,10,10,10
pg7_12,10,10,10
pg7_2,10,10,10
pg7_3,10,10,10
pg7_4,10,10,10
pg7_5,10,10,10
pg7_6,10,10,10
pg7_7,10,10,10
pg7_8,10,10,10
pg7_9,10,10,10
pg8_1,12,12,12
