stem,group,frame
pg1_1_img001,pg1_1,1
pg1_1_img002,pg1_1,2
pg1_1_img003,pg1_1,3
pg1_1_img004,pg1_1,4
pg1_1_img005,pg1_1,5
pg1_1_img006,pg1_1,6
pg1_1_img007,pg1_1,7
pg1_1_img008,pg1_1,8
pg1_1_img009,pg1_1,9
pg1_1_img010,pg1_1,10
pg1_1_img011,pg1_1,11
pg1_1_img012,pg1_1,12
pg1_1_img013,pg1_1,13
pg1_1_img014,pg1_1,14
pg1_1_img015,pg1_1,15
pg1_1_img016,pg1_1,16
pg1_1_img017,pg1_1,17
pg1_1_img018,pg1_1,18
pg1_1_img019,pg1_1,19
pg1_1_img020,pg1_1,20
pg1_1_img021,pg1_1,21
pg1_1_img022,pg1_1,22
pg1_1_img023,pg1_1,23
pg1_1_img024,pg1_1,24
pg1_1_img025,pg1_1,25
pg1_1_img026,pg1_1,26
pg1_1_img027,pg1_1,27
pg1_1_img028,pg1_1,28
pg1_1_img029,pg1_1,29
pg1_1_img030,pg1_1,30
pg1_1_img031,pg1_1,31
pg1_1_img032,pg1_1,32
pg1_1_img033,pg1_1,33
pg1_1_img034,pg1_1,34
pg1_1_img035,pg1_1,35
pg1_1_img036,pg1_1,36
pg1_1_img037,pg1_1,37
pg1_1_img038,pg1_1,38
pg1_1_img039,pg1_1,39
pg1_1_img040,pg1_1,40
pg1_1_img041,pg1_1,41
pg1_1_img042,pg1_1,42
pg1_1_img043,pg1_1,43
pg1_1_img044,pg1_1,44
pg1_1_img045,pg1_1,45
pg1_1_img046,pg1_1,46
pg1_1_img047,pg1_1,47
pg1_1_img048,pg1_1,48
pg1_1_img049,pg1_1,49
pg1_1_img050,pg1_1,50
pg1_1_img051,pg1_1,51
pg1_1_img052,pg1_1,52
pg1_1_img053,pg1_1,53
pg1_1_img054,pg1_1,54
pg1_1_img055,pg1_1,55
pg1_1_img056,pg1_1,56
pg1_1_img057,pg1_1,57
pg1_1_img058,pg1_1,58
pg1_1_img059,pg1_1,59
pg1_1_img060,pg1_1,60
pg1_1_img061,pg1_1,61
pg1_1_img062,pg1_1,62
pg1_1_img063,pg1_1,63
pg1_1_img064,pg1_1,64
pg1_1_img065,pg1_1,65
pg1_1_img066,pg1_1,66
pg1_1_img067,pg1_1,67
pg1_1_img068,pg1_1,68
pg1_1_img069,pg1_1,69
pg1_1_img070,pg1_1,70
pg1_1_img071,pg1_1,71
pg1_1_img072,pg1_1,72
pg1_1_img073,pg1_1,73
pg1_1_img074,pg1_1,74
pg1_1_img075,pg1_1,75
pg1_1_img076,pg1_1,76
pg1_1_img077,pg1_1,77
pg1_1_img078,pg1_1,78
pg1_1_img079,pg1_1,79
pg1_1_img080,pg1_1,80
pg1_1_img081,pg1_1,81
pg1_1_img082,pg1_1,82
pg1_1_img083,pg1_1,83
pg1_1_img084,pg1_1,84
pg1_1_img085,pg1_1,85
pg1_1_img086,pg1_1,86
pg1_1_img087,pg1_1,87
pg1_1_img088,pg1_1,88
pg1_1_img089,pg1_1,89
pg1_1_img090,pg1_1,90
pg1_1_img091,pg1_1,91
pg1_1_img092,pg1_1,92
pg1_1_img093,pg1_1,93
pg1_1_img094,pg1_1,94
pg1_1_img095,pg1_1,95
pg1_1_img096,pg1_1,96
pg1_1_img097,pg1_1,97
pg1_10_img001,pg1_10,1
pg1_10_img002,pg1_10,2
pg1_10_img003,pg1_10,3
pg1_10_img004,pg1_10,4
pg1_10_img005,pg1_10,5
pg1_10_img006,pg1_10,6
pg1_10_img007,pg1_10,7
pg1_10_img008,pg1_10,8
pg1_10_img009,pg1_10,9
pg1_10_img010,pg1_10,10
pg1_10_img011,pg1_10,11
pg1_10_img012,pg1_10,12
pg1_10_img013,pg1_10,13
pg1_10_img014,pg1_10,14
pg1_10_img015,pg1_10,15
pg1_10_img016,pg1_10,16
pg1_10_img017,pg1_10,17
pg1_10_img018,pg1_10,18
pg1_10_img019,pg1_10,19
pg1_10_img020,pg1_10,20
pg1_10_img021,pg1_10,21
pg1_10_img022,pg1_10,22
pg1_10_img023,pg1_10,23
pg1_10_img024,pg1_10,24
pg1_10_img025,pg1_10,25
pg1_10_img026,pg1_10,26
pg1_10_img027,pg1_10,27
pg1_10_img028,pg1_10,28
pg1_10_img029,pg1_10,29
pg1_10_img030,pg1_10,30
pg1_10_img031,pg1_10,31
pg1_10_img032,pg1_10,32
pg1_10_img033,pg1_10,33
pg1_10_img034,pg1_10,34
pg1_10_img035,pg1_10,35
pg1_10_img036,pg1_10,36
pg1_10_img037,pg1_10,37
pg1_10_img038,pg1_10,38
pg1_10_img039,pg1_10,39
pg1_10_img040,pg1_10,40
pg1_10_img041,pg1_10,41
pg1_10_img042,pg1_10,42
pg1_10_img043,pg1_10,43
pg1_10_img044,pg1_10,44
pg1_10_img045,pg1_10,45
