group,object_index,first_class,last_class,transition_count,transition_frames
pg1_1,0,pg_im,pg_el,1,26
pg1_1,1,pg_im,pg_el,1,39
pg1_1,2,pg_im,pg_im,0,
pg1_1,3,pg_im,pg_el,3,"57,58,59"
pg1_1,4,pg_im,pg_im,0,
pg1_1,5,pg_im,pg_im,0,
pg1_1,6,pg_im,pg_im,0,
pg1_1,7,pg_im,pg_el,1,92
pg1_1,8,pg_im,pg_el,1,40
pg1_1,9,pg_im,pg_el,1,16
pg1_10,0,pg_im,pg_el,1,55
pg1_10,1,pg_im,pg_im,0,
pg1_10,2,pg_im,pg_el,1,46
pg1_10,3,pg_im,pg_el,1,16
pg1_10,4,pg_im,pg_el,1,25
pg1_10,5,pg_im,pg_el,1,21
pg1_10,6,pg_im,pg_el,1,11
pg1_10,7,pg_im,pg_im,0,
pg1_10,8,pg_im,pg_el,1,25
pg1_10,9,pg_im,pg_el,1,52
pg1_11,0,pg_im,pg_im,0,
pg1_11,1,pg_im,pg_el,1,48
pg1_11,2,pg_im,pg_el,1,94
pg1_11,3,pg_im,pg_el,1,22
pg1_11,4,pg_im,pg_el,1,21
pg1_11,5,pg_im,pg_el,1,23
pg1_11,6,pg_im,pg_el,1,30
pg1_11,7,pg_im,pg_el,1,15
pg1_11,8,pg_im,pg_el,1,40
pg1_11,9,pg_im,pg_el,1,24
pg1_12,0,pg_im,pg_el,1,29
pg1_12,1,pg_im,pg_el,1,16
pg1_12,2,pg_im,pg_el,1,21
pg1_12,3,pg_im,pg_el,1,36
pg1_12,4,pg_im,pg_el,1,26
pg1_12,5,pg_im,pg_el,1,14
pg1_12,6,pg_im,pg_el,1,29
pg1_12,7,pg_im,pg_el,1,27
pg1_12,8,pg_im,pg_el,1,32
pg1_12,9,pg_im,pg_el,1,18
pg1_2,0,pg_im,pg_el,1,45
pg1_2,1,pg_im,pg_el,1,69
pg1_2,2,pg_im,pg_el,1,18
pg1_2,3,pg_im,pg_el,1,35
pg1_2,4,pg_im,pg_el,1,53
pg1_2,5,pg_im,pg_el,1,24
pg1_2,6,pg_im,pg_el,1,25
pg1_2,7,pg_im,pg_el,1,21
pg1_2,8,pg_im,pg_el,1,54
pg1_2,9,pg_im,pg_el,1,15
pg1_3,0,pg_im,pg_im,0,
pg1_3,1,pg_im,pg_im,0,
pg1_3,2,pg_im,pg_im,0,
pg1_3,3,pg_im,pg_el,1,29
pg1_3,4,pg_im,pg_el,1,31
pg1_3,5,pg_im,pg_el,1,34
pg1_3,6,pg_im,pg_el,1,27
pg1_3,7,pg_im,pg_el,1,18
pg1_3,8,pg_im,pg_el,1,21
pg1_3,9,pg_im,pg_el,1,12
pg1_4,0,pg_im,pg_el,1,28
pg1_4,1,pg_im,pg_el,1,38
pg1_4,2,pg_im,pg_el,3,"35,36,37"
pg1_4,3,pg_im,pg_el,1,29
pg1_4,4,pg_im,pg_el,1,31
pg1_4,5,pg_im,pg_im,0,
pg1_4,6,pg_im,pg_el,1,85
pg1_4,7,pg_im,pg_im,0,
pg1_4,8,pg_im,pg_el,1,26
pg1_4,9,pg_im,pg_el,1,36
pg1_5,0,pg_im,pg_el,1,26
pg1_5,1,pg_im,pg_im,0,
pg1_5,2,pg_im,pg_im,0,
pg1_5,3,pg_im,pg_im,0,
pg1_5,4,pg_im,pg_im,0,
pg1_5,5,pg_im,pg_el,1,24
pg1_5,6,pg_im,pg_el,1,26
pg1_5,7,pg_im,pg_el,1,27
pg1_5,8,pg_im,pg_el,1,26
pg1_5,9,pg_im,pg_el,1,25
pg1_6,0,pg_im,pg_el,1,13
pg1_6,1,pg_im,pg_im,0,
pg1_6,2,pg_im,pg_im,0,
pg1_6,3,pg_im,pg_im,0,
pg1_6,4,pg_im,pg_el,1,15
pg1_6,5,pg_im,pg_el,1,11
pg1_6,6,pg_im,pg_el,1,11
pg1_6,7,pg_im,pg_el,1,14
pg1_6,8,pg_im,pg_el,1,31
pg1_6,9,pg_im,pg_el,1,13
pg1_7,0,pg_im,pg_el,1,29
pg1_7,1,pg_im,pg_el,1,25
pg1_7,2,pg_im,pg_el,1,75
pg1_7,3,pg_im,pg_el,1,24
pg1_7,4,pg_im,pg_el,1,26
pg1_7,5,pg_im,pg_el,1,28
pg1_7,6,pg_im,pg_el,1,48
pg1_7,7,pg_im,pg_el,1,20
pg1_7,8,pg_im,pg_el,1,23
pg1_7,9,pg_im,pg_el,1,26
pg1_8,0,pg_im,pg_el,37,"28,31,33,36,37,38,39,40,42,45,47,48,51,52,53,54,56,57,58,60,62,63,65,66,67,69,71,72,73,77,78,82,83,87,88,94,96"
pg1_8,1,pg_im,pg_el,35,"12,13,21,22,31,32,33,35,37,39,41,43,45,46,47,49,50,57,58,62,65,68,70,71,72,74,76,81,82,91,92,93,94,95,97"
pg1_8,2,pg_im,pg_el,33,"33,36,38,39,40,44,45,49,50,53,54,61,66,69,70,71,72,73,75,76,77,78,79,80,82,83,84,90,92,93,94,95,97"
pg1_8,3,pg_im,pg_el,39,"15,16,19,20,23,24,27,29,31,32,33,34,35,36,37,39,41,51,52,53,54,57,58,69,70,73,75,76,77,80,81,82,83,84,85,87,88,89,90"
pg1_8,4,pg_im,pg_im,34,"28,29,31,33,34,37,38,40,41,42,43,45,46,48,49,51,52,54,60,62,64,67,68,73,74,76,77,83,84,87,88,93,94,97"
pg1_8,5,pg_im,pg_im,32,"26,31,34,35,36,37,38,41,44,47,49,54,55,56,57,58,62,66,69,73,75,77,79,80,81,84,87,88,90,91,92,97"
pg1_8,6,pg_im,pg_el,37,"18,19,20,21,24,25,27,28,29,33,35,37,38,41,45,56,57,58,62,66,67,70,71,77,81,83,85,86,87,89,90,92,93,94,95,96,97"
pg1_8,7,pg_im,pg_im,36,"26,29,31,33,36,38,39,42,43,47,48,50,55,56,57,58,61,65,68,70,71,72,73,75,76,78,80,82,83,84,87,88,91,92,94,97"
pg1_8,8,pg_im,pg_el,41,"22,23,25,26,29,31,32,34,36,37,39,41,42,45,48,49,53,55,56,65,66,68,69,71,73,75,76,79,80,81,84,85,89,90,91,92,93,94,95,96,97"
pg1_8,9,pg_im,pg_im,40,"17,18,29,31,32,33,36,38,40,43,49,50,51,52,54,55,56,62,63,64,66,67,69,70,73,75,78,79,80,81,82,85,86,88,89,90,93,94,96,97"
pg1_9,0,pg_im,pg_el,13,"26,27,30,32,33,35,38,40,41,42,44,53,54"
pg1_9,1,pg_im,pg_el,17,"27,28,29,31,32,33,34,35,37,40,41,47,48,50,51,58,59"
pg1_9,2,pg_im,pg_el,15,"19,20,26,27,32,34,36,38,39,44,45,46,47,56,57"
pg1_9,3,pg_im,pg_el,11,"18,19,27,29,33,36,38,39,41,44,47"
pg1_9,4,pg_im,pg_el,13,"13,14,24,26,28,31,33,34,35,36,39,60,61"
pg1_9,5,pg_im,pg_el,11,"25,26,31,33,35,37,40,51,52,63,64"
pg1_9,6,pg_im,pg_el,19,"16,17,23,24,27,29,32,34,36,37,40,41,42,43,44,49,50,57,58"
pg1_9,7,pg_im,pg_el,17,"15,16,20,21,22,25,31,32,34,36,37,39,42,48,49,61,62"
pg1_9,8,pg_im,pg_el,13,"21,22,29,32,34,40,42,52,53,54,56,62,63"
pg1_9,9,pg_im,pg_el,11,"14,15,17,18,36,38,40,42,43,59,60"
pg2_1,0,pg_im,pg_el,1,26
pg2_1,1,pg_im,pg_im,0,
pg2_1,2,pg_im,pg_el,1,33
pg2_1,3,pg_im,pg_el,3,"26,27,29"
pg2_1,4,pg_im,pg_el,1,65
pg2_1,5,pg_im,pg_el,1,62
pg2_1,6,pg_im,pg_el,3,"14,18,19"
pg2_1,7,pg_im,pg_el,1,18
pg2_1,8,pg_im,pg_el,1,34
pg2_1,9,pg_im,pg_el,1,31
pg2_10,0,pg_im,pg_im,0,
pg2_10,1,pg_im,pg_im,0,
pg2_10,2,pg_im,pg_im,0,
pg2_10,3,pg_im,pg_el,1,21
pg2_10,4,pg_im,pg_el,1,18
pg2_10,5,pg_im,pg_el,1,19
pg2_10,6,pg_im,pg_el,1,19
pg2_10,7,pg_im,pg_el,1,51
pg2_10,8,pg_im,pg_el,1,18
pg2_10,9,pg_im,pg_el,1,16
pg2_11,0,pg_im,pg_im,0,
pg2_11,1,pg_im,pg_el,1,20
pg2_11,2,pg_im,pg_el,1,15
pg2_11,3,pg_im,pg_el,3,"66,67,68"
pg2_11,4,pg_im,pg_el,1,20
pg2_11,5,pg_im,pg_el,1,39
pg2_11,6,pg_im,pg_el,1,21
pg2_11,7,pg_im,pg_el,1,19
pg2_11,8,pg_im,pg_el,3,"18,20,21"
pg2_11,9,pg_im,pg_el,1,25
pg2_12,0,pg_im,pg_im,0,
pg2_12,1,pg_im,pg_im,0,
pg2_12,2,pg_im,pg_im,0,
pg2_12,3,pg_im,pg_el,1,30
pg2_12,4,pg_im,pg_im,0,
pg2_12,5,pg_im,pg_im,0,
pg2_12,6,pg_im,pg_el,1,25
pg2_12,7,pg_im,pg_el,1,28
pg2_12,8,pg_im,pg_el,1,23
pg2_12,9,pg_im,pg_el,1,31
pg2_2,0,pg_im,pg_im,0,
pg2_2,1,pg_im,pg_el,3,"41,43,44"
pg2_2,2,pg_im,pg_el,1,29
pg2_2,3,pg_im,pg_el,1,24
pg2_2,4,pg_im,pg_el,1,19
pg2_2,5,pg_im,pg_el,1,19
pg2_2,6,pg_im,pg_el,1,28
pg2_2,7,pg_im,pg_el,1,37
pg2_2,8,pg_im,pg_el,1,36
pg2_2,9,pg_im,pg_el,1,17
pg2_3,0,pg_im,pg_el,1,38
pg2_3,1,pg_im,pg_el,1,39
pg2_3,2,pg_im,pg_el,1,28
pg2_3,3,pg_im,pg_el,1,28
pg2_3,4,pg_im,pg_el,1,19
pg2_3,5,pg_im,pg_el,1,33
pg2_3,6,pg_im,pg_el,1,57
pg2_3,7,pg_im,pg_el,1,59
pg2_3,8,pg_im,pg_el,1,19
pg2_3,9,pg_im,pg_el,1,30
pg2_4,0,pg_im,pg_im,0,
pg2_4,1,pg_im,pg_el,1,20
pg2_4,2,pg_im,pg_el,1,65
pg2_4,3,pg_im,pg_el,1,33
pg2_4,4,pg_im,pg_el,1,48
pg2_4,5,pg_im,pg_el,1,29
pg2_4,6,pg_im,pg_el,3,"21,22,23"
pg2_4,7,pg_im,pg_el,1,15
pg2_4,8,pg_im,pg_el,1,38
pg2_4,9,pg_im,pg_el,1,15
pg2_5,0,pg_im,pg_im,0,
pg2_5,1,pg_im,pg_el,1,34
pg2_5,2,pg_im,pg_el,1,26
pg2_5,3,pg_im,pg_el,1,29
pg2_5,4,pg_im,pg_el,1,25
pg2_5,5,pg_im,pg_el,1,37
pg2_5,6,pg_im,pg_im,0,
pg2_5,7,pg_im,pg_el,1,31
pg2_5,8,pg_im,pg_el,1,24
pg2_5,9,pg_im,pg_el,1,21
pg2_6,0,pg_im,pg_im,0,
pg2_6,1,pg_im,pg_el,1,25
pg2_6,2,pg_im,pg_el,1,29
pg2_6,3,pg_im,pg_el,1,41
pg2_6,4,pg_im,pg_el,1,81
pg2_6,5,pg_im,pg_el,1,32
pg2_6,6,pg_im,pg_el,3,"27,28,29"
pg2_6,7,pg_im,pg_el,1,34
pg2_6,8,pg_im,pg_el,1,50
