file,stem,object_index,class,xmin,ymin,xmax,ymax,image_width,image_height,group,frame,center_x,center_y,width,height,area
pg1_10_img001.xml,pg1_10_img001,0,pg_im,243.0,210.0,281.0,246.0,624,624,pg1_10,1,262.0,228.0,38.0,36.0,1368.0
pg1_10_img001.xml,pg1_10_img001,1,pg_im,310.0,253.0,351.0,285.0,624,624,pg1_10,1,330.5,269.0,41.0,32.0,1312.0
pg1_10_img001.xml,pg1_10_img001,2,pg_im,258.0,311.0,295.0,349.0,624,624,pg1_10,1,276.5,330.0,37.0,38.0,1406.0
pg1_10_img001.xml,pg1_10_img001,3,pg_im,179.0,180.0,218.0,219.0,624,624,pg1_10,1,198.5,199.5,39.0,39.0,1521.0
pg1_10_img001.xml,pg1_10_img001,4,pg_im,336.0,119.0,371.0,155.0,624,624,pg1_10,1,353.5,137.0,35.0,36.0,1260.0
pg1_10_img001.xml,pg1_10_img001,5,pg_im,432.0,174.0,469.0,217.0,624,624,pg1_10,1,450.5,195.5,37.0,43.0,1591.0
pg1_10_img001.xml,pg1_10_img001,6,pg_im,439.0,275.0,483.0,316.0,624,624,pg1_10,1,461.0,295.5,44.0,41.0,1804.0
pg1_10_img001.xml,pg1_10_img001,7,pg_im,446.0,366.0,481.0,402.0,624,624,pg1_10,1,463.5,384.0,35.0,36.0,1260.0
pg1_10_img001.xml,pg1_10_img001,8,pg_im,309.0,405.0,339.0,438.0,624,624,pg1_10,1,324.0,421.5,30.0,33.0,990.0
pg1_10_img001.xml,pg1_10_img001,9,pg_im,186.0,379.0,227.0,414.0,624,624,pg1_10,1,206.5,396.5,41.0,35.0,1435.0
pg1_10_img002.xml,pg1_10_img002,0,pg_im,243.0,212.0,282.0,248.0,624,624,pg1_10,2,262.5,230.0,39.0,36.0,1404.0
pg1_10_img002.xml,pg1_10_img002,1,pg_im,310.0,253.0,351.0,285.0,624,624,pg1_10,2,330.5,269.0,41.0,32.0,1312.0
pg1_10_img002.xml,pg1_10_img002,2,pg_im,257.0,311.0,294.0,349.0,624,624,pg1_10,2,275.5,330.0,37.0,38.0,1406.0
pg1_10_img002.xml,pg1_10_img002,3,pg_im,179.0,180.0,218.0,219.0,624,624,pg1_10,2,198.5,199.5,39.0,39.0,1521.0
pg1_10_img002.xml,pg1_10_img002,4,pg_im,335.0,120.0,370.0,156.0,624,624,pg1_10,2,352.5,138.0,35.0,36.0,1260.0
pg1_10_img002.xml,pg1_10_img002,5,pg_im,432.0,172.0,469.0,216.0,624,624,pg1_10,2,450.5,194.0,37.0,44.0,1628.0
pg1_10_img002.xml,pg1_10_img002,6,pg_im,439.0,275.0,483.0,316.0,624,624,pg1_10,2,461.0,295.5,44.0,41.0,1804.0
pg1_10_img002.xml,pg1_10_img002,7,pg_im,445.0,366.0,480.0,402.0,624,624,pg1_10,2,462.5,384.0,35.0,36.0,1260.0
pg1_10_img002.xml,pg1_10_img002,8,pg_im,309.0,405.0,339.0,439.0,624,624,pg1_10,2,324.0,422.0,30.0,34.0,1020.0
pg1_10_img002.xml,pg1_10_img002,9,pg_im,186.0,379.0,227.0,415.0,624,624,pg1_10,2,206.5,397.0,41.0,36.0,1476.0
pg1_10_img003.xml,pg1_10_img003,0,pg_im,243.0,212.0,282.0,248.0,624,624,pg1_10,3,262.5,230.0,39.0,36.0,1404.0
pg1_10_img003.xml,pg1_10_img003,1,pg_im,310.0,253.0,351.0,285.0,624,624,pg1_10,3,330.5,269.0,41.0,32.0,1312.0
pg1_10_img003.xml,pg1_10_img003,2,pg_im,257.0,311.0,294.0,349.0,624,624,pg1_10,3,275.5,330.0,37.0,38.0,1406.0
pg1_10_img003.xml,pg1_10_img003,3,pg_im,179.0,180.0,218.0,219.0,624,624,pg1_10,3,198.5,199.5,39.0,39.0,1521.0
pg1_10_img003.xml,pg1_10_img003,4,pg_im,335.0,120.0,370.0,156.0,624,624,pg1_10,3,352.5,138.0,35.0,36.0,1260.0
pg1_10_img003.xml,pg1_10_img003,5,pg_im,432.0,172.0,469.0,216.0,624,624,pg1_10,3,450.5,194.0,37.0,44.0,1628.0
pg1_10_img003.xml,pg1_10_img003,6,pg_im,439.0,275.0,483.0,316.0,624,624,pg1_10,3,461.0,295.5,44.0,41.0,1804.0
pg1_10_img003.xml,pg1_10_img003,7,pg_im,445.0,366.0,480.0,402.0,624,624,pg1_10,3,462.5,384.0,35.0,36.0,1260.0
pg1_10_img003.xml,pg1_10_img003,8,pg_im,308.0,405.0,339.0,439.0,624,624,pg1_10,3,323.5,422.0,31.0,34.0,1054.0
pg1_10_img003.xml,pg1_10_img003,9,pg_im,186.0,379.0,227.0,415.0,624,624,pg1_10,3,206.5,397.0,41.0,36.0,1476.0
pg1_10_img004.xml,pg1_10_img004,0,pg_im,243.0,212.0,282.0,248.0,624,624,pg1_10,4,262.5,230.0,39.0,36.0,1404.0
pg1_10_img004.xml,pg1_10_img004,1,pg_im,310.0,253.0,351.0,285.0,624,624,pg1_10,4,330.5,269.0,41.0,32.0,1312.0
pg1_10_img004.xml,pg1_10_img004,2,pg_im,257.0,311.0,294.0,349.0,624,624,pg1_10,4,275.5,330.0,37.0,38.0,1406.0
