group,object_index,classes
pg1_1,3,pg_el -> pg_im
pg1_4,2,pg_el -> pg_im
pg1_8,0,pg_el -> pg_im
pg1_8,1,pg_el -> pg_im
pg1_8,2,pg_el -> pg_im
pg1_8,3,pg_el -> pg_im
pg1_8,4,pg_el -> pg_im
pg1_8,5,pg_el -> pg_im
pg1_8,6,pg_el -> pg_im
pg1_8,7,pg_el -> pg_im
pg1_8,8,pg_el -> pg_im
pg1_8,9,pg_el -> pg_im
pg1_9,0,pg_el -> pg_im
pg1_9,1,pg_el -> pg_im
pg1_9,2,pg_el -> pg_im
pg1_9,3,pg_el -> pg_im
pg1_9,4,pg_el -> pg_im
pg1_9,5,pg_el -> pg_im
pg1_9,6,pg_el -> pg_im
pg1_9,7,pg_el -> pg_im
pg1_9,8,pg_el -> pg_im
pg1_9,9,pg_el -> pg_im
pg2_1,3,pg_el -> pg_im
pg2_1,6,pg_el -> pg_im
pg2_11,3,pg_el -> pg_im
pg2_11,8,pg_el -> pg_im
pg2_2,1,pg_el -> pg_im
pg2_4,6,pg_el -> pg_im
pg2_6,6,pg_el -> pg_im
pg2_7,2,pg_el -> pg_im
pg2_8,5,pg_el -> pg_im
pg2_8,6,pg_el -> pg_im
pg2_9,5,pg_el -> pg_im
pg2_9,6,pg_el -> pg_im
pg3_1,1,pg_el -> pg_im
pg3_2,3,pg_el -> pg_im
pg3_7,7,pg_el -> pg_im
pg3_9,2,pg_el -> pg_im
pg4_1,6,pg_el -> pg_im
pg4_10,1,pg_el -> pg_im
pg4_10,3,pg_el -> pg_im
pg4_11,5,pg_el -> pg_im
pg4_11,7,pg_el -> pg_im
pg4_12,9,pg_el -> pg_im
pg4_3,6,pg_el -> pg_im
pg4_4,4,pg_el -> pg_im
pg4_8,8,pg_el -> pg_im
pg4_9,4,pg_el -> pg_im
pg5_12,9,pg_el -> pg_im
pg5_3,1,pg_el -> pg_im
pg5_6,1,pg_el -> pg_im
pg5_6,6,pg_el -> pg_im
pg5_8,3,pg_el -> pg_im
pg5_8,8,pg_el -> pg_im
pg6_12,4,pg_el -> pg_im
pg6_12,7,pg_el -> pg_im
pg6_8,5,pg_el -> pg_im
pg6_9,4,pg_el -> pg_im
pg7_11,2,pg_el -> pg_im
pg7_11,4,pg_el -> pg_im
pg7_12,4,pg_el -> pg_im
pg8_1,6,pg_el -> pg_im
pg8_1,11,pg_el -> pg_im
