group,object_count,objects_with_missing_frames,complete
pg1_1,10,0,True
pg1_10,10,0,True
pg1_11,10,0,True
pg1_12,10,0,True
pg1_2,10,0,True
pg1_3,10,0,True
pg1_4,10,0,True
pg1_5,10,0,True
pg1_6,10,0,True
pg1_7,10,0,True
pg1_8,10,0,True
pg1_9,10,0,True
pg2_1,10,0,True
pg2_10,10,0,True
pg2_11,10,0,True
pg2_12,10,0,True
pg2_2,10,0,True
pg2_3,10,0,True
pg2_4,10,0,True
pg2_5,10,0,True
pg2_6,10,0,True
pg2_7,10,0,True
pg2_8,10,0,True
pg2_9,10,0,True
pg3_1,10,0,True
pg3_10,10,0,True
pg3_11,10,0,True
pg3_12,10,0,True
pg3_2,10,0,True
pg3_3,10,0,True
pg3_4,10,0,True
pg3_5,10,0,True
pg3_7,10,0,True
pg3_8,10,0,True
pg3_9,10,0,True
pg4_1,10,0,True
pg4_10,11,0,True
pg4_11,10,0,True
pg4_12,10,0,True
pg4_2,10,0,True
pg4_3,10,0,True
pg4_4,10,0,True
pg4_5,10,0,True
pg4_6,10,0,True
pg4_7,10,0,True
pg4_8,10,0,True
pg4_9,10,0,True
pg5_1,10,0,True
pg5_10,10,0,True
pg5_11,10,0,True
pg5_12,10,0,True
pg5_2,10,0,True
pg5_3,10,0,True
pg5_5,10,0,True
pg5_6,10,0,True
pg5_7,10,0,True
pg5_8,10,0,True
pg6_1,10,0,True
pg6_10,10,0,True
pg6_11,10,0,True
pg6_12,10,0,True
pg6_2,10,0,True
pg6_3,10,0,True
pg6_4,10,0,True
pg6_5,11,0,True
pg6_6,10,0,True
pg6_7,10,0,True
pg6_8,10,0,True
pg6_9,10,0,True
pg7_1,10,0,True
pg7_10,10,0,True
pg7_11,10,0,True
pg7_12,10,0,True
pg7_2,10,0,True
pg7_3,10,0,True
pg7_4,10,0,True
pg7_5,10,0,True
pg7_6,10,0,True
pg7_7,10,0,True
pg7_8,10,0,True
pg7_9,10,0,True
pg8_1,12,0,True
