group,object_index,transition_frame,spatial_jump,previous_class,current_class
pg1_1,0,26,0.0,pg_im,pg_el
pg1_1,1,39,0.0,pg_im,pg_el
pg1_1,3,57,0.0,pg_im,pg_el
pg1_1,3,58,0.0,pg_el,pg_im
pg1_1,3,59,0.0,pg_im,pg_el
pg1_1,7,92,3.0413812651491097,pg_im,pg_el
pg1_1,8,40,0.0,pg_im,pg_el
pg1_1,9,16,0.0,pg_im,pg_el
pg1_10,0,55,2.1213203435596424,pg_im,pg_el
pg1_10,2,46,0.0,pg_im,pg_el
pg1_10,3,16,0.7071067811865476,pg_im,pg_el
pg1_10,4,25,1.0,pg_im,pg_el
pg1_10,5,21,1.5,pg_im,pg_el
pg1_10,6,11,0.5,pg_im,pg_el
pg1_10,8,25,1.8027756377319946,pg_im,pg_el
pg1_10,9,52,0.5,pg_im,pg_el
pg1_11,1,48,1.118033988749895,pg_im,pg_el
pg1_11,2,94,2.5495097567963922,pg_im,pg_el
pg1_11,3,22,0.0,pg_im,pg_el
pg1_11,4,21,3.605551275463989,pg_im,pg_el
pg1_11,5,23,0.0,pg_im,pg_el
pg1_11,6,30,1.5811388300841898,pg_im,pg_el
pg1_11,7,15,0.0,pg_im,pg_el
pg1_11,8,40,0.0,pg_im,pg_el
pg1_11,9,24,1.118033988749895,pg_im,pg_el
pg1_12,0,29,2.5,pg_im,pg_el
pg1_12,1,16,3.0,pg_im,pg_el
pg1_12,2,21,0.0,pg_im,pg_el
pg1_12,3,36,0.5,pg_im,pg_el
pg1_12,4,26,1.118033988749895,pg_im,pg_el
pg1_12,5,14,0.5,pg_im,pg_el
pg1_12,6,29,3.0413812651491097,pg_im,pg_el
pg1_12,7,27,1.118033988749895,pg_im,pg_el
pg1_12,8,32,1.0,pg_im,pg_el
pg1_12,9,18,0.0,pg_im,pg_el
pg1_2,0,45,2.0615528128088303,pg_im,pg_el
pg1_2,1,69,0.0,pg_im,pg_el
pg1_2,2,18,1.0,pg_im,pg_el
pg1_2,3,35,0.5,pg_im,pg_el
pg1_2,4,53,0.5,pg_im,pg_el
pg1_2,5,24,0.0,pg_im,pg_el
pg1_2,6,25,0.0,pg_im,pg_el
pg1_2,7,21,2.5495097567963922,pg_im,pg_el
pg1_2,8,54,1.0,pg_im,pg_el
pg1_2,9,15,2.0615528128088303,pg_im,pg_el
pg1_3,3,29,1.4142135623730951,pg_im,pg_el
pg1_3,4,31,3.0413812651491097,pg_im,pg_el
pg1_3,5,34,1.5811388300841898,pg_im,pg_el
pg1_3,6,27,1.4142135623730951,pg_im,pg_el
pg1_3,7,18,1.118033988749895,pg_im,pg_el
pg1_3,8,21,2.9154759474226504,pg_im,pg_el
pg1_3,9,12,1.118033988749895,pg_im,pg_el
pg1_4,0,28,2.0615528128088303,pg_im,pg_el
pg1_4,1,38,1.118033988749895,pg_im,pg_el
pg1_4,2,35,0.0,pg_im,pg_el
pg1_4,2,36,0.0,pg_el,pg_im
pg1_4,2,37,0.0,pg_im,pg_el
pg1_4,3,29,2.5495097567963922,pg_im,pg_el
pg1_4,4,31,1.5811388300841898,pg_im,pg_el
pg1_4,6,85,0.5,pg_im,pg_el
pg1_4,8,26,1.0,pg_im,pg_el
pg1_4,9,36,3.2015621187164243,pg_im,pg_el
pg1_5,0,26,1.8027756377319946,pg_im,pg_el
pg1_5,5,24,0.0,pg_im,pg_el
pg1_5,6,26,2.1213203435596424,pg_im,pg_el
pg1_5,7,27,0.0,pg_im,pg_el
pg1_5,8,26,1.118033988749895,pg_im,pg_el
pg1_5,9,25,1.5,pg_im,pg_el
pg1_6,0,13,2.5495097567963922,pg_im,pg_el
pg1_6,4,15,0.0,pg_im,pg_el
pg1_6,5,11,2.692582403567252,pg_im,pg_el
pg1_6,6,11,1.5,pg_im,pg_el
pg1_6,7,14,1.118033988749895,pg_im,pg_el
pg1_6,8,31,0.0,pg_im,pg_el
pg1_6,9,13,1.5811388300841898,pg_im,pg_el
pg1_7,0,29,0.0,pg_im,pg_el
pg1_7,1,25,2.5,pg_im,pg_el
pg1_7,2,75,0.0,pg_im,pg_el
pg1_7,3,24,0.0,pg_im,pg_el
pg1_7,4,26,1.5,pg_im,pg_el
pg1_7,5,28,2.5,pg_im,pg_el
pg1_7,6,48,2.5,pg_im,pg_el
pg1_7,7,20,0.5,pg_im,pg_el
pg1_7,8,23,0.0,pg_im,pg_el
pg1_7,9,26,3.5355339059327378,pg_im,pg_el
pg1_8,0,28,290.90376415577714,pg_im,pg_el
pg1_8,0,31,203.58843287377601,pg_el,pg_im
pg1_8,0,33,114.48689881379441,pg_im,pg_el
pg1_8,0,36,148.00084459218468,pg_el,pg_im
pg1_8,0,37,145.27387927635166,pg_im,pg_el
pg1_8,0,38,114.05809923017304,pg_el,pg_im
pg1_8,0,39,248.0181444975347,pg_im,pg_el
pg1_8,0,40,117.47872147755099,pg_el,pg_im
pg1_8,0,42,154.50647235633852,pg_im,pg_el
pg1_8,0,45,143.0034964607509,pg_el,pg_im
pg1_8,0,47,236.04289864344574,pg_im,pg_el
pg1_8,0,48,296.2435653309621,pg_el,pg_im
pg1_8,0,51,113.63208173750932,pg_im,pg_el
pg1_8,0,52,241.1850948960155,pg_el,pg_im
pg1_8,0,53,119.19941275023129,pg_im,pg_el
pg1_8,0,54,118.77394495427016,pg_el,pg_im
pg1_8,0,56,195.5230165479246,pg_im,pg_el
pg1_8,0,57,155.32707426588578,pg_el,pg_im
pg1_8,0,58,155.32707426588578,pg_im,pg_el
pg1_8,0,60,165.16204164395643,pg_el,pg_im
pg1_8,0,62,112.64213243720131,pg_im,pg_el
pg1_8,0,63,112.64213243720131,pg_el,pg_im
pg1_8,0,65,125.52390210633192,pg_im,pg_el
pg1_8,0,66,243.59905582739847,pg_el,pg_im
pg1_8,0,67,243.59905582739847,pg_im,pg_el
pg1_8,0,69,124.10580163715152,pg_el,pg_im
pg1_8,0,71,124.01612798341996,pg_im,pg_el
pg1_8,0,72,290.5477585527033,pg_el,pg_im
pg1_8,0,73,307.19903971204076,pg_im,pg_el
pg1_8,0,77,118.93800906354537,pg_el,pg_im
pg1_8,0,78,118.93800906354537,pg_im,pg_el
pg1_8,0,82,326.26714514336254,pg_el,pg_im
pg1_8,0,83,182.26148797812445,pg_im,pg_el
pg1_8,0,87,213.41157419409097,pg_el,pg_im
pg1_8,0,88,153.3101431738944,pg_im,pg_el
pg1_8,0,94,308.8952087682812,pg_el,pg_im
pg1_8,0,96,222.62299971027252,pg_im,pg_el
pg1_8,1,12,327.15630820756,pg_im,pg_el
pg1_8,1,13,99.91121058219643,pg_el,pg_im
pg1_8,1,21,164.26959548254814,pg_im,pg_el
pg1_8,1,22,223.1014343297685,pg_el,pg_im
pg1_8,1,31,155.283611498445,pg_im,pg_el
pg1_8,1,32,214.64913230665528,pg_el,pg_im
pg1_8,1,33,214.64913230665528,pg_im,pg_el
pg1_8,1,35,240.52078912227108,pg_el,pg_im
pg1_8,1,37,196.04400016322867,pg_im,pg_el
pg1_8,1,39,293.23795797952215,pg_el,pg_im
pg1_8,1,41,305.1597942062486,pg_im,pg_el
pg1_8,1,43,264.4168111145734,pg_el,pg_im
pg1_8,1,45,196.11030059637358,pg_im,pg_el
pg1_8,1,46,327.1704448754502,pg_el,pg_im
pg1_8,1,47,247.52474623762367,pg_im,pg_el
pg1_8,1,49,265.84958153060916,pg_el,pg_im
pg1_8,1,50,134.28049001995785,pg_im,pg_el
pg1_8,1,57,249.56061387967452,pg_el,pg_im
pg1_8,1,58,326.7265676372217,pg_im,pg_el
pg1_8,1,62,138.74076545846214,pg_el,pg_im
pg1_8,1,65,201.23183147802436,pg_im,pg_el
pg1_8,1,68,281.8674333795942,pg_el,pg_im
pg1_8,1,70,260.51199588502635,pg_im,pg_el
pg1_8,1,71,206.34982432752398,pg_el,pg_im
pg1_8,1,72,143.96961484980085,pg_im,pg_el
pg1_8,1,74,98.34886882928548,pg_el,pg_im
pg1_8,1,76,106.09547586961472,pg_im,pg_el
pg1_8,1,81,242.5,pg_el,pg_im
pg1_8,1,82,221.45202640752692,pg_im,pg_el
pg1_8,1,91,182.26148797812445,pg_el,pg_im
pg1_8,1,92,182.26148797812445,pg_im,pg_el
pg1_8,1,93,215.8083640640464,pg_el,pg_im
pg1_8,1,94,65.51717332119877,pg_im,pg_el
pg1_8,1,95,142.21462653327893,pg_el,pg_im
pg1_8,1,97,112.00892821556681,pg_im,pg_el
pg1_8,2,33,217.5827428818747,pg_im,pg_el
pg1_8,2,36,327.15630820756,pg_el,pg_im
pg1_8,2,38,240.93619487324855,pg_im,pg_el
pg1_8,2,39,144.16050083153846,pg_el,pg_im
pg1_8,2,40,305.65053574302794,pg_im,pg_el
pg1_8,2,44,226.5226258014859,pg_el,pg_im
pg1_8,2,45,114.12712210513327,pg_im,pg_el
