group,object_index,frame_count,mean_step_distance,median_step_distance,max_step_distance,p95_step_distance,large_jump_count,very_large_jump_count
pg1_8,3,97,168.9565730258747,161.45298063278776,366.9727510320078,304.485602515289,92,92
pg1_8,4,97,186.5189723036524,172.19979215331992,354.8309456628607,326.9448538352064,92,92
pg1_9,3,97,182.00520738777882,180.73630617297636,385.852951265116,354.75242849290566,91,91
pg1_8,8,97,187.591566507268,165.1098119434457,355.3990714675546,327.00696485781657,90,90
pg1_9,2,97,170.059791475371,173.44163283364233,375.3245262436229,311.02867720806245,89,89
pg1_8,9,97,182.9678386679644,167.4577696993946,366.5276251525934,357.02805743704073,89,89
pg1_8,2,97,180.48880942921178,173.6757035396719,365.53317222927933,337.1003414532284,89,89
pg1_9,6,97,186.35922014694063,193.78529153357198,384.38294707231745,325.8999405835236,89,89
pg1_9,5,97,157.67590836958837,175.74018266915704,328.8453283840292,278.7686732106746,88,88
pg1_8,5,97,166.65634551526293,155.31919422730454,355.4490118146343,334.3143636190839,87,87
pg1_8,0,97,161.02653637263276,162.19395503362222,345.44174617437307,295.285783975951,85,85
pg1_8,7,97,170.53841874566254,169.37217399700748,354.8309456628607,326.54008950004936,85,85
pg1_8,1,97,169.48417600631956,160.53228144144794,366.5276251525934,327.15984237453256,85,85
pg1_9,8,97,163.15896746416672,163.62457028209425,385.852951265116,308.7249709704286,85,85
pg1_9,9,97,170.10244815153078,173.690843457676,381.07118757523506,319.17029678145263,84,84
pg1_9,0,97,160.52774644921453,166.26826260276164,386.73020311322983,345.7428030672868,84,84
pg1_9,7,97,154.45202956339847,146.79449644401421,386.51778743028115,319.8690160055047,84,84
pg1_9,1,97,150.13569181448668,145.69537984851846,386.0945480060551,312.01885552809534,82,82
pg1_8,6,97,149.09177618078743,152.61252974873975,361.4505498681666,305.09683638992004,81,81
pg1_9,4,97,152.75816060815214,148.64854374953006,386.73020311322983,311.9010643916408,80,80
pg2_7,1,97,1.2848106531872672,0.0,113.81783691495811,0.5,1,1
pg2_7,2,97,1.2639206130856593,0.0,112.49222195334218,0.5,1,1
pg7_12,7,97,1.2679818129964424,0.5,38.56488039654732,2.810006217717534,1,1
