group,frame,track_id,previous_object_index,current_object_index,center_distance,object_index_preserved
pg1_1,2,0,0,0,0.0,True
pg1_1,2,1,1,1,3.605551275463989,True
pg1_1,2,2,2,2,2.8284271247461903,True
pg1_1,2,3,3,3,3.1622776601683795,True
pg1_1,2,4,4,4,1.5811388300841898,True
pg1_1,2,5,5,5,1.5,True
pg1_1,2,6,6,6,2.23606797749979,True
pg1_1,2,7,7,7,4.242640687119285,True
pg1_1,2,8,8,8,4.6097722286464435,True
pg1_1,2,9,9,9,4.242640687119285,True
pg1_1,3,0,0,0,0.0,True
pg1_1,3,1,1,1,0.0,True
pg1_1,3,2,2,2,0.0,True
pg1_1,3,3,3,3,0.0,True
pg1_1,3,4,4,4,0.0,True
pg1_1,3,5,5,5,0.0,True
pg1_1,3,6,6,6,0.0,True
pg1_1,3,7,7,7,0.5,True
pg1_1,3,8,8,8,0.0,True
pg1_1,3,9,9,9,0.0,True
pg1_1,4,0,0,0,0.0,True
pg1_1,4,1,1,1,0.0,True
pg1_1,4,2,2,2,0.0,True
pg1_1,4,3,3,3,0.0,True
pg1_1,4,4,4,4,0.0,True
pg1_1,4,5,5,5,0.0,True
pg1_1,4,6,6,6,0.0,True
pg1_1,4,7,7,7,0.0,True
pg1_1,4,8,8,8,0.0,True
pg1_1,4,9,9,9,0.0,True
pg1_1,5,0,0,0,0.0,True
pg1_1,5,1,1,1,0.0,True
pg1_1,5,2,2,2,0.0,True
pg1_1,5,3,3,3,0.0,True
pg1_1,5,4,4,4,0.0,True
pg1_1,5,5,5,5,0.0,True
pg1_1,5,6,6,6,0.0,True
pg1_1,5,7,7,7,0.0,True
pg1_1,5,8,8,8,0.0,True
pg1_1,5,9,9,9,0.0,True
pg1_1,6,0,0,0,0.0,True
pg1_1,6,1,1,1,0.0,True
pg1_1,6,2,2,2,1.0,True
pg1_1,6,3,3,3,0.0,True
pg1_1,6,4,4,4,0.0,True
pg1_1,6,5,5,5,0.0,True
pg1_1,6,6,6,6,0.0,True
pg1_1,6,7,7,7,0.0,True
pg1_1,6,8,8,8,0.5,True
pg1_1,6,9,9,9,0.0,True
pg1_1,7,0,0,0,0.0,True
pg1_1,7,1,1,1,0.0,True
pg1_1,7,2,2,2,0.0,True
pg1_1,7,3,3,3,0.0,True
pg1_1,7,4,4,4,0.0,True
pg1_1,7,5,5,5,0.0,True
pg1_1,7,6,6,6,0.0,True
pg1_1,7,7,7,7,0.0,True
pg1_1,7,8,8,8,0.5,True
pg1_1,7,9,9,9,0.0,True
pg1_1,8,0,0,0,0.0,True
pg1_1,8,1,1,1,0.0,True
pg1_1,8,2,2,2,0.0,True
pg1_1,8,3,3,3,0.0,True
pg1_1,8,4,4,4,0.0,True
pg1_1,8,5,5,5,0.0,True
pg1_1,8,6,6,6,0.0,True
pg1_1,8,7,7,7,0.0,True
pg1_1,8,8,8,8,0.0,True
pg1_1,8,9,9,9,0.0,True
pg1_1,9,0,0,0,0.0,True
pg1_1,9,1,1,1,0.0,True
pg1_1,9,2,2,2,0.0,True
pg1_1,9,3,3,3,0.0,True
pg1_1,9,4,4,4,0.0,True
pg1_1,9,5,5,5,0.0,True
pg1_1,9,6,6,6,0.0,True
pg1_1,9,7,7,7,0.5,True
pg1_1,9,8,8,8,0.0,True
pg1_1,9,9,9,9,0.5,True
pg1_1,10,0,0,0,0.0,True
pg1_1,10,1,1,1,0.5,True
pg1_1,10,2,2,2,1.0,True
pg1_1,10,3,3,3,0.0,True
pg1_1,10,4,4,4,0.0,True
pg1_1,10,5,5,5,0.0,True
pg1_1,10,6,6,6,0.0,True
pg1_1,10,7,7,7,0.0,True
pg1_1,10,8,8,8,0.0,True
pg1_1,10,9,9,9,0.0,True
pg1_1,11,0,0,0,0.0,True
pg1_1,11,1,1,1,0.0,True
pg1_1,11,2,2,2,0.0,True
pg1_1,11,3,3,3,0.0,True
pg1_1,11,4,4,4,0.0,True
pg1_1,11,5,5,5,0.7071067811865476,True
pg1_1,11,6,6,6,0.0,True
pg1_1,11,7,7,7,0.0,True
pg1_1,11,8,8,8,0.0,True
