group,frame,image,object_index,track_id,class,xmin,ymin,xmax,ymax,cx,cy,box_w,box_h,area,match_cost,matched,identity_source
pg1_1,1,pg1_1_img001.jpg,0,0,pg_im,312.0,478.0,351.0,512.0,331.5,495.0,39.0,34.0,1326.0,0.0,True,initial_frame
pg1_1,1,pg1_1_img001.jpg,1,1,pg_im,219.0,390.0,271.0,430.0,245.0,410.0,52.0,40.0,2080.0,0.0,True,initial_frame
pg1_1,1,pg1_1_img001.jpg,2,2,pg_im,183.0,233.0,219.0,269.0,201.0,251.0,36.0,36.0,1296.0,0.0,True,initial_frame
pg1_1,1,pg1_1_img001.jpg,3,3,pg_im,418.0,190.0,462.0,231.0,440.0,210.5,44.0,41.0,1804.0,0.0,True,initial_frame
pg1_1,1,pg1_1_img001.jpg,4,4,pg_im,427.0,386.0,469.0,419.0,448.0,402.5,42.0,33.0,1386.0,0.0,True,initial_frame
pg1_1,1,pg1_1_img001.jpg,5,5,pg_im,473.0,313.0,512.0,346.0,492.5,329.5,39.0,33.0,1287.0,0.0,True,initial_frame
pg1_1,1,pg1_1_img001.jpg,6,6,pg_im,367.0,339.0,408.0,377.0,387.5,358.0,41.0,38.0,1558.0,0.0,True,initial_frame
pg1_1,1,pg1_1_img001.jpg,7,7,pg_im,334.0,265.0,373.0,299.0,353.5,282.0,39.0,34.0,1326.0,0.0,True,initial_frame
pg1_1,1,pg1_1_img001.jpg,8,8,pg_im,241.0,224.0,281.0,262.0,261.0,243.0,40.0,38.0,1520.0,0.0,True,initial_frame
pg1_1,1,pg1_1_img001.jpg,9,9,pg_im,310.0,176.0,352.0,221.0,331.0,198.5,42.0,45.0,1890.0,0.0,True,initial_frame
pg1_1,2,pg1_1_img002.jpg,0,0,pg_im,312.0,478.0,351.0,512.0,331.5,495.0,39.0,34.0,1326.0,0.0,True,spatial_assignment
pg1_1,2,pg1_1_img002.jpg,1,1,pg_im,218.0,389.0,266.0,427.0,242.0,408.0,48.0,38.0,1824.0,3.605551275463989,True,spatial_assignment
pg1_1,2,pg1_1_img002.jpg,2,2,pg_im,181.0,231.0,217.0,267.0,199.0,249.0,36.0,36.0,1296.0,2.8284271247461903,True,spatial_assignment
pg1_1,2,pg1_1_img002.jpg,3,3,pg_im,417.0,187.0,461.0,228.0,439.0,207.5,44.0,41.0,1804.0,3.1622776601683795,True,spatial_assignment
pg1_1,2,pg1_1_img002.jpg,4,4,pg_im,426.0,384.0,469.0,418.0,447.5,401.0,43.0,34.0,1462.0,1.5811388300841898,True,spatial_assignment
pg1_1,2,pg1_1_img002.jpg,5,5,pg_im,473.0,311.0,512.0,345.0,492.5,328.0,39.0,34.0,1326.0,1.5,True,spatial_assignment
pg1_1,2,pg1_1_img002.jpg,6,6,pg_im,366.0,337.0,407.0,375.0,386.5,356.0,41.0,38.0,1558.0,2.23606797749979,True,spatial_assignment
pg1_1,2,pg1_1_img002.jpg,7,7,pg_im,331.0,262.0,370.0,296.0,350.5,279.0,39.0,34.0,1326.0,4.242640687119285,True,spatial_assignment
pg1_1,2,pg1_1_img002.jpg,8,8,pg_im,238.0,219.0,278.0,260.0,258.0,239.5,40.0,41.0,1640.0,4.6097722286464435,True,spatial_assignment
pg1_1,2,pg1_1_img002.jpg,9,9,pg_im,307.0,173.0,349.0,218.0,328.0,195.5,42.0,45.0,1890.0,4.242640687119285,True,spatial_assignment
pg1_1,3,pg1_1_img003.jpg,0,0,pg_im,312.0,478.0,351.0,512.0,331.5,495.0,39.0,34.0,1326.0,0.0,True,spatial_assignment
pg1_1,3,pg1_1_img003.jpg,1,1,pg_im,218.0,389.0,266.0,427.0,242.0,408.0,48.0,38.0,1824.0,0.0,True,spatial_assignment
pg1_1,3,pg1_1_img003.jpg,2,2,pg_im,181.0,231.0,217.0,267.0,199.0,249.0,36.0,36.0,1296.0,0.0,True,spatial_assignment
pg1_1,3,pg1_1_img003.jpg,3,3,pg_im,417.0,187.0,461.0,228.0,439.0,207.5,44.0,41.0,1804.0,0.0,True,spatial_assignment
pg1_1,3,pg1_1_img003.jpg,4,4,pg_im,426.0,384.0,469.0,418.0,447.5,401.0,43.0,34.0,1462.0,0.0,True,spatial_assignment
pg1_1,3,pg1_1_img003.jpg,5,5,pg_im,473.0,311.0,512.0,345.0,492.5,328.0,39.0,34.0,1326.0,0.0,True,spatial_assignment
pg1_1,3,pg1_1_img003.jpg,6,6,pg_im,366.0,337.0,407.0,375.0,386.5,356.0,41.0,38.0,1558.0,0.0,True,spatial_assignment
pg1_1,3,pg1_1_img003.jpg,7,7,pg_im,331.0,262.0,371.0,296.0,351.0,279.0,40.0,34.0,1360.0,0.5,True,spatial_assignment
pg1_1,3,pg1_1_img003.jpg,8,8,pg_im,238.0,219.0,278.0,260.0,258.0,239.5,40.0,41.0,1640.0,0.0,True,spatial_assignment
pg1_1,3,pg1_1_img003.jpg,9,9,pg_im,307.0,173.0,349.0,218.0,328.0,195.5,42.0,45.0,1890.0,0.0,True,spatial_assignment
pg1_1,4,pg1_1_img004.jpg,0,0,pg_im,312.0,478.0,351.0,512.0,331.5,495.0,39.0,34.0,1326.0,0.0,True,spatial_assignment
pg1_1,4,pg1_1_img004.jpg,1,1,pg_im,218.0,389.0,266.0,427.0,242.0,408.0,48.0,38.0,1824.0,0.0,True,spatial_assignment
pg1_1,4,pg1_1_img004.jpg,2,2,pg_im,181.0,231.0,217.0,267.0,199.0,249.0,36.0,36.0,1296.0,0.0,True,spatial_assignment
pg1_1,4,pg1_1_img004.jpg,3,3,pg_im,417.0,187.0,461.0,228.0,439.0,207.5,44.0,41.0,1804.0,0.0,True,spatial_assignment
pg1_1,4,pg1_1_img004.jpg,4,4,pg_im,426.0,384.0,469.0,418.0,447.5,401.0,43.0,34.0,1462.0,0.0,True,spatial_assignment
pg1_1,4,pg1_1_img004.jpg,5,5,pg_im,473.0,311.0,512.0,345.0,492.5,328.0,39.0,34.0,1326.0,0.0,True,spatial_assignment
pg1_1,4,pg1_1_img004.jpg,6,6,pg_im,366.0,337.0,407.0,375.0,386.5,356.0,41.0,38.0,1558.0,0.0,True,spatial_assignment
pg1_1,4,pg1_1_img004.jpg,7,7,pg_im,331.0,262.0,371.0,296.0,351.0,279.0,40.0,34.0,1360.0,0.0,True,spatial_assignment
pg1_1,4,pg1_1_img004.jpg,8,8,pg_im,238.0,219.0,278.0,260.0,258.0,239.5,40.0,41.0,1640.0,0.0,True,spatial_assignment
pg1_1,4,pg1_1_img004.jpg,9,9,pg_im,307.0,173.0,349.0,218.0,328.0,195.5,42.0,45.0,1890.0,0.0,True,spatial_assignment
pg1_1,5,pg1_1_img005.jpg,0,0,pg_im,312.0,478.0,351.0,512.0,331.5,495.0,39.0,34.0,1326.0,0.0,True,spatial_assignment
pg1_1,5,pg1_1_img005.jpg,1,1,pg_im,218.0,388.0,266.0,428.0,242.0,408.0,48.0,40.0,1920.0,0.0,True,spatial_assignment
pg1_1,5,pg1_1_img005.jpg,2,2,pg_im,181.0,231.0,217.0,267.0,199.0,249.0,36.0,36.0,1296.0,0.0,True,spatial_assignment
pg1_1,5,pg1_1_img005.jpg,3,3,pg_im,417.0,187.0,461.0,228.0,439.0,207.5,44.0,41.0,1804.0,0.0,True,spatial_assignment
pg1_1,5,pg1_1_img005.jpg,4,4,pg_im,426.0,384.0,469.0,418.0,447.5,401.0,43.0,34.0,1462.0,0.0,True,spatial_assignment
pg1_1,5,pg1_1_img005.jpg,5,5,pg_im,473.0,311.0,512.0,345.0,492.5,328.0,39.0,34.0,1326.0,0.0,True,spatial_assignment
pg1_1,5,pg1_1_img005.jpg,6,6,pg_im,366.0,337.0,407.0,375.0,386.5,356.0,41.0,38.0,1558.0,0.0,True,spatial_assignment
pg1_1,5,pg1_1_img005.jpg,7,7,pg_im,331.0,262.0,371.0,296.0,351.0,279.0,40.0,34.0,1360.0,0.0,True,spatial_assignment
pg1_1,5,pg1_1_img005.jpg,8,8,pg_im,238.0,219.0,278.0,260.0,258.0,239.5,40.0,41.0,1640.0,0.0,True,spatial_assignment
pg1_1,5,pg1_1_img005.jpg,9,9,pg_im,307.0,173.0,349.0,218.0,328.0,195.5,42.0,45.0,1890.0,0.0,True,spatial_assignment
pg1_1,6,pg1_1_img006.jpg,0,0,pg_im,312.0,478.0,351.0,512.0,331.5,495.0,39.0,34.0,1326.0,0.0,True,spatial_assignment
pg1_1,6,pg1_1_img006.jpg,1,1,pg_im,218.0,388.0,266.0,428.0,242.0,408.0,48.0,40.0,1920.0,0.0,True,spatial_assignment
pg1_1,6,pg1_1_img006.jpg,2,2,pg_im,181.0,230.0,217.0,266.0,199.0,248.0,36.0,36.0,1296.0,1.0,True,spatial_assignment
pg1_1,6,pg1_1_img006.jpg,3,3,pg_im,417.0,187.0,461.0,228.0,439.0,207.5,44.0,41.0,1804.0,0.0,True,spatial_assignment
pg1_1,6,pg1_1_img006.jpg,4,4,pg_im,426.0,384.0,469.0,418.0,447.5,401.0,43.0,34.0,1462.0,0.0,True,spatial_assignment
pg1_1,6,pg1_1_img006.jpg,5,5,pg_im,473.0,311.0,512.0,345.0,492.5,328.0,39.0,34.0,1326.0,0.0,True,spatial_assignment
pg1_1,6,pg1_1_img006.jpg,6,6,pg_im,366.0,337.0,407.0,375.0,386.5,356.0,41.0,38.0,1558.0,0.0,True,spatial_assignment
pg1_1,6,pg1_1_img006.jpg,7,7,pg_im,331.0,262.0,371.0,296.0,351.0,279.0,40.0,34.0,1360.0,0.0,True,spatial_assignment
pg1_1,6,pg1_1_img006.jpg,8,8,pg_im,237.0,219.0,278.0,260.0,257.5,239.5,41.0,41.0,1681.0,0.5,True,spatial_assignment
pg1_1,6,pg1_1_img006.jpg,9,9,pg_im,307.0,173.0,349.0,218.0,328.0,195.5,42.0,45.0,1890.0,0.0,True,spatial_assignment
pg1_1,7,pg1_1_img007.jpg,0,0,pg_im,312.0,478.0,351.0,512.0,331.5,495.0,39.0,34.0,1326.0,0.0,True,spatial_assignment
pg1_1,7,pg1_1_img007.jpg,1,1,pg_im,218.0,388.0,266.0,428.0,242.0,408.0,48.0,40.0,1920.0,0.0,True,spatial_assignment
pg1_1,7,pg1_1_img007.jpg,2,2,pg_im,181.0,230.0,217.0,266.0,199.0,248.0,36.0,36.0,1296.0,0.0,True,spatial_assignment
pg1_1,7,pg1_1_img007.jpg,3,3,pg_im,417.0,187.0,461.0,228.0,439.0,207.5,44.0,41.0,1804.0,0.0,True,spatial_assignment
pg1_1,7,pg1_1_img007.jpg,4,4,pg_im,426.0,384.0,469.0,418.0,447.5,401.0,43.0,34.0,1462.0,0.0,True,spatial_assignment
pg1_1,7,pg1_1_img007.jpg,5,5,pg_im,473.0,311.0,512.0,345.0,492.5,328.0,39.0,34.0,1326.0,0.0,True,spatial_assignment
pg1_1,7,pg1_1_img007.jpg,6,6,pg_im,366.0,337.0,407.0,375.0,386.5,356.0,41.0,38.0,1558.0,0.0,True,spatial_assignment
pg1_1,7,pg1_1_img007.jpg,7,7,pg_im,331.0,262.0,371.0,296.0,351.0,279.0,40.0,34.0,1360.0,0.0,True,spatial_assignment
pg1_1,7,pg1_1_img007.jpg,8,8,pg_im,237.0,219.0,278.0,261.0,257.5,240.0,41.0,42.0,1722.0,0.5,True,spatial_assignment
pg1_1,7,pg1_1_img007.jpg,9,9,pg_im,307.0,173.0,349.0,218.0,328.0,195.5,42.0,45.0,1890.0,0.0,True,spatial_assignment
pg1_1,8,pg1_1_img008.jpg,0,0,pg_im,312.0,478.0,351.0,512.0,331.5,495.0,39.0,34.0,1326.0,0.0,True,spatial_assignment
pg1_1,8,pg1_1_img008.jpg,1,1,pg_im,218.0,388.0,266.0,428.0,242.0,408.0,48.0,40.0,1920.0,0.0,True,spatial_assignment
pg1_1,8,pg1_1_img008.jpg,2,2,pg_im,181.0,230.0,217.0,266.0,199.0,248.0,36.0,36.0,1296.0,0.0,True,spatial_assignment
pg1_1,8,pg1_1_img008.jpg,3,3,pg_im,417.0,187.0,461.0,228.0,439.0,207.5,44.0,41.0,1804.0,0.0,True,spatial_assignment
pg1_1,8,pg1_1_img008.jpg,4,4,pg_im,426.0,384.0,469.0,418.0,447.5,401.0,43.0,34.0,1462.0,0.0,True,spatial_assignment
pg1_1,8,pg1_1_img008.jpg,5,5,pg_im,473.0,311.0,512.0,345.0,492.5,328.0,39.0,34.0,1326.0,0.0,True,spatial_assignment
pg1_1,8,pg1_1_img008.jpg,6,6,pg_im,366.0,337.0,407.0,375.0,386.5,356.0,41.0,38.0,1558.0,0.0,True,spatial_assignment
pg1_1,8,pg1_1_img008.jpg,7,7,pg_im,331.0,262.0,371.0,296.0,351.0,279.0,40.0,34.0,1360.0,0.0,True,spatial_assignment
pg1_1,8,pg1_1_img008.jpg,8,8,pg_im,237.0,219.0,278.0,261.0,257.5,240.0,41.0,42.0,1722.0,0.0,True,spatial_assignment
pg1_1,8,pg1_1_img008.jpg,9,9,pg_im,307.0,173.0,349.0,218.0,328.0,195.5,42.0,45.0,1890.0,0.0,True,spatial_assignment
pg1_1,9,pg1_1_img009.jpg,0,0,pg_im,312.0,478.0,351.0,512.0,331.5,495.0,39.0,34.0,1326.0,0.0,True,spatial_assignment
pg1_1,9,pg1_1_img009.jpg,1,1,pg_im,218.0,388.0,266.0,428.0,242.0,408.0,48.0,40.0,1920.0,0.0,True,spatial_assignment
pg1_1,9,pg1_1_img009.jpg,2,2,pg_im,181.0,230.0,217.0,266.0,199.0,248.0,36.0,36.0,1296.0,0.0,True,spatial_assignment
pg1_1,9,pg1_1_img009.jpg,3,3,pg_im,417.0,187.0,461.0,228.0,439.0,207.5,44.0,41.0,1804.0,0.0,True,spatial_assignment
pg1_1,9,pg1_1_img009.jpg,4,4,pg_im,426.0,384.0,469.0,418.0,447.5,401.0,43.0,34.0,1462.0,0.0,True,spatial_assignment
pg1_1,9,pg1_1_img009.jpg,5,5,pg_im,473.0,311.0,512.0,345.0,492.5,328.0,39.0,34.0,1326.0,0.0,True,spatial_assignment
pg1_1,9,pg1_1_img009.jpg,6,6,pg_im,366.0,337.0,407.0,375.0,386.5,356.0,41.0,38.0,1558.0,0.0,True,spatial_assignment
pg1_1,9,pg1_1_img009.jpg,7,7,pg_im,331.0,261.0,371.0,296.0,351.0,278.5,40.0,35.0,1400.0,0.5,True,spatial_assignment
pg1_1,9,pg1_1_img009.jpg,8,8,pg_im,237.0,219.0,278.0,261.0,257.5,240.0,41.0,42.0,1722.0,0.0,True,spatial_assignment
pg1_1,9,pg1_1_img009.jpg,9,9,pg_im,307.0,173.0,349.0,219.0,328.0,196.0,42.0,46.0,1932.0,0.5,True,spatial_assignment
pg1_1,10,pg1_1_img010.jpg,0,0,pg_im,312.0,478.0,351.0,512.0,331.5,495.0,39.0,34.0,1326.0,0.0,True,spatial_assignment
pg1_1,10,pg1_1_img010.jpg,1,1,pg_im,218.0,388.0,266.0,429.0,242.0,408.5,48.0,41.0,1968.0,0.5,True,spatial_assignment
pg1_1,10,pg1_1_img010.jpg,2,2,pg_im,181.0,229.0,217.0,265.0,199.0,247.0,36.0,36.0,1296.0,1.0,True,spatial_assignment
pg1_1,10,pg1_1_img010.jpg,3,3,pg_im,417.0,187.0,461.0,228.0,439.0,207.5,44.0,41.0,1804.0,0.0,True,spatial_assignment
pg1_1,10,pg1_1_img010.jpg,4,4,pg_im,426.0,384.0,469.0,418.0,447.5,401.0,43.0,34.0,1462.0,0.0,True,spatial_assignment
pg1_1,10,pg1_1_img010.jpg,5,5,pg_im,473.0,311.0,512.0,345.0,492.5,328.0,39.0,34.0,1326.0,0.0,True,spatial_assignment
pg1_1,10,pg1_1_img010.jpg,6,6,pg_im,366.0,337.0,407.0,375.0,386.5,356.0,41.0,38.0,1558.0,0.0,True,spatial_assignment
pg1_1,10,pg1_1_img010.jpg,7,7,pg_im,331.0,261.0,371.0,296.0,351.0,278.5,40.0,35.0,1400.0,0.0,True,spatial_assignment
