group,frame,track_id,previous_object_index,current_object_index,center_distance,object_index_preserved
pg7_12,85,7,7,7,38.56488039654732,True
pg3_1,74,3,3,3,20.554804791094465,True
pg3_2,79,8,8,8,17.00735135169495,True
pg3_4,68,7,7,7,17.0,True
pg7_8,79,0,0,0,14.9164338901763,True
pg1_6,59,7,7,7,14.705441169852742,True
pg6_3,56,3,3,3,14.317821063276352,True
pg4_8,52,7,7,7,14.142135623730953,True
pg3_2,78,7,7,7,13.583077707206124,True
pg2_2,47,9,9,9,13.536986370680884,True
pg3_10,46,9,9,9,13.209844813622906,True
pg2_2,78,2,2,2,13.038404810405298,True
pg2_12,53,6,6,6,12.776932339180638,True
pg7_8,55,7,7,7,12.589678312014172,True
pg3_1,75,5,5,5,12.5,True
pg6_12,76,4,4,4,12.349089035228468,True
pg2_1,71,0,0,0,12.16552506059644,True
pg5_6,38,7,7,7,12.041594578792296,True
pg7_8,66,6,6,6,12.010412149464312,True
pg1_7,72,6,6,6,11.704699910719626,True
pg1_10,79,6,6,6,11.672617529928752,True
pg3_9,91,4,4,4,11.5974135047432,True
pg5_3,85,6,6,6,11.543396380615196,True
pg7_8,49,3,3,3,11.543396380615196,True
pg1_6,61,9,9,9,10.700467279516348,True
pg6_3,51,7,7,7,10.51189802081432,True
pg3_3,65,6,6,6,10.5,True
pg6_9,41,7,7,7,10.307764064044152,True
pg1_2,70,3,3,3,10.124228365658292,True
pg2_1,96,8,8,8,10.124228365658292,True
pg3_1,55,2,2,2,10.04987562112089,True
pg3_9,84,7,7,7,10.012492197250394,True
