group,track_id,frame_count
pg1_1,0,97
pg1_1,1,97
pg1_1,2,97
pg1_1,3,97
pg1_1,4,97
pg1_1,5,97
pg1_1,6,97
pg1_1,7,97
pg1_1,8,97
pg1_1,9,97
pg1_10,0,97
pg1_10,1,97
pg1_10,2,97
pg1_10,3,97
pg1_10,4,97
pg1_10,5,97
pg1_10,6,97
pg1_10,7,97
pg1_10,8,97
pg1_10,9,97
pg1_11,0,97
pg1_11,1,97
pg1_11,2,97
pg1_11,3,97
pg1_11,4,97
pg1_11,5,97
pg1_11,6,97
pg1_11,7,97
pg1_11,8,97
pg1_11,9,97
pg1_12,0,97
pg1_12,1,97
pg1_12,2,97
pg1_12,3,97
pg1_12,4,97
pg1_12,5,97
pg1_12,6,97
pg1_12,7,97
pg1_12,8,97
pg1_12,9,97
pg1_2,0,97
pg1_2,1,97
pg1_2,2,97
pg1_2,3,97
pg1_2,4,97
pg1_2,5,97
pg1_2,6,97
pg1_2,7,97
pg1_2,8,97
pg1_2,9,97
pg1_3,0,97
pg1_3,1,97
pg1_3,2,97
pg1_3,3,97
pg1_3,4,97
pg1_3,5,97
pg1_3,6,97
pg1_3,7,97
pg1_3,8,97
pg1_3,9,97
pg1_4,0,97
pg1_4,1,97
pg1_4,2,97
pg1_4,3,97
pg1_4,4,97
pg1_4,5,97
pg1_4,6,97
pg1_4,7,97
pg1_4,8,97
pg1_4,9,97
pg1_5,0,97
pg1_5,1,97
pg1_5,2,97
pg1_5,3,97
pg1_5,4,97
pg1_5,5,97
pg1_5,6,97
pg1_5,7,97
pg1_5,8,97
pg1_5,9,97
pg1_6,0,97
pg1_6,1,97
pg1_6,2,97
pg1_6,3,97
pg1_6,4,97
pg1_6,5,97
pg1_6,6,97
pg1_6,7,97
pg1_6,8,97
pg1_6,9,97
pg1_7,0,97
pg1_7,1,97
pg1_7,2,97
pg1_7,3,97
pg1_7,4,97
pg1_7,5,97
pg1_7,6,97
pg1_7,7,97
pg1_7,8,97
pg1_7,9,97
pg1_8,0,97
pg1_8,1,97
pg1_8,2,97
pg1_8,3,97
pg1_8,4,97
pg1_8,5,97
pg1_8,6,97
pg1_8,7,97
pg1_8,8,97
pg1_8,9,97
pg1_9,0,97
pg1_9,1,97
pg1_9,2,97
pg1_9,3,97
pg1_9,4,97
pg1_9,5,97
pg1_9,6,97
pg1_9,7,97
pg1_9,8,97
pg1_9,9,97
pg2_1,0,97
pg2_1,1,97
pg2_1,2,97
pg2_1,3,97
pg2_1,4,97
pg2_1,5,97
pg2_1,6,97
pg2_1,7,97
pg2_1,8,97
pg2_1,9,97
pg2_10,0,97
pg2_10,1,97
pg2_10,2,97
pg2_10,3,97
pg2_10,4,97
pg2_10,5,97
pg2_10,6,97
pg2_10,7,97
pg2_10,8,97
pg2_10,9,97
pg2_11,0,97
pg2_11,1,97
pg2_11,2,97
pg2_11,3,97
pg2_11,4,97
pg2_11,5,97
pg2_11,6,97
pg2_11,7,97
pg2_11,8,97
pg2_11,9,97
pg2_12,0,97
pg2_12,1,97
pg2_12,2,97
pg2_12,3,97
pg2_12,4,97
pg2_12,5,97
pg2_12,6,97
pg2_12,7,97
pg2_12,8,97
pg2_12,9,97
pg2_2,0,97
pg2_2,1,97
pg2_2,2,97
pg2_2,3,97
pg2_2,4,97
pg2_2,5,97
pg2_2,6,97
pg2_2,7,97
pg2_2,8,97
pg2_2,9,97
pg2_3,0,97
pg2_3,1,97
pg2_3,2,97
pg2_3,3,97
pg2_3,4,97
pg2_3,5,97
pg2_3,6,97
pg2_3,7,97
pg2_3,8,97
pg2_3,9,97
pg2_4,0,97
pg2_4,1,97
pg2_4,2,97
pg2_4,3,97
pg2_4,4,97
pg2_4,5,97
pg2_4,6,97
pg2_4,7,97
pg2_4,8,97
pg2_4,9,97
pg2_5,0,97
pg2_5,1,97
pg2_5,2,97
pg2_5,3,97
pg2_5,4,97
pg2_5,5,97
pg2_5,6,97
pg2_5,7,97
pg2_5,8,97
pg2_5,9,97
pg2_6,0,97
pg2_6,1,97
pg2_6,2,97
pg2_6,3,97
pg2_6,4,97
pg2_6,5,97
pg2_6,6,97
pg2_6,7,97
pg2_6,8,97
pg2_6,9,97
pg2_7,0,97
pg2_7,1,97
pg2_7,2,97
pg2_7,3,97
pg2_7,4,97
pg2_7,5,97
pg2_7,6,97
pg2_7,7,97
pg2_7,8,97
pg2_7,9,97
pg2_8,0,97
pg2_8,1,97
pg2_8,2,97
pg2_8,3,97
pg2_8,4,97
pg2_8,5,97
pg2_8,6,97
pg2_8,7,97
pg2_8,8,97
pg2_8,9,97
pg2_9,0,97
pg2_9,1,97
pg2_9,2,97
pg2_9,3,97
pg2_9,4,97
pg2_9,5,97
pg2_9,6,97
pg2_9,7,97
pg2_9,8,97
pg2_9,9,97
pg3_1,0,97
pg3_1,1,97
pg3_1,2,97
pg3_1,3,97
pg3_1,4,97
pg3_1,5,97
pg3_1,6,97
pg3_1,7,97
pg3_1,8,97
pg3_1,9,97
pg3_10,0,97
pg3_10,1,97
pg3_10,2,97
pg3_10,3,97
pg3_10,4,97
pg3_10,5,97
pg3_10,6,97
pg3_10,7,97
pg3_10,8,97
pg3_10,9,97
pg3_11,0,97
pg3_11,1,97
pg3_11,2,97
pg3_11,3,97
pg3_11,4,97
pg3_11,5,97
pg3_11,6,97
pg3_11,7,97
pg3_11,8,97
pg3_11,9,97
pg3_12,0,97
pg3_12,1,97
pg3_12,2,97
pg3_12,3,97
pg3_12,4,97
pg3_12,5,97
pg3_12,6,97
pg3_12,7,97
pg3_12,8,97
pg3_12,9,97
pg3_2,0,97
pg3_2,1,97
pg3_2,2,97
pg3_2,3,97
pg3_2,4,97
pg3_2,5,97
pg3_2,6,97
pg3_2,7,97
