group,track_id,reversal_count,transition_sequence
pg1_1,3,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
pg1_4,2,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
pg1_8,1,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
pg1_8,9,2,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_im -> pg_im -> pg_el -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
pg1_9,3,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
pg2_1,3,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_im -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
pg2_1,6,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
pg2_11,3,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
pg2_11,8,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_el -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
pg2_2,1,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_el -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
