group,track_id,initial_class,final_class,germination_target,final_label,pg_el_observed,first_pg_el_frame,last_pg_el_frame,pg_el_count,pg_im_count,total_frames,transition_count
pg1_1,0,pg_im,pg_el,1,GERMINATED,True,26.0,97.0,72,25,97,1
pg1_1,1,pg_im,pg_el,1,GERMINATED,True,39.0,97.0,59,38,97,1
pg1_1,2,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_1,3,pg_im,pg_el,1,GERMINATED,True,57.0,97.0,40,57,97,3
pg1_1,4,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_1,5,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_1,6,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_1,7,pg_im,pg_el,1,GERMINATED,True,92.0,97.0,6,91,97,1
pg1_1,8,pg_im,pg_el,1,GERMINATED,True,40.0,97.0,58,39,97,1
pg1_1,9,pg_im,pg_el,1,GERMINATED,True,16.0,97.0,82,15,97,1
pg1_10,0,pg_im,pg_el,1,GERMINATED,True,55.0,97.0,43,54,97,1
pg1_10,1,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_10,2,pg_im,pg_el,1,GERMINATED,True,46.0,97.0,52,45,97,1
pg1_10,3,pg_im,pg_el,1,GERMINATED,True,16.0,97.0,82,15,97,1
pg1_10,4,pg_im,pg_el,1,GERMINATED,True,25.0,97.0,73,24,97,1
pg1_10,5,pg_im,pg_el,1,GERMINATED,True,21.0,97.0,77,20,97,1
pg1_10,6,pg_im,pg_el,1,GERMINATED,True,11.0,97.0,87,10,97,1
pg1_10,7,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_10,8,pg_im,pg_el,1,GERMINATED,True,25.0,97.0,73,24,97,1
pg1_10,9,pg_im,pg_el,1,GERMINATED,True,52.0,97.0,46,51,97,1
pg1_11,0,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_11,1,pg_im,pg_el,1,GERMINATED,True,48.0,97.0,50,47,97,1
pg1_11,2,pg_im,pg_el,1,GERMINATED,True,94.0,97.0,4,93,97,1
pg1_11,3,pg_im,pg_el,1,GERMINATED,True,22.0,97.0,76,21,97,1
pg1_11,4,pg_im,pg_el,1,GERMINATED,True,21.0,97.0,77,20,97,1
pg1_11,5,pg_im,pg_el,1,GERMINATED,True,23.0,97.0,75,22,97,1
pg1_11,6,pg_im,pg_el,1,GERMINATED,True,30.0,97.0,68,29,97,1
pg1_11,7,pg_im,pg_el,1,GERMINATED,True,15.0,97.0,83,14,97,1
pg1_11,8,pg_im,pg_el,1,GERMINATED,True,40.0,97.0,58,39,97,1
pg1_11,9,pg_im,pg_el,1,GERMINATED,True,24.0,97.0,74,23,97,1
pg1_12,0,pg_im,pg_el,1,GERMINATED,True,29.0,97.0,69,28,97,1
pg1_12,1,pg_im,pg_el,1,GERMINATED,True,16.0,97.0,82,15,97,1
pg1_12,2,pg_im,pg_el,1,GERMINATED,True,21.0,97.0,77,20,97,1
pg1_12,3,pg_im,pg_el,1,GERMINATED,True,36.0,97.0,62,35,97,1
pg1_12,4,pg_im,pg_el,1,GERMINATED,True,26.0,97.0,72,25,97,1
pg1_12,5,pg_im,pg_el,1,GERMINATED,True,14.0,97.0,84,13,97,1
pg1_12,6,pg_im,pg_el,1,GERMINATED,True,29.0,97.0,69,28,97,1
pg1_12,7,pg_im,pg_el,1,GERMINATED,True,27.0,97.0,71,26,97,1
pg1_12,8,pg_im,pg_el,1,GERMINATED,True,32.0,97.0,66,31,97,1
pg1_12,9,pg_im,pg_el,1,GERMINATED,True,18.0,97.0,80,17,97,1
pg1_2,0,pg_im,pg_el,1,GERMINATED,True,45.0,97.0,53,44,97,1
pg1_2,1,pg_im,pg_el,1,GERMINATED,True,69.0,97.0,29,68,97,1
pg1_2,2,pg_im,pg_el,1,GERMINATED,True,18.0,97.0,80,17,97,1
pg1_2,3,pg_im,pg_el,1,GERMINATED,True,35.0,97.0,63,34,97,1
