group,track_id,transition_count
pg1_1,0,1
pg1_1,1,1
pg1_1,2,0
pg1_1,3,3
pg1_1,4,0
pg1_1,5,0
pg1_1,6,0
pg1_1,7,1
pg1_1,8,1
pg1_1,9,1
pg1_10,0,1
pg1_10,1,0
pg1_10,2,1
pg1_10,3,1
pg1_10,4,1
pg1_10,5,1
pg1_10,6,1
pg1_10,7,0
pg1_10,8,1
pg1_10,9,1
pg1_11,0,0
pg1_11,1,1
pg1_11,2,1
pg1_11,3,1
pg1_11,4,1
pg1_11,5,1
pg1_11,6,1
pg1_11,7,1
pg1_11,8,1
pg1_11,9,1
pg1_12,0,1
pg1_12,1,1
pg1_12,2,1
pg1_12,3,1
pg1_12,4,1
pg1_12,5,1
pg1_12,6,1
pg1_12,7,1
pg1_12,8,1
pg1_12,9,1
pg1_2,0,1
pg1_2,1,1
pg1_2,2,1
pg1_2,3,1
pg1_2,4,1
pg1_2,5,1
pg1_2,6,1
pg1_2,7,1
pg1_2,8,1
pg1_2,9,1
pg1_3,0,0
pg1_3,1,0
pg1_3,2,0
pg1_3,3,1
pg1_3,4,1
pg1_3,5,1
pg1_3,6,1
pg1_3,7,1
pg1_3,8,1
pg1_3,9,1
pg1_4,0,1
pg1_4,1,1
pg1_4,2,3
pg1_4,3,1
pg1_4,4,1
pg1_4,5,0
pg1_4,6,1
pg1_4,7,0
pg1_4,8,1
pg1_4,9,1
pg1_5,0,1
pg1_5,1,0
pg1_5,2,0
pg1_5,3,0
pg1_5,4,0
pg1_5,5,1
pg1_5,6,1
pg1_5,7,1
pg1_5,8,1
pg1_5,9,1
pg1_6,0,1
pg1_6,1,0
pg1_6,2,0
pg1_6,3,0
pg1_6,4,1
pg1_6,5,1
pg1_6,6,1
pg1_6,7,1
pg1_6,8,1
pg1_6,9,1
pg1_7,0,1
pg1_7,1,1
pg1_7,2,1
pg1_7,3,1
pg1_7,4,1
pg1_7,5,1
pg1_7,6,1
pg1_7,7,1
pg1_7,8,1
pg1_7,9,1
pg1_8,0,1
pg1_8,1,3
pg1_8,2,1
pg1_8,3,0
pg1_8,4,1
pg1_8,5,0
pg1_8,6,0
pg1_8,7,0
pg1_8,8,1
pg1_8,9,5
pg1_9,0,1
pg1_9,1,1
pg1_9,2,1
pg1_9,3,3
pg1_9,4,1
pg1_9,5,1
pg1_9,6,1
pg1_9,7,1
pg1_9,8,1
pg1_9,9,1
pg2_1,0,1
pg2_1,1,0
pg2_1,2,1
pg2_1,3,3
pg2_1,4,1
pg2_1,5,1
pg2_1,6,3
pg2_1,7,1
pg2_1,8,1
pg2_1,9,1
pg2_10,0,0
pg2_10,1,0
pg2_10,2,0
pg2_10,3,1
pg2_10,4,1
pg2_10,5,1
pg2_10,6,1
pg2_10,7,1
pg2_10,8,1
pg2_10,9,1
pg2_11,0,0
pg2_11,1,1
pg2_11,2,1
pg2_11,3,3
pg2_11,4,1
pg2_11,5,1
pg2_11,6,1
pg2_11,7,1
pg2_11,8,3
pg2_11,9,1
pg2_12,0,0
pg2_12,1,0
pg2_12,2,0
pg2_12,3,1
pg2_12,4,0
pg2_12,5,0
pg2_12,6,1
pg2_12,7,1
pg2_12,8,1
pg2_12,9,1
pg2_2,0,0
pg2_2,1,3
pg2_2,2,1
pg2_2,3,1
pg2_2,4,1
pg2_2,5,1
pg2_2,6,1
pg2_2,7,1
pg2_2,8,1
pg2_2,9,1
pg2_3,0,1
pg2_3,1,1
pg2_3,2,1
pg2_3,3,1
pg2_3,4,1
pg2_3,5,1
pg2_3,6,1
pg2_3,7,1
pg2_3,8,1
pg2_3,9,1
pg2_4,0,0
pg2_4,1,1
pg2_4,2,1
pg2_4,3,1
pg2_4,4,1
pg2_4,5,1
pg2_4,6,3
pg2_4,7,1
pg2_4,8,1
pg2_4,9,1
pg2_5,0,0
pg2_5,1,1
pg2_5,2,1
pg2_5,3,1
pg2_5,4,1
pg2_5,5,1
pg2_5,6,0
pg2_5,7,1
pg2_5,8,1
pg2_5,9,1
pg2_6,0,0
pg2_6,1,1
pg2_6,2,1
pg2_6,3,1
pg2_6,4,1
pg2_6,5,1
pg2_6,6,3
pg2_6,7,1
pg2_6,8,1
pg2_6,9,1
pg2_7,0,0
pg2_7,1,3
pg2_7,2,0
