first_pg_el_frame,seed_count
3.0,2
4.0,1
8.0,3
9.0,1
10.0,1
11.0,7
12.0,8
13.0,11
14.0,19
15.0,17
16.0,23
17.0,17
18.0,28
19.0,21
20.0,20
21.0,24
22.0,25
23.0,17
24.0,34
25.0,26
26.0,29
27.0,31
28.0,27
29.0,27
30.0,20
31.0,33
32.0,15
33.0,17
34.0,14
35.0,15
36.0,15
37.0,17
38.0,11
39.0,15
40.0,11
41.0,9
42.0,6
43.0,4
44.0,4
45.0,6
46.0,4
47.0,3
48.0,5
49.0,2
50.0,5
51.0,2
52.0,3
53.0,4
54.0,3
55.0,3
56.0,2
57.0,3
58.0,2
59.0,3
61.0,2
62.0,1
63.0,2
64.0,3
65.0,2
66.0,5
69.0,3
74.0,1
75.0,1
78.0,2
80.0,1
81.0,1
82.0,1
83.0,1
84.0,1
85.0,2
86.0,1
89.0,1
92.0,1
94.0,1
