group,track_id,frame_count,initial_class,final_class,transition_count,first_pg_el_frame,has_pg_el,reversal_count,transition_sequence,final_label,germination_target
pg1_1,3,97,pg_im,pg_el,3,57.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg1_4,2,97,pg_im,pg_el,3,35.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg1_8,1,97,pg_im,pg_el,3,36.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg1_8,9,97,pg_im,pg_el,5,12.0,True,2,pg_im -> pg_el -> pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg1_9,3,97,pg_im,pg_el,3,45.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg2_1,3,97,pg_im,pg_el,3,26.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg2_1,6,97,pg_im,pg_el,3,14.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg2_11,3,97,pg_im,pg_el,3,66.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg2_11,8,97,pg_im,pg_el,3,18.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg2_2,1,97,pg_im,pg_el,3,41.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg2_4,6,97,pg_im,pg_el,3,21.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg2_6,6,97,pg_im,pg_el,3,27.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg2_7,1,97,pg_im,pg_el,3,80.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg2_8,5,97,pg_im,pg_el,3,18.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg2_8,6,97,pg_im,pg_el,3,16.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg2_9,5,97,pg_im,pg_el,3,36.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg2_9,6,97,pg_im,pg_el,3,30.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg3_1,1,97,pg_im,pg_el,3,31.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg3_2,3,97,pg_im,pg_el,3,30.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg3_7,7,97,pg_im,pg_el,3,17.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg3_9,2,97,pg_im,pg_el,3,44.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg4_1,6,97,pg_im,pg_el,3,34.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg4_10,1,97,pg_im,pg_el,3,37.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg4_10,3,97,pg_im,pg_el,3,25.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg4_11,5,97,pg_im,pg_el,3,13.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg4_11,7,97,pg_im,pg_el,3,24.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg4_12,9,97,pg_im,pg_el,3,11.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg4_3,6,97,pg_im,pg_el,3,31.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg4_4,4,97,pg_im,pg_el,3,18.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg4_8,8,97,pg_im,pg_el,3,17.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg4_9,4,97,pg_im,pg_el,3,29.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg5_12,9,97,pg_im,pg_el,3,28.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg5_3,1,97,pg_im,pg_el,3,33.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg5_6,1,97,pg_im,pg_el,3,35.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg5_6,6,97,pg_im,pg_el,3,29.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg5_8,3,97,pg_im,pg_el,3,42.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg5_8,8,97,pg_im,pg_el,3,29.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg6_12,4,97,pg_im,pg_el,3,31.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg6_12,7,97,pg_im,pg_el,3,20.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg6_8,5,97,pg_im,pg_el,3,23.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg6_9,4,97,pg_im,pg_el,3,25.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg7_11,2,97,pg_im,pg_el,3,58.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg7_11,4,97,pg_im,pg_el,3,27.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg7_12,4,97,pg_im,pg_el,3,42.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg8_1,6,97,pg_im,pg_el,3,38.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
pg8_1,11,97,pg_im,pg_el,3,4.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1
