group,track_id,frame_count,initial_class,final_class,transition_count,first_pg_el_frame,has_pg_el,reversal_count,transition_sequence,final_label,germination_target,rule_prediction
pg1_1,0,97,pg_im,pg_el,1,26.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_1,1,97,pg_im,pg_el,1,39.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_1,2,97,pg_im,pg_im,0,,False,0,pg_im,NON-GERMINATED,0,NON-GERMINATED
pg1_1,3,97,pg_im,pg_el,3,57.0,True,1,pg_im -> pg_el -> pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_1,4,97,pg_im,pg_im,0,,False,0,pg_im,NON-GERMINATED,0,NON-GERMINATED
pg1_1,5,97,pg_im,pg_im,0,,False,0,pg_im,NON-GERMINATED,0,NON-GERMINATED
pg1_1,6,97,pg_im,pg_im,0,,False,0,pg_im,NON-GERMINATED,0,NON-GERMINATED
pg1_1,7,97,pg_im,pg_el,1,92.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_1,8,97,pg_im,pg_el,1,40.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_1,9,97,pg_im,pg_el,1,16.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_10,0,97,pg_im,pg_el,1,55.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_10,1,97,pg_im,pg_im,0,,False,0,pg_im,NON-GERMINATED,0,NON-GERMINATED
pg1_10,2,97,pg_im,pg_el,1,46.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_10,3,97,pg_im,pg_el,1,16.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_10,4,97,pg_im,pg_el,1,25.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_10,5,97,pg_im,pg_el,1,21.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_10,6,97,pg_im,pg_el,1,11.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_10,7,97,pg_im,pg_im,0,,False,0,pg_im,NON-GERMINATED,0,NON-GERMINATED
pg1_10,8,97,pg_im,pg_el,1,25.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_10,9,97,pg_im,pg_el,1,52.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_11,0,97,pg_im,pg_im,0,,False,0,pg_im,NON-GERMINATED,0,NON-GERMINATED
pg1_11,1,97,pg_im,pg_el,1,48.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_11,2,97,pg_im,pg_el,1,94.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_11,3,97,pg_im,pg_el,1,22.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_11,4,97,pg_im,pg_el,1,21.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_11,5,97,pg_im,pg_el,1,23.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_11,6,97,pg_im,pg_el,1,30.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_11,7,97,pg_im,pg_el,1,15.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_11,8,97,pg_im,pg_el,1,40.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_11,9,97,pg_im,pg_el,1,24.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_12,0,97,pg_im,pg_el,1,29.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_12,1,97,pg_im,pg_el,1,16.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_12,2,97,pg_im,pg_el,1,21.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_12,3,97,pg_im,pg_el,1,36.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_12,4,97,pg_im,pg_el,1,26.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_12,5,97,pg_im,pg_el,1,14.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_12,6,97,pg_im,pg_el,1,29.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_12,7,97,pg_im,pg_el,1,27.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_12,8,97,pg_im,pg_el,1,32.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_12,9,97,pg_im,pg_el,1,18.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_2,0,97,pg_im,pg_el,1,45.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_2,1,97,pg_im,pg_el,1,69.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_2,2,97,pg_im,pg_el,1,18.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
pg1_2,3,97,pg_im,pg_el,1,35.0,True,0,pg_im -> pg_el,GERMINATED,1,GERMINATED
