group,track_id,germination_target,final_label,reversal_count,first_pg_el_frame,pg_el_count,pg_el_fraction,longest_pg_el_run,final_pg_el_run,first_pg_el_persistence
pg1_1,3,1,GERMINATED,1,57.0,40,0.41237113402061853,39,39,1
pg1_4,2,1,GERMINATED,1,35.0,62,0.6391752577319587,61,61,1
pg1_8,1,1,GERMINATED,1,36.0,61,0.6288659793814433,60,60,1
pg1_8,9,1,GERMINATED,2,12.0,83,0.8556701030927835,81,81,1
pg1_9,3,1,GERMINATED,1,45.0,52,0.5360824742268041,51,51,1
pg2_1,3,1,GERMINATED,1,26.0,70,0.7216494845360825,69,69,1
pg2_1,6,1,GERMINATED,1,14.0,83,0.8556701030927835,79,79,4
pg2_11,3,1,GERMINATED,1,66.0,31,0.31958762886597936,30,30,1
pg2_11,8,1,GERMINATED,1,18.0,79,0.8144329896907216,77,77,2
pg2_2,1,1,GERMINATED,1,41.0,56,0.5773195876288659,54,54,2
pg2_4,6,1,GERMINATED,1,21.0,76,0.7835051546391752,75,75,1
pg2_6,6,1,GERMINATED,1,27.0,70,0.7216494845360825,69,69,1
pg2_7,1,1,GERMINATED,1,80.0,17,0.17525773195876287,16,16,1
pg2_8,5,1,GERMINATED,1,18.0,79,0.8144329896907216,78,78,1
pg2_8,6,1,GERMINATED,1,16.0,81,0.8350515463917526,80,80,1
pg2_9,5,1,GERMINATED,1,36.0,59,0.6082474226804123,58,58,1
pg2_9,6,1,GERMINATED,1,30.0,67,0.6907216494845361,66,66,1
pg3_1,1,1,GERMINATED,1,31.0,62,0.6391752577319587,61,61,1
pg3_2,3,1,GERMINATED,1,30.0,66,0.6804123711340206,65,65,1
pg3_7,7,1,GERMINATED,1,17.0,80,0.8247422680412371,74,74,6
pg3_9,2,1,GERMINATED,1,44.0,53,0.5463917525773195,52,52,1
pg4_1,6,1,GERMINATED,1,34.0,63,0.6494845360824743,62,62,1
pg4_10,1,1,GERMINATED,1,37.0,59,0.6082474226804123,58,58,1
pg4_10,3,1,GERMINATED,1,25.0,71,0.7319587628865979,70,70,1
pg4_11,5,1,GERMINATED,1,13.0,84,0.865979381443299,83,83,1
pg4_11,7,1,GERMINATED,1,24.0,72,0.7422680412371134,71,71,1
pg4_12,9,1,GERMINATED,1,11.0,86,0.8865979381443299,85,85,1
pg4_3,6,1,GERMINATED,1,31.0,66,0.6804123711340206,65,65,1
pg4_4,4,1,GERMINATED,1,18.0,78,0.8041237113402062,77,77,1
pg4_8,8,1,GERMINATED,1,17.0,80,0.8247422680412371,79,79,1
pg4_9,4,1,GERMINATED,1,29.0,68,0.7010309278350515,67,67,1
pg5_12,9,1,GERMINATED,1,28.0,69,0.711340206185567,68,68,1
pg5_3,1,1,GERMINATED,1,33.0,64,0.6597938144329897,63,63,1
pg5_6,1,1,GERMINATED,1,35.0,61,0.6288659793814433,60,60,1
pg5_6,6,1,GERMINATED,1,29.0,68,0.7010309278350515,67,67,1
pg5_8,3,1,GERMINATED,1,42.0,55,0.5670103092783505,54,54,1
pg5_8,8,1,GERMINATED,1,29.0,68,0.7010309278350515,67,67,1
pg6_12,4,1,GERMINATED,1,31.0,66,0.6804123711340206,65,65,1
pg6_12,7,1,GERMINATED,1,20.0,77,0.7938144329896907,76,76,1
pg6_8,5,1,GERMINATED,1,23.0,74,0.7628865979381443,73,73,1
pg6_9,4,1,GERMINATED,1,25.0,72,0.7422680412371134,71,71,1
pg7_11,2,1,GERMINATED,1,58.0,39,0.4020618556701031,38,38,1
pg7_11,4,1,GERMINATED,1,27.0,70,0.7216494845360825,69,69,1
pg7_12,4,1,GERMINATED,1,42.0,54,0.5567010309278351,53,53,1
pg8_1,6,1,GERMINATED,1,38.0,58,0.5979381443298969,56,56,2
pg8_1,11,1,GERMINATED,1,4.0,90,0.9278350515463918,86,86,4
