label,feature,count,mean,median,min,max,std
GERMINATED,pg_el_count,708,68.09322033898304,71.0,4.0,95.0,14.131422321490746
GERMINATED,pg_el_fraction,708,0.7019919622575572,0.7319587628865979,0.041237113402061855,0.979381443298969,0.14568476620093565
GERMINATED,longest_pg_el_run,708,68.00706214689265,71.0,4.0,95.0,14.129276070492374
GERMINATED,final_pg_el_run,708,68.00706214689265,71.0,4.0,95.0,14.129276070492374
GERMINATED,first_pg_el_persistence,708,63.88559322033898,70.0,1.0,95.0,21.415659152402764
GERMINATED,pg_el_run_count,708,1.0663841807909604,1.0,1.0,3.0,0.2547426898893985
NON-GERMINATED,pg_el_count,116,0.0,0.0,0.0,0.0,0.0
NON-GERMINATED,pg_el_fraction,116,0.0,0.0,0.0,0.0,0.0
NON-GERMINATED,longest_pg_el_run,116,0.0,0.0,0.0,0.0,0.0
NON-GERMINATED,final_pg_el_run,116,0.0,0.0,0.0,0.0,0.0
NON-GERMINATED,first_pg_el_persistence,116,0.0,0.0,0.0,0.0,0.0
NON-GERMINATED,pg_el_run_count,116,0.0,0.0,0.0,0.0,0.0
