rule,criterion,accuracy,precision,recall,f1,tp,tn,fp,fn
LONGEST_RUN_2,longest_pg_el_run >= 2,1.0,1.0,1.0,1.0,708,116,0,0
LONGEST_RUN_3,longest_pg_el_run >= 3,1.0,1.0,1.0,1.0,708,116,0,0
FINAL_RUN_2,final_pg_el_run >= 2,1.0,1.0,1.0,1.0,708,116,0,0
FINAL_RUN_3,final_pg_el_run >= 3,1.0,1.0,1.0,1.0,708,116,0,0
LONGEST_RUN_5,longest_pg_el_run >= 5,0.9987864077669902,1.0,0.998587570621469,0.9992932862190813,707,116,0,1
FINAL_RUN_5,final_pg_el_run >= 5,0.9987864077669902,1.0,0.998587570621469,0.9992932862190813,707,116,0,1
FRACTION_0.05,pg_el_fraction >= 0.05,0.9987864077669902,1.0,0.998587570621469,0.9992932862190813,707,116,0,1
PG_EL_BY_FRAME_90,first_pg_el_frame <= 90,0.9975728155339806,1.0,0.9971751412429378,0.9985855728429986,706,116,0,2
LONGEST_RUN_10,longest_pg_el_run >= 10,0.9963592233009708,1.0,0.9957627118644068,0.9978768577494692,705,116,0,3
FINAL_RUN_10,final_pg_el_run >= 10,0.9963592233009708,1.0,0.9957627118644068,0.9978768577494692,705,116,0,3
FRACTION_0.10,pg_el_fraction >= 0.10,0.9963592233009708,1.0,0.9957627118644068,0.9978768577494692,705,116,0,3
PG_EL_BY_FRAME_84,first_pg_el_frame <= 84,0.9927184466019418,1.0,0.9915254237288136,0.9957446808510638,702,116,0,6
LONGEST_RUN_15,longest_pg_el_run >= 15,0.991504854368932,1.0,0.9901129943502824,0.9950319375443577,701,116,0,7
FINAL_RUN_15,final_pg_el_run >= 15,0.991504854368932,1.0,0.9901129943502824,0.9950319375443577,701,116,0,7
FRACTION_0.15,pg_el_fraction >= 0.15,0.991504854368932,1.0,0.9901129943502824,0.9950319375443577,701,116,0,7
LONGEST_RUN_20,longest_pg_el_run >= 20,0.9866504854368932,1.0,0.9844632768361582,0.9921708185053381,697,116,0,11
FINAL_RUN_20,final_pg_el_run >= 20,0.9866504854368932,1.0,0.9844632768361582,0.9921708185053381,697,116,0,11
FRACTION_0.20,pg_el_fraction >= 0.20,0.9866504854368932,1.0,0.9844632768361582,0.9921708185053381,697,116,0,11
LONGEST_RUN_25,longest_pg_el_run >= 25,0.9817961165048543,1.0,0.9788135593220338,0.9892933618843683,693,116,0,15
FINAL_RUN_25,final_pg_el_run >= 25,0.9817961165048543,1.0,0.9788135593220338,0.9892933618843683,693,116,0,15
FRACTION_0.25,pg_el_fraction >= 0.25,0.9817961165048543,1.0,0.9788135593220338,0.9892933618843683,693,116,0,15
PG_EL_BY_FRAME_72,first_pg_el_frame <= 72,0.9817961165048543,1.0,0.9788135593220338,0.9892933618843683,693,116,0,15
LONGEST_RUN_30,longest_pg_el_run >= 30,0.9781553398058253,1.0,0.9745762711864406,0.9871244635193133,690,116,0,18
FINAL_RUN_30,final_pg_el_run >= 30,0.9781553398058253,1.0,0.9745762711864406,0.9871244635193133,690,116,0,18
FRACTION_0.30,pg_el_fraction >= 0.30,0.9781553398058253,1.0,0.9745762711864406,0.9871244635193133,690,116,0,18
FRACTION_0.40,pg_el_fraction >= 0.40,0.9599514563106796,1.0,0.9533898305084746,0.9761388286334057,675,116,0,33
PG_EL_BY_FRAME_60,first_pg_el_frame <= 60,0.9599514563106796,1.0,0.9533898305084746,0.9761388286334057,675,116,0,33
FIRST_PERSISTENCE_2,first_pg_el_persistence >= 2,0.9514563106796117,1.0,0.943502824858757,0.9709302325581396,668,116,0,40
FIRST_PERSISTENCE_3,first_pg_el_persistence >= 3,0.9478155339805825,1.0,0.9392655367231638,0.9686817188638018,665,116,0,43
FIRST_PERSISTENCE_5,first_pg_el_persistence >= 5,0.9441747572815534,1.0,0.9350282485875706,0.9664233576642336,662,116,0,46
FIRST_PERSISTENCE_10,first_pg_el_persistence >= 10,0.9405339805825242,1.0,0.9307909604519774,0.964155084125823,659,116,0,49
FIRST_PERSISTENCE_15,first_pg_el_persistence >= 15,0.9356796116504854,1.0,0.9251412429378532,0.9611151870873075,655,116,0,53
FIRST_PERSISTENCE_20,first_pg_el_persistence >= 20,0.9320388349514563,1.0,0.9209039548022598,0.9588235294117646,652,116,0,56
FRACTION_0.50,pg_el_fraction >= 0.50,0.9235436893203883,1.0,0.9110169491525424,0.9534368070953437,645,116,0,63
PG_EL_BY_FRAME_48,first_pg_el_frame <= 48,0.9211165048543689,1.0,0.9081920903954802,0.9518874907475944,643,116,0,65
FRACTION_0.60,pg_el_fraction >= 0.60,0.8567961165048543,1.0,0.8333333333333334,0.9090909090909091,590,116,0,118
PG_EL_BY_FRAME_36,first_pg_el_frame <= 36,0.8058252427184466,1.0,0.7740112994350282,0.8726114649681529,548,116,0,160
FRACTION_0.70,pg_el_fraction >= 0.70,0.6711165048543689,1.0,0.617231638418079,0.7633187772925764,437,116,0,271
PG_EL_BY_FRAME_24,first_pg_el_frame <= 24,0.47936893203883496,1.0,0.3940677966101695,0.5653495440729484,279,116,0,429
FRACTION_0.80,pg_el_fraction >= 0.80,0.3567961165048544,1.0,0.2514124293785311,0.4018058690744921,178,116,0,530
PG_EL_BY_FRAME_12,first_pg_el_frame <= 12,0.16868932038834952,1.0,0.03248587570621469,0.06292749658002736,23,116,0,685
FRACTION_0.90,pg_el_fraction >= 0.90,0.15048543689320387,1.0,0.011299435028248588,0.0223463687150838,8,116,0,700
