group,track_id,longest_pg_el_run,pg_el_count,total_frames,event_rule_prediction,germination_target,final_label
pg1_1,0,72,72,97,GERMINATED,1,GERMINATED
pg1_1,1,59,59,97,GERMINATED,1,GERMINATED
pg1_1,2,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg1_1,3,39,40,97,GERMINATED,1,GERMINATED
pg1_1,4,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg1_1,5,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg1_1,6,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg1_1,7,6,6,97,GERMINATED,1,GERMINATED
pg1_1,8,58,58,97,GERMINATED,1,GERMINATED
pg1_1,9,82,82,97,GERMINATED,1,GERMINATED
pg1_10,0,43,43,97,GERMINATED,1,GERMINATED
pg1_10,1,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg1_10,2,52,52,97,GERMINATED,1,GERMINATED
pg1_10,3,82,82,97,GERMINATED,1,GERMINATED
pg1_10,4,73,73,97,GERMINATED,1,GERMINATED
pg1_10,5,77,77,97,GERMINATED,1,GERMINATED
pg1_10,6,87,87,97,GERMINATED,1,GERMINATED
pg1_10,7,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg1_10,8,73,73,97,GERMINATED,1,GERMINATED
pg1_10,9,46,46,97,GERMINATED,1,GERMINATED
pg1_11,0,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg1_11,1,50,50,97,GERMINATED,1,GERMINATED
pg1_11,2,4,4,97,GERMINATED,1,GERMINATED
pg1_11,3,76,76,97,GERMINATED,1,GERMINATED
pg1_11,4,77,77,97,GERMINATED,1,GERMINATED
pg1_11,5,75,75,97,GERMINATED,1,GERMINATED
pg1_11,6,68,68,97,GERMINATED,1,GERMINATED
pg1_11,7,83,83,97,GERMINATED,1,GERMINATED
pg1_11,8,58,58,97,GERMINATED,1,GERMINATED
pg1_11,9,74,74,97,GERMINATED,1,GERMINATED
pg1_12,0,69,69,97,GERMINATED,1,GERMINATED
pg1_12,1,82,82,97,GERMINATED,1,GERMINATED
pg1_12,2,77,77,97,GERMINATED,1,GERMINATED
pg1_12,3,62,62,97,GERMINATED,1,GERMINATED
pg1_12,4,72,72,97,GERMINATED,1,GERMINATED
pg1_12,5,84,84,97,GERMINATED,1,GERMINATED
pg1_12,6,69,69,97,GERMINATED,1,GERMINATED
pg1_12,7,71,71,97,GERMINATED,1,GERMINATED
pg1_12,8,66,66,97,GERMINATED,1,GERMINATED
pg1_12,9,80,80,97,GERMINATED,1,GERMINATED
pg1_2,0,53,53,97,GERMINATED,1,GERMINATED
pg1_2,1,29,29,97,GERMINATED,1,GERMINATED
pg1_2,2,80,80,97,GERMINATED,1,GERMINATED
pg1_2,3,63,63,97,GERMINATED,1,GERMINATED
pg1_2,4,45,45,97,GERMINATED,1,GERMINATED
pg1_2,5,74,74,97,GERMINATED,1,GERMINATED
pg1_2,6,73,73,97,GERMINATED,1,GERMINATED
pg1_2,7,77,77,97,GERMINATED,1,GERMINATED
pg1_2,8,44,44,97,GERMINATED,1,GERMINATED
pg1_2,9,83,83,97,GERMINATED,1,GERMINATED
pg1_3,0,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg1_3,1,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg1_3,2,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg1_3,3,69,69,97,GERMINATED,1,GERMINATED
pg1_3,4,67,67,97,GERMINATED,1,GERMINATED
pg1_3,5,64,64,97,GERMINATED,1,GERMINATED
pg1_3,6,71,71,97,GERMINATED,1,GERMINATED
pg1_3,7,80,80,97,GERMINATED,1,GERMINATED
pg1_3,8,77,77,97,GERMINATED,1,GERMINATED
pg1_3,9,86,86,97,GERMINATED,1,GERMINATED
pg1_4,0,70,70,97,GERMINATED,1,GERMINATED
pg1_4,1,60,60,97,GERMINATED,1,GERMINATED
pg1_4,2,61,62,97,GERMINATED,1,GERMINATED
pg1_4,3,69,69,97,GERMINATED,1,GERMINATED
pg1_4,4,67,67,97,GERMINATED,1,GERMINATED
pg1_4,5,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg1_4,6,13,13,97,GERMINATED,1,GERMINATED
pg1_4,7,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg1_4,8,72,72,97,GERMINATED,1,GERMINATED
pg1_4,9,62,62,97,GERMINATED,1,GERMINATED
pg1_5,0,72,72,97,GERMINATED,1,GERMINATED
pg1_5,1,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg1_5,2,0,0,97,NON-GERMINATED,0,NON-GERMINATED
