,count,mean,std,min,25%,50%,75%,max,missing,unique
mean_movement,824.0,0.5429089393360074,0.39385674835939855,0.0,0.17506047932400493,0.48937365671618666,0.8477430882296746,1.729618679535383,0,789
median_movement,824.0,0.3824080908382148,0.40946252070283656,0.0,0.0,0.5,0.5,1.9013878188659972,0,19
max_movement,824.0,4.342530461713964,2.834726859707288,0.0,2.549509756796392,3.605551275463989,5.315072906367325,38.56488039654732,0,145
movement_std,824.0,0.7052119558401099,0.36274716944374885,0.0,0.4504353594573159,0.6417971645785571,0.9194055161195296,3.956012464832519,0,807
std_center_x,824.0,6.221720626433448,6.954755660554263,0.0,1.225333017185779,3.629711816537573,8.785721256322967,36.54245394864442,0,785
std_center_y,824.0,5.803490295504266,6.460794856838373,0.0,1.127611875432591,3.664489039208516,8.065434938707298,35.40130456292744,0,795
range_center_x,824.0,22.469053398058254,22.752537435079425,0.0,5.5,13.5,32.125,116.5,0,161
range_center_y,824.0,21.030339805825243,21.58860184573167,0.0,5.0,13.5,30.5,118.5,0,157
max_center_x,824.0,316.56856796116506,97.65749578750977,83.0,238.5,320.5,391.125,540.5,0,482
max_center_y,824.0,317.8944174757282,99.57907043610652,80.5,239.75,320.25,398.5,561.0,0,502
mean_width,824.0,52.63459613652287,17.036940913912236,27.010309278350515,39.95876288659794,48.05154639175258,60.329896907216494,126.74226804123712,0,736
std_width,824.0,17.648544115034348,19.20769909276183,0.0,2.2148374485204814,10.53914816175273,27.71703214790476,92.7107744723494,0,761
min_width,824.0,36.987864077669904,4.150550570393737,26.0,34.0,37.0,39.0,51.0,0,26
max_width,824.0,94.29733009708738,60.303265117831394,28.0,45.0,73.0,131.0,326.0,0,199
width_change,824.0,55.547330097087375,59.58277530591009,-9.0,6.0,34.5,88.25,290.0,0,209
mean_height,824.0,50.57830797717946,16.189218474740336,27.02061855670103,38.108247422680414,45.845360824742265,59.881443298969074,125.8659793814433,0,725
std_height,824.0,17.246053336494906,18.085072115388748,0.0,2.3336006718566273,10.818053835439729,27.311067203027555,107.64341944500838,0,761
min_height,824.0,34.84830097087379,3.8254817470528186,24.0,32.0,35.0,37.0,46.0,0,22
max_height,824.0,90.84101941747574,57.39484201641765,28.0,43.0,70.0,126.0,383.0,0,202
height_change,824.0,54.26820388349515,57.172371873484785,-11.0,7.0,35.0,89.0,349.0,0,201
mean_area,824.0,3222.4106821139026,2166.602882395494,810.3298969072165,1589.3324742268042,2401.01030927835,4280.649484536082,16334.639175257733,0,822
std_area,824.0,2492.463394751893,2902.275508511509,0.0,167.68668959945379,1396.4492780071614,3915.4489937079206,20500.400695699547,0,804
min_area,824.0,1310.4308252427184,210.71593536227854,720.0,1170.0,1295.0,1440.0,2200.0,0,183
max_area,824.0,10123.878640776698,10324.802086656764,840.0,1978.0,6289.5,15459.75,67295.0,0,691
area_change,824.0,8663.582524271844,10120.308554696845,-807.0,495.75,4893.0,14144.25,66287.0,0,750
mean_iou,824.0,0.9769536200078961,0.013304697736362702,0.9455378182992707,0.9660265075329821,0.9750398593212692,0.9897046180493758,1.0,0,822
std_iou,824.0,0.03393630646473892,0.01225806013912358,0.0,0.02621658274944435,0.03291853712181425,0.040244125912878126,0.0901363692371458,0,823
min_iou,824.0,0.7686650555835981,0.1052739875317117,0.1653614681625678,0.7044705843205111,0.7854589218080776,0.8436024560736445,1.0,0,760
class_transition_count,824.0,0.9733009708737864,0.615131812089494,0.0,1.0,1.0,1.0,5.0,0,4
pg_el_count,824.0,58.50728155339806,27.075430306062,0.0,55.0,69.0,76.0,95.0,0,74
observed_pg_el,824.0,0.8592233009708737,0.3480022885649442,0.0,1.0,1.0,1.0,1.0,0,2
first_pg_el_frame,824.0,25.616504854368934,16.708886741883035,0.0,16.0,25.0,33.0,94.0,0,75
last_pg_el_frame,824.0,83.34466019417475,33.756221990800086,0.0,97.0,97.0,97.0,97.0,0,2
longest_pg_el_run,824.0,58.43325242718446,27.048229479264172,0.0,54.75,69.0,76.0,95.0,0,75
early_mean_width,824.0,38.653026395631066,4.249275453497249,27.03125,35.765625,38.390625,41.4609375,53.15625,0,401
early_mean_height,824.0,36.554763349514566,4.017379216058328,26.71875,33.765625,36.4375,39.1328125,50.90625,0,393
early_mean_area,824.0,1414.9741732402913,231.46383337059987,811.0,1253.8203125,1400.8125,1548.234375,2302.5625,0,803
early_pg_el_count,824.0,6.114077669902913,6.880800475755401,0.0,0.0,4.0,11.0,30.0,0,27
middle_mean_width,824.0,44.74355279126213,9.592820097781798,27.0,38.0859375,42.734375,48.7890625,93.75,0,509
middle_mean_height,824.0,43.230847997572816,9.872942601572335,27.0,36.3984375,41.0625,47.3125,105.1875,0,504
middle_mean_area,824.0,2005.794864987864,813.7536715053756,810.0,1460.734375,1779.265625,2329.4375,8542.90625,0,784
middle_pg_el_count,824.0,24.390776699029125,12.337210697895596,0.0,22.0,32.0,32.0,32.0,0,32
late_mean_width,824.0,73.84440276551928,40.854988697398824,27.0,42.128787878787875,59.5,94.06060606060606,240.9090909090909,0,653
late_mean_height,824.0,71.30170638423066,38.449502314010665,27.0,40.54545454545455,57.984848484848484,92.48484848484847,257.0,0,636
late_mean_area,824.0,6154.8250588408355,5623.795151233595,810.0,1748.712121212121,4155.10606060606,8974.931818181818,40910.24242424242,0,788
late_pg_el_count,824.0,28.00242718446602,11.623497963853648,0.0,33.0,33.0,33.0,33.0,0,17
