feature,pearson_target_correlation,absolute_pearson,point_biserial_correlation,absolute_point_biserial
observed_pg_el,1.0,1.0,1.0,1.0
last_pg_el_frame,0.9999999999999962,0.9999999999999962,1.0,1.0
late_pg_el_count,0.9757417472455122,0.9757417472455122,0.9757417472455193,0.9757417472455193
pg_el_count,0.8752066447644908,0.8752066447644908,0.8752066447644934,0.8752066447644934
longest_pg_el_run,0.8749782784799544,0.8749782784799544,0.8749782784799545,0.8749782784799545
middle_pg_el_count,0.8007274232005221,0.8007274232005221,0.8007274232005219,0.8007274232005219
class_transition_count,0.6408479849309492,0.6408479849309492,0.6408479849309527,0.6408479849309527
first_pg_el_frame,0.6209382488857175,0.6209382488857175,0.620938248885718,0.620938248885718
mean_iou,-0.5609897264710246,0.5609897264710246,-0.5609897264710255,0.5609897264710255
mean_movement,0.4709514859903765,0.4709514859903765,0.4709514859903769,0.4709514859903769
std_iou,0.3932303962817534,0.3932303962817534,0.3932303962817536,0.3932303962817536
movement_std,0.37010099354463694,0.37010099354463694,0.3701009935446371,0.3701009935446371
height_change,0.3678347612288663,0.3678347612288663,0.3678347612288667,0.3678347612288667
max_width,0.3665921680857742,0.3665921680857742,0.3665921680857747,0.3665921680857747
max_height,0.3657061466017042,0.3657061466017042,0.3657061466017046,0.3657061466017046
width_change,0.36475489624981894,0.36475489624981894,0.36475489624981916,0.36475489624981916
early_pg_el_count,0.3598885592578276,0.3598885592578276,0.3598885592578273,0.3598885592578273
median_movement,0.3587465253620319,0.3587465253620319,0.35874652536203244,0.35874652536203244
std_height,0.3583341033070824,0.3583341033070824,0.3583341033070827,0.3583341033070827
late_mean_height,0.35823178315635545,0.35823178315635545,0.35823178315635584,0.35823178315635584
mean_width,0.35466740158924104,0.35466740158924104,0.3546674015892414,0.3546674015892414
mean_height,0.3536454737070752,0.3536454737070752,0.35364547370707566,0.35364547370707566
late_mean_width,0.3532982195883412,0.3532982195883412,0.3532982195883414,0.3532982195883414
std_width,0.3516497587298687,0.3516497587298687,0.35164975872986903,0.35164975872986903
mean_area,0.33730749223126105,0.33730749223126105,0.33730749223126105,0.33730749223126105
range_center_x,0.3358280412182565,0.3358280412182565,0.3358280412182566,0.3358280412182566
late_mean_area,0.3327896002850868,0.3327896002850868,0.3327896002850871,0.3327896002850871
area_change,0.332073930858451,0.332073930858451,0.3320739308584515,0.3320739308584515
std_area,0.3287204967508274,0.3287204967508274,0.3287204967508277,0.3287204967508277
max_area,0.3283173225682228,0.3283173225682228,0.3283173225682229,0.3283173225682229
std_center_x,0.32123256661762034,0.32123256661762034,0.32123256661762073,0.32123256661762073
range_center_y,0.3210393795370044,0.3210393795370044,0.32103937953700484,0.32103937953700484
middle_mean_area,0.3176238840105011,0.3176238840105011,0.31762388401050146,0.31762388401050146
std_center_y,0.3121254348227232,0.3121254348227232,0.3121254348227235,0.3121254348227235
middle_mean_width,0.3031011009711785,0.3031011009711785,0.30310110097117865,0.30310110097117865
middle_mean_height,0.29276443320986445,0.29276443320986445,0.2927644332098647,0.2927644332098647
max_movement,0.14689888371500467,0.14689888371500467,0.1468988837150047,0.1468988837150047
min_iou,-0.1356131680978227,0.1356131680978227,-0.13561316809782298,0.13561316809782298
early_mean_width,0.12320164917116952,0.12320164917116952,0.12320164917116964,0.12320164917116964
early_mean_area,0.1156907583759726,0.1156907583759726,0.11569075837597276,0.11569075837597276
min_width,0.07452603283776076,0.07452603283776076,0.0745260328377608,0.0745260328377608
min_area,0.07237705384690779,0.07237705384690779,0.07237705384690778,0.07237705384690778
early_mean_height,0.06470209544156155,0.06470209544156155,0.0647020954415616,0.0647020954415616
max_center_y,0.051411318382182325,0.051411318382182325,0.05141131838218237,0.05141131838218237
max_center_x,0.045833696386434045,0.045833696386434045,0.04583369638643411,0.04583369638643411
min_height,0.004018574252774771,0.004018574252774771,0.0040185742527747296,0.0040185742527747296
