feature_1,feature_2,correlation,absolute_correlation
observed_pg_el,last_pg_el_frame,0.9999999999999997,0.9999999999999997
pg_el_count,longest_pg_el_run,0.9999022135313544,0.9999022135313544
mean_area,late_mean_area,0.9965680650059753,0.9965680650059753
max_height,height_change,0.9946809990578395,0.9946809990578395
std_area,late_mean_area,0.9946546101540966,0.9946546101540966
std_height,late_mean_height,0.9908766951604322,0.9908766951604322
std_width,late_mean_width,0.9908718974096539,0.9908718974096539
max_width,width_change,0.9895776382526619,0.9895776382526619
mean_width,late_mean_width,0.9858353244353785,0.9858353244353785
mean_area,std_area,0.9854936844976919,0.9854936844976919
mean_height,late_mean_height,0.9844727342752277,0.9844727342752277
std_height,max_height,0.9831788337139709,0.9831788337139709
std_width,max_width,0.9829402782135616,0.9829402782135616
max_area,area_change,0.9821378606510086,0.9821378606510086
std_center_x,range_center_x,0.9813191532450044,0.9813191532450044
std_area,max_area,0.9811611137160751,0.9811611137160751
std_height,height_change,0.9810924237054957,0.9810924237054957
std_center_y,range_center_y,0.9791834363679798,0.9791834363679798
observed_pg_el,late_pg_el_count,0.97574174724552,0.97574174724552
last_pg_el_frame,late_pg_el_count,0.975741747245518,0.975741747245518
std_width,width_change,0.9751999171153789,0.9751999171153789
max_height,late_mean_height,0.9713293423740352,0.9713293423740352
max_width,late_mean_width,0.9698161997569278,0.9698161997569278
height_change,late_mean_height,0.9630038811883127,0.9630038811883127
max_area,late_mean_area,0.962206084374677,0.962206084374677
longest_pg_el_run,middle_pg_el_count,0.96053900270095,0.96053900270095
pg_el_count,middle_pg_el_count,0.9604512538391488,0.9604512538391488
std_area,area_change,0.9582159721961901,0.9582159721961901
mean_width,std_width,0.9572883807562811,0.9572883807562811
mean_height,std_height,0.9546908253949654,0.9546908253949654
width_change,late_mean_width,0.9542728258038126,0.9542728258038126
mean_area,max_area,0.9517917795882538,0.9517917795882538
min_width,early_mean_width,0.9454347687222006,0.9454347687222006
mean_movement,mean_iou,-0.9428859435885518,0.9428859435885518
mean_width,max_width,0.9425761105537771,0.9425761105537771
mean_height,max_height,0.940114798607552,0.940114798607552
min_height,early_mean_height,0.9396371348009473,0.9396371348009473
area_change,late_mean_area,0.9383595526649688,0.9383595526649688
min_area,early_mean_area,0.9335952188863034,0.9335952188863034
mean_area,area_change,0.9272593884652213,0.9272593884652213
range_center_x,max_width,0.922565946815846,0.922565946815846
mean_height,height_change,0.9222917059893533,0.9222917059893533
range_center_x,std_width,0.9163553438594966,0.9163553438594966
mean_width,width_change,0.9154672267754498,0.9154672267754498
range_center_y,max_height,0.9153934253844923,0.9153934253844923
pg_el_count,late_pg_el_count,0.9143022708167812,0.9143022708167812
longest_pg_el_run,late_pg_el_count,0.9141131123983144,0.9141131123983144
range_center_y,height_change,0.9124992833372606,0.9124992833372606
range_center_x,width_change,0.9115470165588191,0.9115470165588191
std_center_x,std_width,0.9098450733389869,0.9098450733389869
std_center_x,late_mean_width,0.906047419342416,0.906047419342416
range_center_y,std_height,0.9059125574318702,0.9059125574318702
range_center_x,late_mean_width,0.9026355721401659,0.9026355721401659
mean_width,middle_mean_width,0.9016575809908427,0.9016575809908427
mean_area,middle_mean_area,0.9004023890741566,0.9004023890741566
