feature,missing_count,infinite_count
mean_movement,0,0
median_movement,0,0
max_movement,0,0
movement_std,0,0
std_center_x,0,0
std_center_y,0,0
range_center_x,0,0
range_center_y,0,0
max_center_x,0,0
max_center_y,0,0
mean_width,0,0
std_width,0,0
min_width,0,0
max_width,0,0
width_change,0,0
mean_height,0,0
std_height,0,0
min_height,0,0
max_height,0,0
height_change,0,0
mean_area,0,0
std_area,0,0
min_area,0,0
max_area,0,0
area_change,0,0
mean_iou,0,0
std_iou,0,0
min_iou,0,0
class_transition_count,0,0
pg_el_count,0,0
observed_pg_el,0,0
first_pg_el_frame,0,0
last_pg_el_frame,0,0
longest_pg_el_run,0,0
early_mean_width,0,0
early_mean_height,0,0
early_mean_area,0,0
early_pg_el_count,0,0
middle_mean_width,0,0
middle_mean_height,0,0
middle_mean_area,0,0
middle_pg_el_count,0,0
late_mean_width,0,0
late_mean_height,0,0
late_mean_area,0,0
late_pg_el_count,0,0
