feature,germinated_min,germinated_max,non_germinated_min,non_germinated_max,perfect_separation
mean_movement,0.0052083333333333,1.729618679535383,0.0,1.2930863097132526,False
median_movement,0.0,1.9013878188659972,0.0,1.5811388300841898,False
max_movement,0.5,38.56488039654732,0.0,8.06225774829855,False
movement_std,0.0507645538792133,3.956012464832519,0.0,1.038233016057649,False
std_center_x,0.0,36.54245394864442,0.0,14.299816385006991,False
std_center_y,0.0,35.40130456292744,0.0,34.20933832714328,False
range_center_x,0.0,116.5,0.0,42.5,False
range_center_y,0.0,118.5,0.0,110.5,False
max_center_x,83.0,540.5,87.0,504.0,False
max_center_y,80.5,561.0,112.0,496.5,False
mean_width,28.24742268041237,126.74226804123712,27.010309278350515,62.23711340206186,False
std_width,0.0,92.7107744723494,0.0,29.55469268506762,False
min_width,26.0,51.0,27.0,48.0,False
max_width,30.0,326.0,28.0,134.0,False
width_change,-5.0,290.0,-9.0,101.0,False
mean_height,28.53608247422681,125.8659793814433,27.02061855670103,102.44329896907216,False
std_height,0.0,107.64341944500838,0.0,69.27934921960556,False
min_height,24.0,46.0,27.0,45.0,False
max_height,30.0,383.0,28.0,264.0,False
height_change,-6.0,349.0,-11.0,223.0,False
mean_area,932.1649484536084,16334.639175257733,810.3298969072165,8419.536082474227,False
std_area,16.666306015157677,20500.400695699547,0.0,9182.267652295308,False
min_area,720.0,2200.0,810.0,1980.0,False
max_area,990.0,67295.0,840.0,32208.0,False
area_change,-305.0,66287.0,-807.0,30773.0,False
mean_iou,0.9455378182992707,0.999732905982906,0.9579566238691052,1.0,False
std_iou,0.0026033104553442,0.0901363692371458,0.0,0.0496758105161082,False
min_iou,0.1653614681625678,0.9743589743589745,0.5889464594127807,1.0,False
class_transition_count,1.0,5.0,0.0,0.0,True
pg_el_count,4.0,95.0,0.0,0.0,True
observed_pg_el,1.0,1.0,0.0,0.0,True
first_pg_el_frame,3.0,94.0,0.0,0.0,True
last_pg_el_frame,97.0,97.0,0.0,0.0,True
longest_pg_el_run,4.0,95.0,0.0,0.0,True
early_mean_width,28.0,53.15625,27.03125,49.1875,False
early_mean_height,26.71875,50.90625,27.0625,45.875,False
early_mean_area,871.84375,2302.5625,811.0,2203.0625,False
early_pg_el_count,0.0,30.0,0.0,0.0,False
middle_mean_width,28.0,93.75,27.0,49.75,False
middle_mean_height,27.46875,105.1875,27.0,72.3125,False
middle_mean_area,924.0,8542.90625,810.0,3816.0,False
middle_pg_el_count,0.0,32.0,0.0,0.0,False
late_mean_width,28.727272727272727,240.9090909090909,27.0,99.54545454545456,False
late_mean_height,28.727272727272727,257.0,27.0,189.12121212121207,False
late_mean_area,948.0,40910.24242424242,810.0,19528.090909090908,False
late_pg_el_count,4.0,33.0,0.0,0.0,True
