group,GERMINATED,NON-GERMINATED
pg1_1,6,4
pg1_10,8,2
pg1_11,9,1
pg1_12,10,0
pg1_2,10,0
pg1_3,7,3
pg1_4,8,2
pg1_5,6,4
pg1_6,7,3
pg1_7,10,0
pg1_8,6,4
pg1_9,10,0
pg2_1,9,1
pg2_10,7,3
pg2_11,9,1
pg2_12,5,5
pg2_2,9,1
pg2_3,10,0
pg2_4,9,1
pg2_5,8,2
pg2_6,9,1
pg2_7,8,2
pg2_8,9,1
pg2_9,5,5
pg3_1,9,1
pg3_10,7,3
pg3_11,8,2
pg3_12,7,3
pg3_2,10,0
pg3_3,4,6
pg3_4,9,1
pg3_5,10,0
pg3_7,7,3
pg3_8,7,3
pg3_9,8,2
pg4_1,8,2
pg4_10,11,0
pg4_11,10,0
pg4_12,9,1
pg4_2,8,2
pg4_3,10,0
pg4_4,10,0
pg4_5,10,0
pg4_6,9,1
pg4_7,7,3
pg4_8,9,1
pg4_9,8,2
pg5_1,9,1
pg5_10,8,2
pg5_11,8,2
pg5_12,8,2
pg5_2,10,0
pg5_3,9,1
pg5_5,10,0
pg5_6,9,1
pg5_7,9,1
pg5_8,10,0
pg6_1,10,0
pg6_10,10,0
pg6_11,10,0
pg6_12,9,1
pg6_2,9,1
pg6_3,8,2
pg6_4,9,1
pg6_5,9,2
pg6_6,9,1
pg6_7,9,1
pg6_8,9,1
pg6_9,10,0
pg7_1,7,3
pg7_10,8,2
pg7_11,10,0
pg7_12,8,2
pg7_2,9,1
pg7_3,9,1
pg7_4,10,0
pg7_5,10,0
pg7_6,10,0
pg7_7,7,3
pg7_8,8,2
pg7_9,10,0
pg8_1,12,0
