feature,f_score,p_value,f_rank,mutual_information,mi_rank,rf_importance,rf_rank,l1_abs_coefficient,l1_rank,mean_rank,median_rank,top_10_count,top_15_count,top_20_count,top_25_count,top_30_count,overall_rank,consensus_count
width_change,111.1212320723846,4.250678633307821e-24,7,0.2739629465774138,5,0.12445485820155597,2,6.231939660397405,1,3.75,3.5,4,4,4,4,4,1,4
mean_iou,335.7184209457101,8.356158164568861e-61,1,0.24922289628370775,8,0.04514480913968073,8,3.1909160410873914,2,4.75,5.0,4,4,4,4,4,2,4
height_change,117.53600101704808,2.711133535268743e-25,4,0.2559324704338992,7,0.09556031244745818,3,0.784417666254305,9,5.75,5.5,4,4,4,4,4,3,4
std_height,108.61633394073634,1.2534332333188934e-23,10,0.283238893240209,3,0.07922843602943495,5,0.0,13,7.75,7.5,3,4,4,4,4,4,4
mean_movement,205.82307045611103,9.111326378028275e-41,2,0.25949303266450774,6,0.03277762894884932,11,0.0,13,8.0,8.5,2,4,4,4,4,5,4
area_change,93.95510714657054,7.593330162525812e-21,18,0.3069364672608037,1,0.15680786401753952,1,0.0,13,8.25,7.0,2,3,4,4,4,6,4
std_width,100.84262182667129,3.6824318981992585e-22,15,0.2850347419208834,2,0.08281208647306576,4,0.0,13,8.5,8.5,2,4,4,4,4,7,4
std_area,91.57730609996516,2.1737607740577043e-20,20,0.2832149522263454,4,0.07863643053080638,6,0.0,13,10.75,9.5,2,3,4,4,4,8,4
max_height,114.64162957181559,9.357739679723062e-25,5,0.2212688493967221,15,0.035190421460374016,10,0.0,13,10.75,11.5,2,4,4,4,4,9,4
max_width,112.83408390895373,2.0335511317972312e-24,6,0.21721283274949732,16,0.029797577329926682,12,0.0,13,11.75,12.5,1,3,4,4,4,10,4
late_mean_height,108.8202537743978,1.147643542970972e-23,9,0.22937609779424495,13,0.016012804705862315,15,0.0,13,12.5,13.0,1,4,4,4,4,11,4
max_area,93.37776229853111,9.79932689368077e-21,19,0.2333266164856056,12,0.05054241344893783,7,0.0,13,12.75,12.5,1,3,4,4,4,12,4
late_mean_width,102.48400931390633,1.7981381402851475e-22,14,0.23410999225481022,11,0.01932919477198333,13,0.0,13,12.75,13.0,0,4,4,4,4,13,4
late_mean_area,94.26246936238498,6.62983045962837e-21,17,0.22877348929724795,14,0.042147387213065095,9,0.0,13,13.25,13.5,1,3,4,4,4,14,4
std_center_x,82.57910716636668,1.203044443066529e-18,24,0.2347457460818907,10,0.01816954803453326,14,0.0,13,15.25,13.5,1,3,3,4,4,15,4
std_center_y,83.63086247029614,7.504817008736953e-19,23,0.23687609988660396,9,0.012579100359722775,16,0.0,13,15.25,14.5,1,2,3,4,4,16,4
mean_width,103.70874161362346,1.0544034995566216e-22,12,0.17992562569814696,20,0.0050407191733317005,20,0.0,13,16.25,16.5,0,2,4,4,4,17,4
range_center_x,89.40149809915268,5.70922711232462e-20,21,0.191081207442656,17,0.004121659654838794,23,1.7382956417812903,6,16.75,19.0,1,1,2,4,4,18,4
mean_area,96.4852939707505,2.489447932857347e-21,16,0.17587778079957772,21,0.006944690062274642,18,0.0,13,17.0,17.0,0,1,3,4,4,19,4
std_iou,124.53541795440765,1.3829822749175612e-26,3,0.08900658007771534,27,0.002890744761175989,33,1.135986504758042,7,17.5,17.0,2,2,2,2,3,20,2
range_center_y,87.67884278334677,1.2290019585354264e-19,22,0.1848733473780344,18,0.007001530527710697,17,0.0,13,17.5,17.5,0,1,3,4,4,21,4
mean_height,104.25471761480756,8.313696589832096e-23,11,0.17996139889867369,19,0.0031394708596981158,32,0.0,13,18.75,16.0,0,2,3,3,3,22,3
middle_mean_width,73.45401105145011,7.449600368795191e-17,26,0.17373157749757762,22,0.0038987179456233105,24,1.864465371551516,5,19.25,23.0,1,1,1,3,4,23,3
movement_std,103.307729037918,1.2556423205552033e-22,13,0.10186153647454432,26,0.0036137387384295215,26,0.0,13,19.5,19.5,0,2,2,2,4,24,2
median_movement,110.9785820259031,4.520222394818464e-24,8,0.17226065500797194,23,0.0020164790105467534,36,0.0,13,20.0,18.0,1,2,2,3,3,25,3
middle_mean_height,66.65278664359037,1.6757733961345583e-15,27,0.16967018803978884,24,0.003163551510303499,31,2.778267241652874,3,21.25,25.5,1,1,1,2,3,26,2
early_mean_area,6.5612635366105465,0.010646014854688697,31,0.053097015721551566,28,0.0049638342759965705,21,1.0497601758171775,8,22.0,24.5,1,1,1,2,3,27,2
max_movement,11.376813450158446,0.0007876709440577622,28,0.026099031555700813,31,0.0037592338300422748,25,2.05558236272742,4,22.0,26.5,1,1,1,2,3,28,2
early_mean_width,9.561527564678881,0.002071779866829726,30,0.04034478557946608,29,0.00447755430088088,22,0.0,13,23.5,25.5,0,1,1,2,4,29,2
middle_mean_area,81.09165769657254,2.347868440137186e-18,25,0.131008335612246,25,0.0026824964149150896,34,0.0,13,24.25,25.0,0,1,1,3,3,30,3
max_center_x,3.2844310705426984,0.07039972137757612,33,0.0,35,0.005769665323971516,19,0.013632824715955085,11,24.5,26.0,0,1,2,2,2,31,2
min_iou,9.670183867486845,0.001954457305810176,29,0.010914708258021877,33,0.0035159052786499284,27,0.0,13,25.5,28.0,0,1,1,1,3,32,1
early_mean_height,1.3472673466674914,0.24618121489433095,36,0.032766282735590124,30,0.003277252457452929,28,0.0,13,26.75,29.0,0,1,1,1,3,33,1
min_area,2.81557408041324,0.09383271932559295,34,0.015750611250606505,32,0.0031878480166843133,30,0.0,13,27.25,31.0,0,1,1,1,2,34,1
max_center_y,1.4940141716230846,0.2220363623312759,35,0.0,35,0.003255774691471211,29,0.13904050165681867,10,27.25,32.0,1,1,1,1,2,35,1
min_width,3.6016816843075627,0.05816259860978555,32,0.0,35,0.0023790553214058704,35,0.0,13,28.75,33.5,0,1,1,1,1,36,1
min_height,0.018821371385730742,0.8909221750440416,37,0.004303475075519314,34,0.001709204731800271,37,0.008071553154408904,12,30.0,35.5,0,1,1,1,1,37,1
