feature_1,feature_2,correlation,absolute_correlation
max_area,area_change,0.999585048368021,0.999585048368021
max_width,width_change,0.9965557392458345,0.9965557392458345
max_height,height_change,0.9964429772560204,0.9964429772560204
mean_area,late_mean_area,0.9963364819987305,0.9963364819987305
std_area,late_mean_area,0.9950371820133466,0.9950371820133466
std_width,late_mean_width,0.991060688456085,0.991060688456085
std_height,late_mean_height,0.9904755393244131,0.9904755393244131
std_area,max_area,0.9895133974526915,0.9895133974526915
std_area,area_change,0.9893505299300686,0.9893505299300686
std_width,width_change,0.9884989921771293,0.9884989921771293
std_width,max_width,0.9873739588773358,0.9873739588773358
mean_width,late_mean_width,0.9855251880555642,0.9855251880555642
mean_area,std_area,0.9853099850312617,0.9853099850312617
mean_height,late_mean_height,0.9838101193662679,0.9838101193662679
std_height,height_change,0.9836400761773009,0.9836400761773009
std_height,max_height,0.9829784787698103,0.9829784787698103
std_center_x,range_center_x,0.9818374519262032,0.9818374519262032
std_center_y,range_center_y,0.9774365248549778,0.9774365248549778
max_width,late_mean_width,0.9770836861558776,0.9770836861558776
max_area,late_mean_area,0.9754510705098791,0.9754510705098791
area_change,late_mean_area,0.9745740689946811,0.9745740689946811
width_change,late_mean_width,0.9714472664734963,0.9714472664734963
max_height,late_mean_height,0.9705596507422143,0.9705596507422143
height_change,late_mean_height,0.9647364422823277,0.9647364422823277
mean_area,max_area,0.9645859528911841,0.9645859528911841
mean_area,area_change,0.9622199579785087,0.9622199579785087
mean_width,std_width,0.9571001735953294,0.9571001735953294
mean_height,std_height,0.9527475966077682,0.9527475966077682
mean_width,max_width,0.9505759278040129,0.9505759278040129
min_width,early_mean_width,0.9442399901466448,0.9442399901466448
mean_movement,mean_iou,-0.9441817443870401,0.9441817443870401
min_height,early_mean_height,0.9385373458228256,0.9385373458228256
mean_height,max_height,0.9376844087468867,0.9376844087468867
mean_width,width_change,0.9340791626344754,0.9340791626344754
min_area,early_mean_area,0.9309312785082267,0.9309312785082267
range_center_x,max_width,0.9269203827598529,0.9269203827598529
range_center_x,width_change,0.9242785362812365,0.9242785362812365
mean_height,height_change,0.9214188386988984,0.9214188386988984
range_center_y,max_height,0.9157192618000295,0.9157192618000295
range_center_x,std_width,0.913550358989234,0.913550358989234
range_center_y,height_change,0.9128675678405299,0.9128675678405299
std_center_x,std_width,0.9063440960516578,0.9063440960516578
std_center_x,late_mean_width,0.9037364006750523,0.9037364006750523
range_center_y,std_height,0.9033033587929314,0.9033033587929314
std_center_x,max_width,0.9023145721054073,0.9023145721054073
range_center_x,late_mean_width,0.9018165776619792,0.9018165776619792
