kept_feature,removed_feature,correlation,absolute_correlation,kept_mean_rank,removed_mean_rank
area_change,max_area,0.999585048368021,0.999585048368021,8.25,12.75
width_change,max_width,0.9965557392458345,0.9965557392458345,3.75,11.75
height_change,max_height,0.9964429772560205,0.9964429772560205,5.75,10.75
late_mean_area,mean_area,0.9963364819987305,0.9963364819987305,13.25,17.0
std_area,late_mean_area,0.9950371820133466,0.9950371820133466,10.75,13.25
std_width,late_mean_width,0.991060688456085,0.991060688456085,8.5,12.75
std_height,late_mean_height,0.9904755393244131,0.9904755393244131,7.75,12.5
area_change,std_area,0.9893505299300686,0.9893505299300686,8.25,10.75
width_change,std_width,0.9884989921771293,0.9884989921771293,3.75,8.5
height_change,std_height,0.9836400761773009,0.9836400761773009,5.75,7.75
std_center_x,range_center_x,0.9818374519262032,0.9818374519262032,15.25,16.75
std_center_y,range_center_y,0.9774365248549778,0.9774365248549778,15.25,17.5
mean_iou,mean_movement,-0.9441817443870396,0.9441817443870396,4.75,8.0
width_change,mean_width,0.9340791626344754,0.9340791626344754,3.75,16.25
height_change,mean_height,0.9214188386988984,0.9214188386988984,5.75,18.75
